"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,582","60.04%","373","30.45%","4,955","55.94%"
"White","2,980","817.00%","839","68.49%","3,819","43.12%"
"Hispanic","32",".42%","7",".57%","39",".44%"
"Native American","17",".22%","3",".24%","20",".23%"
"Asian","18",".24%","2",".16%","20",".23%"
"Data Unavailable","3",".04%","1",".08%","4",".05%"
"TOTAL","7,632","100.00%","1,225","100.00%","8,857","100.00%"
