"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,856
"Lifers","1,759
"Habitual Offenders","1,445
"Habitual Lifers"
"Death Row"
"TOTAL"
297
68
5,425
18
20,326 CUSTODY POPULATION
