"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,802
"Lifers","1,697
"Habitual Offenders","1,453
"Habitual Lifers"
"Death Row"
"TOTAL"
280
66
5,298
21
19,290 CUSTODY POPULATION
