"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","34","6"
"Habitual Lifers","311","64"
"Habitual","2,139","167"
"Life","1,520","215"
"Armed Robbery (Mandatory)","2,092","13"
