"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","37","6"
"Habitual Lifers","309","63"
"Habitual","2,079","156"
"Life","1,526","220"
"Armed Robbery (Mandatory)","2,101","13"
