"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","308","62"
"Habitual","1,985","145"
"Life","1,554","231"
"Armed Robbery (Mandatory)","2,121","13"
