"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","38","6"
"Habitual Lifers","307","62"
"Habitual","2,007","141"
"Life","1,532","224"
"Armed Robbery (Mandatory)","2,108","11"
