"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,770
"Lifers","1,689
"Habitual Offenders","1,443
"Habitual Lifers"
"Death Row"
"TOTAL"
23
19,073 CUSTODY POPULATION
277
66
5,245
