"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","283","55"
"Habitual","1,812","145"
"Life","1,554","238"
"Armed Robbery (Mandatory)","2,140","13"
