"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,856
"Lifers","1,768
"Habitual Offenders","1,454
"Habitual Lifers"
"Death Row"
"TOTAL"
299
68
5,445
26
20,408 CUSTODY POPULATION
