"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,881"
"Lifers","1,786"
"Habitual Offenders","1,458"
"Habitual Lifers",""
"Death Row",""
"TOTAL","5,493"
