"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,910
"Lifers","1,804
"Habitual Offenders","1,468
"Habitual Lifers","302"
"Death Row","68"
"TOTAL","5,552"
