"TYPE OF OFFENDER","OFFENDERS"
"Armed Robbery (Mandatory)","1,774
"Lifers","1,694
"Habitual Offenders","1,446
"Habitual Lifers"
"Death Row"
"TOTAL"
275
65
5,254
23
18,938 CUSTODY POPULATION
