"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","286","56"
"Habitual","1,816","143"
"Life","1,563","237"
"Armed Robbery (Mandatory)","2,148","13"
