"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","282","55"
"Habitual","1,813","144"
"Life","1,554","239"
"Armed Robbery (Mandatory)","2,132","13"
