Location,Capacity_x_x,1-May-16,2-May-16,3-May-16,4-May-16,5-May-16,6-May-16,7-May-16,8-May-16,9-May-16,Capacity_y_x,10-May-16,11-May-16,12-May-16,13-May-16,14-May-16,15-May-16,16-May-16,17-May-16,18-May-16,Capacity_x_y,19-May-16,20-May-16,21-May-16,22-May-16,23-May-16,24-May-16,25-May-16,26-May-16,27-May-16,Capacity_y_y,28-May-16,29-May-16,30-May-16,31-May-16,Avg Population
Mississippi State Penitentiary,"3,590","3,366","3,363","3,360","3,370","3,368","3,374","3,372","3,372","3,360","3,590","3,354","3,380","3,370","3,371","3,368","3,365","3,366","3,361","3,348","3,590","3,382","3,383","3,382","3,383","3,377","3,396","3,398","3,393","3,415","3,590","3,414","3,414","3,412","3,398","3,269"
Central Mississippi Correctional Facility,"3,506","2,802","2,821","2,845","2,884","2,902","2,879","2,880","2,879","2,918","3,506","2,995","2,923","2,923","2,889","2,888","2,886","2,888","2,909","2,939","3,506","2,930","2,943","2,943","2,944","2,963","2,947","2,963","2,986","2,948","3,506","2,947","2,946","2,947","2,963","2,821"
Youthful Offender Unit,58,32,32,32,34,34,33,33,33,34,58,33,33,33,33,33,33,32,32,32,58,32,31,31,31,31,31,30,31,32,58,32,32,32,32,31
CMCF TVC,,4,4,4,4,4,4,4,4,6,,6,6,6,2,2,2,1,1,1,,5,4,4,4,4,4,5,5,8,,8,8,8,8,4
South Mississippi Correctional Institution,"3,082","3,004","3,005","3,000","2,997","2,989","3,004","3,001","3,000","2,988","3,082","2,935","3,001","3,005","3,009","3,010","3,009","3,000","3,009","3,006","3,082","3,004","2,995","2,996","2,994","2,992","3,003","3,003","3,002","3,005","3,082","3,006","3,006","3,004","3,003","2,903"
County Jails,"1,986","1,526","1,512","1,496","1,504","1,496","1,466","1,466","1,466","1,459","1,986","1,513","1,504","1,513","1,531","1,531","1,531","1,514","1,505","1,485","1,986","1,472","1,463","1,463","1,463","1,447","1,430","1,427","1,428","1,446","1,986","1,446","1,446","1,446","1,478","1,432"
COMMUNITY WORK CENTERS,"1,848","1,173","1,165","1,151","1,147","1,147","1,160","1,156","1,154","1,157","1,848","1,147","1,153","1,158","1,154","1,153","1,153","1,181","1,177","1,171","1,848","1,168","1,151","1,151","1,146","1,166","1,161","1,160","1,167","1,187","1,848","1,183","1,180","1,179","1,174","1,124"
Alcorn Satellite Facility,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
Bolivar Satellite Facility,102,27,27,26,26,26,26,26,26,26,102,26,26,24,23,23,23,24,23,23,102,23,21,21,21,22,22,22,22,22,102,22,22,22,22,23
Forrest Satellite Facility,96,79,79,79,79,78,80,80,80,82,96,82,81,81,76,76,75,78,78,78,96,78,74,74,74,78,78,77,78,75,96,75,75,75,74,75
