Location,Capacity_x_x,1-Jun-09,2-Jun-09,3-Jun-09,4-Jun-09,5-Jun-09,6-Jun-09,7-Jun-09,8-Jun-09,9-Jun-09,Capacity_y_x,10-Jun-09,11-Jun-09,12-Jun-09,13-Jun-09,14-Jun-09,15-Jun-09,16-Jun-09,17-Jun-09,18-Jun-09,Capacity_x_y,19-Jun-09,20-Jun-09,21-Jun-09,22-Jun-09,23-Jun-09,24-Jun-09,25-Jun-09,26-Jun-09,27-Jun-09,Capacity_y_y,28-Jun-09,29-Jun-09,30-Jun-09,Unnamed: 5,Avg Population
Leake County,280,266,263,266,267,267,267,266,266,266,280,266,265,264,264,263,265,266,265,265,280,264,263,263,264,260,266,266,266,266,280,266,264,266,,265
Marion County,280,266,266,265,265,266,266,266,266,266,280,266,266,266,266,265,266,266,266,263,280,262,262,262,262,267,267,267,266,266,280,266,266,265,,265
Stone County,280,264,266,265,263,265,265,265,266,263,280,260,261,265,265,265,266,265,264,263,280,263,263,263,266,266,264,263,265,265,280,265,265,264,,264
Winston County,280,263,264,266,267,268,268,268,266,265,280,266,266,266,266,266,266,266,266,265,280,266,266,266,253,261,263,263,264,264,280,264,266,266,,265
PRIVATE PRISONS,"5,972","5,490","5,490","5,494","5,484","5,496","5,495","5,487","5,493","5,491","5,972","5,500","5,496","5,496","5,494","5,493","5,496","5,500","5,496","5,494","5,972","5,493","5,487","5,485","5,500","5,501","5,498","5,489","5,479","5,478","5,972","5,476","5,468","5,485",,"5,491"
Delta,972,958,954,956,945,957,957,955,953,952,972,957,956,957,957,957,955,954,955,954,972,953,953,953,955,957,955,952,949,949,972,948,949,957,,954
East Mississippi,"1,500","1,356","1,360","1,360","1,357","1,358","1,358","1,355","1,361","1,361","1,500","1,363","1,360","1,358","1,358","1,358","1,359","1,361","1,359","1,359","1,500","1,360","1,357","1,356","1,361","1,363","1,363","1,363","1,360","1,359","1,500","1,359","1,353","1,353",,"1,359"
Marshall County,"1,000",983,981,981,983,982,981,980,983,982,"1,000",983,983,982,981,980,983,983,981,983,"1,000",983,982,982,983,982,984,983,982,982,"1,000",982,981,983,,982
Walnut Grove,"1,500","1,222","1,220","1,222","1,222","1,222","1,222","1,221","1,222","1,221","1,500","1,223","1,225","1,222","1,221","1,221","1,221","1,225","1,227","1,226","1,500","1,227","1,226","1,225","1,225","1,223","1,223","1,222","1,220","1,220","1,500","1,220","1,217","1,221",,"1,222"
Wilkinson County,"1,000",971,975,975,977,977,977,976,974,975,"1,000",974,972,977,977,977,978,977,974,972,"1,000",970,969,969,976,976,973,969,968,968,"1,000",967,968,971,,973
RESTITUTION CENTERS,16,10,10,10,11,11,11,11,11,10,16,10,10,10,10,10,10,10,10,10,16,10,10,10,11,11,11,11,11,11,16,11,11,11,,10
Greenwood,6,4,4,4,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,,5
Hinds,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,,4
Pascagoula,4,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,11,6,9,11,43,43,44,11,14,0,13,12,57,50,50,5,5,6,7,0,50,50,52,11,11,12,11,40,40,0,37,10,12,,24
TOTALS,"23,984","22,172","22,122","22,122","22,090","22,095","22,077","22,065","22,080","22,102","23,984","22,093","22,022","22,044","22,026","22,020","22,012","22,049","22,052","21,993","23,984","21,995","21,981","21,972","21,970","22,000","22,011","21,998","21,967","21,961","23,984","21,954","21,992","21,940",,"22,033"
