Location,Capacity_x_x,1-Jan-07,2-Jan-07,3-Jan-07,4-Jan-07,5-Jan-07,6-Jan-07,7-Jan-07,8-Jan-07,9-Jan-07,Capacity_y_x,10-Jan-07,11-Jan-07,12-Jan-07,13-Jan-07,14-Jan-07,15-Jan-07,16-Jan-07,17-Jan-07,18-Jan-07,Capacity_x_y,19-Jan-07,20-Jan-07,21-Jan-07,22-Jan-07,23-Jan-07,24-Jan-07,25-Jan-07,26-Jan-07,27-Jan-07,Capacity_y_y,28-Jan-07,29-Jan-07,30-Jan-07,31-Jan-07,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,534","4,503","4,519","4,499","4,515","4,550","4,546","4,543","4,538","4,534","4,534","4,530","4,517","4,513","4,506","4,504","4,502","4,497","4,492","4,487","4,534","4,473","4,465","4,462","4,480","4,477","4,500","4,519","4,504","4,503","4,534","4,505","4,519","4,514",0,,"4,507"
Central Mississippi Correctional Facility,"3,381","3,352","3,360","3,393","3,386","3,375","3,372","3,374","3,363","3,362","3,381","3,368","3,360","3,327","3,334","3,335","3,331","3,345","3,368","3,393","3,381","3,350","3,349","3,351","3,349","3,355","3,394","3,347","3,380","3,381","3,381","3,384","3,381","3,389",0,,"3,364"
South Mississippi Correctional Institution,"2,404","2,314","2,310","2,296","2,299","2,309","2,308","2,307","2,306","2,298","2,404","2,286","2,280","2,281","2,278","2,276","2,274","2,263","2,287","2,299","2,404","2,281","2,281","2,281","2,260","2,261","2,255","2,279","2,289","2,289","2,404","2,288","2,268","2,258",0,,"2,285"
County Jails,"1,744","1,819","1,799","1,789","1,801","1,770","1,770","1,770","1,791","1,854","1,744","1,860","1,908","1,922","1,922","1,922","1,924","1,902","1,880","1,866","1,744","1,886","1,886","1,886","1,875","1,868","1,826","1,822","1,809","1,809","1,744","1,809","1,809","1,813",0,,"1,846"
COMMUNITY WORK CENTERS,"1,816","1,760","1,759","1,759","1,761","1,761","1,755","1,753","1,744","1,737","1,816","1,728","1,725","1,601","1,599","1,600","1,710","1,737","1,731","1,725","1,816","1,658","1,657","1,655","1,741","1,748","1,740","1,752","1,682","1,671","1,816","1,674","1,749","1,754",0,,"1,714"
Alcorn Satellite Facility,92,90,90,91,91,92,92,92,92,92,92,92,91,81,81,81,90,90,90,91,92,80,80,80,90,92,91,91,81,81,92,81,91,91,0,,88
Bolivar Satellite Facility,102,100,99,99,101,101,101,101,101,101,102,100,100,91,91,91,98,92,93,93,102,92,92,92,101,101,101,101,97,94,102,94,97,98,0,,97
Forrest Satellite Facility,96,96,96,96,96,96,96,96,96,95,96,95,94,87,87,87,94,95,94,94,96,91,91,90,93,93,92,89,86,86,96,86,94,94,0,,93
George Satellite Facility,102,100,99,102,101,101,101,101,101,100,102,100,100,90,90,90,98,102,102,102,102,101,101,101,102,102,102,101,97,96,102,96,100,98,0,,99
Harrison Satellite Facility,102,101,101,102,102,102,102,102,102,102,102,101,101,94,94,94,98,98,99,99,102,91,91,91,99,99,97,98,93,91,102,92,94,100,0,,98
