Location,Capacity_x_x,1-Oct-06,2-Oct-06,3-Oct-06,4-Oct-06,5-Oct-06,6-Oct-06,7-Oct-06,8-Oct-06,9-Oct-06,Capacity_y_x,10-Oct-06,11-Oct-06,12-Oct-06,13-Oct-06,14-Oct-06,15-Oct-06,16-Oct-06,17-Oct-06,18-Oct-06,Capacity_x_y,19-Oct-06,20-Oct-06,21-Oct-06,22-Oct-06,23-Oct-06,24-Oct-06,25-Oct-06,26-Oct-06,27-Oct-06,Capacity_y_y,28-Oct-06,29-Oct-06,30-Oct-06,31-Oct-06
Jackson Satellite Facility,102,98,98,101,101,101,98,98,98,101,102,102,102,102,97,97,98,100,100,100,102,99,93,93,94,99,100,100,99,91,102,91,91,101,101
Jefferson Satellite Facility,102,95,102,101,101,102,96,96,96,101,102,101,100,98,93,92,92,98,98,98,102,102,99,98,98,102,102,102,102,98,102,98,98,102,102
Leflore Satellite Facility,102,102,102,102,102,102,94,94,94,102,102,102,102,102,95,94,94,102,102,102,102,102,94,94,94,102,101,101,101,100,102,100,100,102,101
Madison Satellite Facility,102,100,102,102,100,100,102,102,102,102,102,100,102,102,98,98,98,102,102,102,102,100,102,102,102,102,99,102,102,102,102,102,102,102,102
Noxubee Satellite Facility,92,90,91,92,92,92,85,84,85,90,92,90,90,89,80,80,80,87,85,85,92,89,83,83,83,88,88,92,92,86,92,86,86,91,91
Pike Satellite Facility,93,89,88,88,89,88,86,84,84,87,93,87,87,86,84,84,84,86,85,85,93,84,84,84,84,87,89,89,88,85,93,85,85,89,89
Quitman Satellite Facility,93,87,87,87,92,92,86,86,86,92,93,91,91,90,90,90,90,90,86,86,93,89,82,82,82,89,89,88,87,83,93,83,83,87,87
Rankin Satellite Facility,228,211,222,221,222,226,219,219,219,224,228,224,225,226,223,222,222,223,224,223,228,224,217,213,213,219,218,217,217,215,228,215,215,219,221
Simpson Satellite Facility,102,96,92,97,101,101,102,102,102,102,102,100,100,100,100,100,100,101,100,100,102,101,97,98,98,99,102,101,101,101,102,101,101,102,102
Washington Satellite Facility,102,99,100,102,102,102,94,94,94,102,102,101,101,101,98,98,98,102,102,102,102,101,98,98,98,101,101,100,98,93,102,92,92,97,102
Wilkinson Satellite Facility,102,97,102,102,102,102,100,100,100,101,102,101,100,100,97,97,97,100,100,99,102,97,93,92,92,102,100,100,97,94,102,94,94,102,102
Yazoo Satellite Facility,102,101,102,101,96,96,97,97,97,102,102,100,99,97,94,94,94,102,101,101,102,97,96,95,95,101,100,100,100,99,102,99,99,102,101
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,071","3,079","3,077","3,073","3,071","3,072","3,071","3,066","3,065","3,082","3,072","3,067","3,066","3,056","3,053","3,053","3,069","3,075","3,075","3,082","3,078","3,080","3,077","3,075","3,076","3,069","3,072","3,076","3,078","3,082","3,078","3,077","3,078","3,075"
Bolivar County,294,294,294,294,294,294,293,293,293,293,294,294,293,293,288,287,288,290,292,291,294,293,294,293,293,293,293,293,293,293,294,293,293,294,294
Carroll County,280,281,281,280,280,280,280,279,279,279,280,279,278,279,279,279,279,279,279,279,280,279,279,279,279,279,279,278,280,280,280,280,280,280,280
George County,280,279,281,280,279,279,280,280,280,278,280,277,277,276,273,273,273,277,278,280,280,280,279,279,279,279,278,278,279,279,280,279,279,278,278
Holmes County,280,280,279,280,278,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,278,280,280,280,280,280,280,280
Issaquena County,274,271,274,274,272,270,272,272,270,270,274,274,272,273,271,269,269,271,273,272,274,272,274,273,271,273,274,272,272,274,274,274,274,274,274
Jefferson County,274,271,274,274,274,274,273,273,272,273,274,273,272,272,271,271,271,274,274,273,274,274,274,274,274,274,273,273,274,274,274,274,274,274,273
Kemper County,280,280,279,278,279,280,279,279,279,279,280,279,280,279,280,280,280,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279
Leake County,280,279,280,280,280,279,278,278,278,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,276,281,280,279,280,279,279,280,280
Marion County,280,281,280,279,277,277,279,279,279,280,280,280,280,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279
Stone County,280,277,278,278,280,280,280,280,280,276,280,276,276,276,276,276,275,280,280,280,280,280,280,280,280,279,277,279,278,279,280,279,278,279,278
Winston County,280,278,279,280,280,279,279,279,277,278,280,280,279,279,279,279,279,278,280,280,280,280,280,279,279,279,279,280,280,280,280,280,280,280,280
PRIVATE PRISONS,"5,100","4,866","4,870","4,868","4,866","4,857","4,874","4,871","4,868","4,866","5,100","4,861","4,844","4,846","4,847","4,846","4,842","4,856","4,864","4,865","5,100","4,855","4,867","4,862","4,860","4,860","4,860","4,863","4,863","4,870","5,100","4,869","4,865","4,862","4,865"
Delta,972,970,970,971,972,972,972,972,972,971,972,972,973,970,970,970,969,970,970,971,972,972,971,970,970,970,970,971,972,972,972,972,971,971,971
East Mississippi,"1,000",853,854,854,854,854,856,855,855,854,"1,000",855,853,852,851,850,849,849,850,853,"1,000",857,859,859,859,859,861,859,859,859,"1,000",859,859,858,860
Marshall County,"1,000",992,993,995,995,994,992,991,990,994,"1,000",994,994,995,995,995,994,997,997,996,"1,000",993,995,995,995,994,996,996,996,996,"1,000",996,994,993,994
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",950,950,946,943,936,951,950,950,947,"1,000",946,940,945,948,948,947,946,945,946,"1,000",936,941,938,937,941,936,942,944,951,"1,000",951,950,948,948
Wilkinson County,"1,000",973,975,974,974,973,975,975,973,972,"1,000",966,956,956,956,956,956,967,974,971,"1,000",969,973,972,971,968,969,967,964,964,"1,000",963,963,964,964
RESTITUTION CENTERS,16,15,15,15,15,15,15,15,15,15,16,15,15,15,14,14,14,15,15,15,16,14,13,13,13,13,13,13,13,13,16,13,13,13,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,6,5,5,5,5
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,43,6,7,9,6,83,85,86,6,,3,3,4,77,77,76,6,6,5,,8,79,81,78,7,1,1,5,60,,62,58,2,3
TOTALS,"22,096","21,531","21,505","21,563","21,605","21,639","21,612","21,598","21,585","21,614","22,096","21,604","21,647","21,646","21,644","21,627","21,613","21,615","21,633","21,656","22,096","21,669","21,671","21,657","21,650","21,657","21,649","21,665","21,687","21,677","22,096","21,667","21,655","21,680","21,699"
