Location,Capacity_x_x,1-Jan-08,2-Jan-08,3-Jan-08,4-Jan-08,5-Jan-08,6-Jan-08,7-Jan-08,8-Jan-08,9-Jan-08,Capacity_y_x,10-Jan-08,11-Jan-08,12-Jan-08,13-Jan-08,14-Jan-08,15-Jan-08,16-Jan-08,17-Jan-08,18-Jan-08,Capacity_x_y,19-Jan-08,20-Jan-08,21-Jan-08,22-Jan-08,23-Jan-08,24-Jan-08,25-Jan-08,26-Jan-08,27-Jan-08,Capacity_y_y,28-Jan-08,29-Jan-08,30-Jan-08,31-Jan-08,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,527","4,338","4,335","4,323","4,327","4,327","4,324","4,311","4,306","4,324","4,527","4,310","4,310","4,307","4,306","4,301","4,297","4,284","4,271","4,267","4,527","4,267","4,266","4,261","4,248",0,0,0,0,0,"4,527",0,0,0,0,,"4,300"
Central Mississippi Correctional Facility,"3,665","3,491","3,496","3,506","3,506","3,510","3,507","3,502","3,488","3,494","3,665","3,510","3,512","3,509","3,507","3,494","3,492","3,493","3,491","3,444","3,665","3,443","3,443","3,440","3,469",0,0,0,0,0,"3,665",0,0,0,0,,"3,489"
South Mississippi Correctional Institution,"3,204","3,073","3,078","3,090","3,090","3,087","3,085","3,102","3,134","3,131","3,204","3,144","3,118","3,118","3,116","3,110","3,110","3,106","3,106","3,115","3,204","3,109","3,109","3,109","3,090",0,0,0,0,0,"3,204",0,0,0,0,,"3,106"
County Jails,"1,586","1,755","1,749","1,741","1,754","1,754","1,754","1,776","1,774","1,767","1,586","1,751","1,751","1,751","1,751","1,758","1,781","1,794","1,858","1,872","1,586","1,872","1,872","1,872","1,877",0,0,0,0,0,"1,586",0,0,0,0,,"1,790"
COMMUNITY WORK CENTERS,"1,848","1,801","1,798","1,795","1,802","1,798","1,795","1,796","1,809","1,800","1,848","1,789","1,669","1,668","1,668","1,777","1,771","1,760","1,755","1,682","1,848","1,679","1,679","1,777","1,767",0,0,0,0,0,"1,848",0,0,0,0,,"1,756"
Alcorn Satellite Facility,92,89,88,88,88,88,88,88,91,91,92,91,83,83,83,90,90,90,90,81,92,81,81,91,90,0,0,0,0,0,92,0,0,0,0,,87
Bolivar Satellite Facility,102,102,102,101,101,101,101,101,101,101,102,100,89,89,89,93,92,92,92,97,102,97,97,100,99,0,0,0,0,0,102,0,0,0,0,,97
Forrest Satellite Facility,96,95,95,95,95,95,95,95,95,94,96,94,88,88,88,96,96,96,96,90,96,90,90,96,95,0,0,0,0,0,96,0,0,0,0,,94
George Satellite Facility,102,101,101,100,100,100,100,100,100,100,102,100,92,92,92,98,98,98,97,91,102,91,91,95,92,0,0,0,0,0,102,0,0,0,0,,97
Harrison Satellite Facility,102,101,102,101,101,101,99,99,99,97,102,91,86,86,86,91,91,91,91,88,102,88,88,90,88,0,0,0,0,0,102,0,0,0,0,,93
Jackson Satellite Facility,102,101,101,101,101,101,101,101,101,101,102,100,93,93,93,99,98,98,98,89,102,88,88,95,93,0,0,0,0,0,102,0,0,0,0,,97
Jefferson Satellite Facility,102,98,98,101,100,100,100,98,98,98,102,96,86,86,86,93,93,92,92,94,102,94,94,101,99,0,0,0,0,0,102,0,0,0,0,,95
Leflore Satellite Facility,102,101,100,100,97,97,97,96,100,99,102,98,90,90,90,100,99,98,97,90,102,90,90,96,96,0,0,0,0,0,102,0,0,0,0,,96
Madison Satellite Facility,102,94,93,98,99,99,99,99,99,99,102,98,98,98,98,100,100,97,97,96,102,96,96,100,100,0,0,0,0,0,102,0,0,0,0,,98
Noxubee Satellite Facility,92,88,88,87,87,87,87,87,92,92,92,92,82,82,82,92,92,92,91,81,92,81,81,90,89,0,0,0,0,0,92,0,0,0,0,,87
Pike Satellite Facility,93,90,90,89,91,90,90,90,90,89,93,87,77,77,77,86,85,83,84,82,93,82,82,84,87,0,0,0,0,0,93,0,0,0,0,,86
Quitman Satellite Facility,93,89,89,89,91,91,91,91,87,88,93,87,81,81,81,91,91,91,90,83,93,82,82,90,90,0,0,0,0,0,93,0,0,0,0,,88
Rankin Satellite Facility,260,252,253,253,255,254,253,255,257,257,260,257,248,248,248,253,252,252,251,247,260,247,247,254,253,0,0,0,0,0,260,0,0,0,0,,252
Simpson Satellite Facility,102,98,97,95,99,97,97,99,101,101,102,100,94,94,94,100,99,96,96,92,102,91,91,95,100,0,0,0,0,0,102,0,0,0,0,,97
Washington Satellite Facility,102,98,97,95,99,99,99,97,98,98,102,99,92,91,91,97,97,96,96,95,102,95,95,101,100,0,0,0,0,0,102,0,0,0,0,,97
Wilkinson Satellite Facility,102,102,102,101,98,98,98,101,101,98,102,98,90,90,90,97,97,97,96,92,102,92,92,98,98,0,0,0,0,0,102,0,0,0,0,,97
Yazoo Satellite Facility,102,102,102,101,100,100,100,99,99,97,102,101,100,100,100,101,101,101,101,94,102,94,94,101,98,0,0,0,0,0,102,0,0,0,0,,99
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,078","3,075","3,079","3,085","3,081","3,080","3,081","3,082","3,084","3,088","3,086","3,084","3,083","3,081","3,077","3,072","3,079","3,074","3,072","3,088","3,071","3,070","3,069","3,064",0,0,0,0,0,"3,088",0,0,0,0,,"3,078"
Bolivar County,294,294,294,293,294,294,294,294,294,294,294,294,295,295,294,294,294,294,293,294,294,294,294,294,293,0,0,0,0,0,294,0,0,0,0,,294
Carroll County,280,277,278,279,279,279,279,280,280,280,280,281,280,280,280,279,279,279,278,278,280,278,278,278,278,0,0,0,0,0,280,0,0,0,0,,279
George County,280,280,277,279,280,279,279,279,280,280,280,280,280,280,280,280,280,280,279,279,280,279,279,279,278,0,0,0,0,0,280,0,0,0,0,,279
Holmes County,280,279,279,280,280,280,280,280,279,279,280,280,280,280,280,279,279,279,279,278,280,278,278,278,278,0,0,0,0,0,280,0,0,0,0,,279
Issaquena County,274,274,271,272,273,272,271,270,271,274,274,274,272,272,271,270,265,274,272,272,274,271,271,271,271,0,0,0,0,0,274,0,0,0,0,,272
