Location,Capacity_x_x,1-Sep-10,2-Sep-10,3-Sep-10,4-Sep-10,5-Sep-10,6-Sep-10,7-Sep-10,8-Sep-10,9-Sep-10,Capacity_y_x,10-Sep-10,11-Sep-10,12-Sep-10,13-Sep-10,14-Sep-10,15-Sep-10,16-Sep-10,17-Sep-10,18-Sep-10,Capacity_x_y,19-Sep-10,20-Sep-10,21-Sep-10,22-Sep-10,23-Sep-10,24-Sep-10,25-Sep-10,26-Sep-10,27-Sep-10,Capacity_y_y,28-Sep-10,29-Sep-10,30-Sep-10,Avg Population
Kemper County,355,284,283,283,283,282,282,283,283,283,355,283,283,282,283,282,285,285,285,285,355,285,285,285,285,284,285,285,285,285,355,285,284,284,284
Leake County,280,226,226,225,225,225,225,226,226,226,280,226,226,226,226,225,225,225,225,225,280,225,225,225,224,224,225,225,225,225,280,225,224,224,225
Marion County,280,223,221,226,226,225,225,225,225,224,280,224,224,224,224,224,224,224,224,224,280,224,223,224,223,222,224,224,224,224,280,224,224,224,224
Stone County,280,224,223,223,223,223,223,223,224,224,280,224,223,222,223,223,222,222,223,223,280,222,222,224,223,223,224,224,224,223,280,223,223,222,223
Winston County,280,224,221,222,222,222,222,223,224,222,280,222,222,222,223,225,225,224,220,220,280,220,223,225,225,224,224,224,224,224,280,224,224,223,223
Yazoo County,300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,70,70,300,70,70,139,139,189,189,189,189,238,300,238,239,238,162
PRIVATE PRISONS,"5,972","5,325","5,330","5,338","5,334","5,332","5,330","5,325","5,351","5,346","5,972","5,346","5,342","5,337","5,346","5,353","5,345","5,331","5,327","5,326","5,972","5,322","5,303","5,286","5,287","5,285","5,279","5,276","5,275","5,271","5,972","5,284","5,307","5,300","5,318"
Delta,972,900,903,900,900,900,899,898,900,902,972,902,901,900,904,904,903,903,902,902,972,901,902,901,901,901,901,901,901,900,972,901,904,901,901
East Mississippi,"1,500","1,359","1,361","1,366","1,363","1,361","1,360","1,363","1,364","1,360","1,500","1,360","1,358","1,355","1,355","1,354","1,350","1,361","1,361","1,361","1,500","1,361","1,361","1,362","1,365","1,365","1,366","1,366","1,366","1,365","1,500","1,364","1,363","1,363","1,361"
Marshall County,"1,000",923,923,925,925,925,925,923,947,945,"1,000",945,945,945,943,943,941,916,913,913,"1,000",913,892,872,871,870,870,870,870,869,"1,000",869,891,890,910
Walnut Grove,"1,500","1,191","1,191","1,195","1,194","1,194","1,194","1,190","1,189","1,192","1,500","1,192","1,191","1,191","1,195","1,202","1,202","1,200","1,197","1,196","1,500","1,194","1,196","1,200","1,199","1,198","1,191","1,189","1,188","1,186","1,500","1,199","1,199","1,198","1,194"
Wilkinson County,"1,000",952,952,952,952,952,952,951,951,947,"1,000",947,947,946,949,950,949,951,954,954,"1,000",953,952,951,951,951,951,950,950,951,"1,000",951,950,948,951
RESTITUTION CENTERS,16,8,8,8,8,8,8,8,8,8,16,8,8,8,9,9,9,9,9,9,16,9,8,8,7,7,6,6,6,7,16,7,7,7,8
Greenwood,6,2,2,2,2,2,2,2,2,2,6,2,2,2,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3
Hinds,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,3,3,2,2,2,2,2,2,6,2,2,2,3
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,1,1,1,2,4,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,5,5,5,6
E-CODE,0,7,9,5,5,10,9,7,7,43,0,43,43,8,9,9,11,12,54,54,0,53,17,13,9,9,62,62,61,9,0,9,7,8,22
TOTALS,"23,876","20,980","20,992","20,983","20,974","20,968","20,958","20,980","21,000","20,978","23,876","20,978","20,963","20,916","20,968","20,987","20,997","20,968","20,970","20,962","23,876","20,952","20,979","21,011","21,019","21,016","21,024","21,016","21,012","20,993","23,876","21,020","21,042","21,030","20,988"
