Location,Capacity_x,1-Mar-14,2-Mar-14,3-Mar-14,4-Mar-14,5-Mar-14,6-Mar-14,7-Mar-14,8-Mar-14,9-Mar-14,10-Mar-14,Capacity_y,11-Mar-14,12-Mar-14,13-Mar-14,14-Mar-14,15-Mar-14,16-Mar-14,17-Mar-14,18-Mar-14,19-Mar-14,20-Mar-14,21-Mar-14,Capacity,22-Mar-14,23-Mar-14,24-Mar-14,25-Mar-14,26-Mar-14,27-Mar-14,28-Mar-14,29-Mar-14,30-Mar-14,31-Mar-14,Avg Pop
Mississippi State Penitentiary,"4,648","3,325","3,325","3,330","3,324","3,333","3,331","3,313","3,315","3,315","3,326","4,648","3,325","3,327","3,339","3,353","3,352","3,350","3,358","3,350","3,351","3,357","3,356","4,648","3,356","3,353","3,355","3,355","3,349","3,326","3,346","3,345","3,344","3,336","3,339"
Central Mississippi Correctional Facility,"3,665","2,960","2,960","2,983","2,999","2,975","2,995","2,977","2,980","2,979","2,988","3,665","3,012","3,044","3,002","2,986","2,985","2,985","2,972","2,995","2,999","2,976","2,972","3,665","2,970","2,968","2,969","2,983","2,941","2,949","2,937","2,933","2,937","2,960","2,976"
Youthful Offender Unit,42,34,34,34,34,35,36,33,35,35,35,42,35,35,35,34,34,34,34,36,36,36,36,42,36,36,36,36,37,37,37,37,37,37,35
South Mississippi Correctional Institution,"3,282","3,239","3,236","3,230","3,224","3,236","3,237","3,216","3,219","3,218","3,211","3,282","3,205","3,178","3,202","3,208","3,205","3,205","3,206","3,203","3,205","3,212","3,208","3,282","3,207","3,202","3,220","3,214","3,227","3,219","3,232","3,233","3,233","3,235","3,217"
County Jails,"2,020","1,969","1,969","1,973","1,898","1,917","2,017","1,999","2,003","2,001","1,998","2,020","1,973","1,966","1,944","1,965","1,965","1,965","1,955","2,001","1,977","1,967","1,971","2,020","1,973","1,971","1,828","1,955","1,949","1,975","1,970","1,970","1,970","2,056","1,968"
COMMUNITY WORK CENTERS,"1,848","1,175","1,172","1,182","1,170","1,179","1,179","1,135","1,169","1,170","1,181","1,848","1,178","1,151","1,150","1,137","1,134","1,131","1,141",998,"1,147","1,146","1,134","1,848","1,133","1,132","1,142","1,146","1,153","1,162","1,155","1,153","1,151","1,162","1,150"
Alcorn Satellite Facility,92,84,83,83,81,85,85,82,84,84,84,92,87,85,84,82,81,81,87,87,87,87,87,92,87,87,90,89,88,88,89,89,88,88,86
Bolivar Satellite Facility,102,57,55,55,55,55,55,51,53,53,52,102,50,47,47,46,46,46,49,49,46,49,47,102,47,47,48,47,47,47,47,47,47,47,49
Forrest Satellite Facility,96,53,53,54,51,50,50,47,49,49,50,96,52,50,49,52,52,52,51,51,53,51,50,96,50,50,49,51,52,52,51,51,51,53,51
George Satellite Facility,102,63,63,63,62,61,60,59,61,61,60,102,61,60,61,60,60,60,61,61,61,60,59,102,59,59,59,59,59,59,62,62,62,62,61
Harrison Satellite Facility,102,48,48,48,48,48,48,44,46,46,49,102,48,41,38,38,38,38,38,36,37,36,38,102,38,38,41,42,48,48,47,47,46,49,43
Jackson Satellite Facility,102,56,56,56,55,54,54,52,54,54,52,102,52,50,48,48,48,48,46,46,45,45,45,102,45,45,45,45,45,45,43,42,43,43,49
Jefferson Satellite Facility,102,50,50,51,52,55,53,50,52,52,51,102,51,49,48,47,47,47,46,46,48,48,47,102,47,47,47,46,46,46,46,46,46,44,48
Leflore Satellite Facility,102,49,49,49,47,48,48,47,49,49,50,102,50,50,49,50,50,50,50,55,57,56,55,102,55,55,58,57,57,56,57,57,57,57,52
Madison Satellite Facility,102,45,45,49,46,44,45,41,43,43,44,102,46,43,43,43,43,43,43,42,42,44,45,102,45,45,47,54,55,55,54,54,54,54,46
Noxubee Satellite Facility,92,72,72,76,76,75,75,73,75,75,75,92,73,72,72,70,70,69,70,70,70,74,71,92,71,71,74,76,76,76,76,76,76,76,73
Pike Satellite Facility,93,88,88,88,89,89,89,85,87,87,88,93,90,88,88,88,88,86,88,88,90,90,90,93,90,89,89,86,87,93,90,90,90,89,89
Quitman Satellite Facility,93,75,75,75,75,75,80,81,83,84,83,93,78,78,78,63,61,61,64,63,62,62,61,93,60,60,57,59,60,61,61,60,59,69,68
Rankin Satellite Facility,260,197,197,197,201,203,200,195,197,197,199,260,198,199,199,199,199,199,199,56,201,201,200,260,200,200,202,200,200,201,200,200,200,200,195
Simpson Satellite Facility,102,89,89,89,87,93,93,90,92,92,94,102,93,91,93,97,97,97,97,97,96,95,95,102,95,95,93,92,91,91,91,91,91,89,93
Washington Satellite Facility,102,51,51,51,51,50,50,48,50,50,57,102,56,53,58,58,58,58,55,55,54,52,50,102,50,50,49,52,52,52,51,51,51,52,52
Wilkinson Satellite Facility,102,40,40,40,39,39,40,41,43,43,42,102,42,44,44,44,44,44,44,43,43,43,42,102,42,42,43,41,41,41,39,39,39,40,42
Yazoo Satellite Facility,102,58,58,58,55,55,54,49,51,51,51,102,51,51,51,52,52,52,53,53,55,53,52,102,52,52,51,50,49,51,51,51,51,50,52
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,403","4,401","4,384","4,385","4,387","4,324","4,382","4,392","4,392","4,399","4,438","4,406","4,405","4,417","4,418","4,415","4,415","4,420","4,416","4,410","4,421","4,418","4,438","4,413","4,411","4,413","4,416","4,425","4,424","4,420","4,418","4,415","4,413","4,406"
Alcorn County,300,299,298,298,298,298,298,296,297,297,294,300,295,299,299,298,298,298,298,300,300,300,299,300,300,300,300,300,299,300,300,300,299,298,298
Bolivar County,369,367,366,366,365,365,369,367,368,368,367,369,366,363,365,367,367,367,369,369,369,368,367,369,368,368,369,368,368,367,367,367,366,369,367
Carroll County,280,280,280,280,277,279,279,277,279,279,279,280,279,280,280,280,280,280,280,280,280,278,278,280,277,277,279,280,279,279,276,275,275,275,279
Chickasaw County,300,300,300,299,298,297,297,298,300,300,299,300,298,299,300,300,300,300,298,297,297,300,300,300,299,299,298,298,298,300,298,298,298,297,299
George County,280,276,276,278,278,279,278,275,277,277,279,280,278,278,277,276,276,276,280,279,280,281,280,280,280,280,278,280,280,277,279,278,278,279,278
Holmes County,280,280,280,280,279,280,280,278,280,280,280,280,279,280,280,279,279,279,280,280,280,280,280,280,280,280,279,279,280,280,278,278,278,277,279
Issaquena County,274,272,272,271,271,269,269,270,270,270,272,274,273,271,273,274,274,274,274,272,273,274,274,274,274,274,274,274,274,274,274,274,274,273,273
Jefferson County,280,279,279,279,279,274,272,272,272,272,270,280,277,273,278,278,278,278,280,278,277,277,277,280,276,276,276,279,279,280,280,280,280,280,277
Kemper County,355,352,352,351,353,355,355,355,355,355,355,355,355,354,355,355,355,355,354,352,351,355,355,355,355,355,354,354,354,355,355,355,355,353,354
Leake County,280,275,275,275,272,275,275,269,269,269,277,280,277,279,279,281,281,281,281,281,280,280,280,280,279,279,280,276,280,277,278,278,278,281,277
Marion County,280,280,280,281,280,280,279,278,278,278,280,280,280,279,279,280,280,280,280,280,279,280,280,280,279,278,280,280,280,279,280,280,279,280,280
Stone County,280,277,277,279,277,277,280,280,280,280,280,280,280,280,280,278,278,278,278,280,277,277,277,280,279,279,280,280,280,280,280,280,280,280,279
Washington County,300,297,297,297,297,295,298,296,296,296,294,300,293,297,295,295,295,295,294,289,289,294,294,300,293,292,292,292,297,297,296,296,296,295,295
Winston County,280,274,274,275,271,275,278,276,276,276,276,280,277,273,275,275,274,274,274,278,280,279,279,280,278,278,278,277,278,278,278,278,278,278,276
Yazoo County,300,295,295,275,290,289,217,295,295,295,297,300,299,300,302,302,300,300,300,301,298,298,298,300,296,296,296,299,299,301,301,301,301,298,294
PRIVATE PRISONS,5000,4392,4390,4388,4385,4386,4384,4384,4375,4372,4366,5000,4367,4365,4369,4370,4369,4366,4361,4363,4365,4369,4370,5000,4367,4366,4365,4362,4358,4367,4366,4366,4361,3497,"4,343"
East Mississippi,"1,500","1,198","1,198","1,197","1,197","1,200","1,199","1,199","1,200","1,198","1,197","1,500","1,199","1,201","1,200","1,201","1,201","1,200","1,198","1,199","1,200","1,200","1,200","1,500","1,199","1,199","1,198","1,199","1,199","1,199","1,200","1,200","1,198",0,"1,160"
Marshall County,"1,000",998,997,998,995,994,993,993,"1,000","1,000","1,000","1,000","1,000",998,998,998,998,998,998,"1,000",999,999,999,"1,000",998,998,998,997,996,"1,000",999,998,999,1201,"1,004"
Walnut Grove,"1,500","1,314","1,313","1,313","1,316","1,316","1,317","1,317","1,301","1,300","1,295","1,500","1,294","1,292","1,292","1,292","1,291","1,289","1,288","1,289","1,291","1,295","1,296","1,500","1,295","1,294","1,294","1,293","1,295","1,300","1,301","1,302","1,300",997,"1,290"
Wilkinson County,"1,000",882,882,880,877,876,875,875,874,874,874,"1,000",874,874,879,879,879,879,877,875,875,875,875,"1,000",875,875,875,873,868,868,866,866,864,1299,888
RESTITUTION CENTERS,16,12,12,13,12,12,12,12,12,12,12,16,12,12,12,11,11,11,11,11,11,11,10,16,10,10,11,11,11,11,11,11,11,11,11
Greenwood,6,6,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,6,3,5,5,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,1,4,1,1,2,2,2,2,2,2,2,2,2
TOTALS,"24,959","21,509","21,499","21,517","21,431","21,460","21,515","21,451","21,500","21,494","21,516","24,959","21,513","21,483","21,470","21,482","21,470","21,462","21,458","21,373","21,501","21,495","21,475","24,959","21,465","21,449","21,339","21,478","21,450","21,470","21,474","21,466","21,459","20,707","21,446"
