Location,Capacity_x,1-Jun-20,2-Jun-20,3-Jun-20,4-Jun-20,5-Jun-20,6-Jun-20,7-Jun-20,8-Jun-20,9-Jun-20,10-Jun-20,11-Jun-20
Mississippi State Penitentiary,"3,560","2,007","2,005","2,007","2,004","2,004","2,004","2,004","2,001","1,996","1,993","1,994"
Central Mississippi Correctional Facility,"4,094","3,309","3,288","3,268","3,267","3,259","3,258","3,259","3,260","3,214","3,207","3,204"
Youthful Offender Unit,58,18,18,17,18,18,18,18,18,18,18,18
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,456","2,451","2,446","2,445","2,443","2,442","2,442","2,440","2,438","2,433","2,430"
County Jails,"1,793","1,555","1,556","1,576","1,594","1,625","1,625","1,625","1,621","1,626","1,636","1,670"
COMMUNITY WORK CENTERS,"1,372",559,558,573,573,525,525,515,514,563,561,559
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,88,87,87,100,100,100,100,100,143,143,142
Delta TVC,324,3,3,18,18,18,18,18,18,18,18,18
Forrest Satellite Facility,96,72,72,72,47,47,47,47,47,47,46,46
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,51,51,51,51,0,0,0,0,0,0,0
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,51,51,51,51,44,44,44,43,50,50,50
Noxubee Satellite Facility,58,36,36,36,48,58,58,48,48,48,48,48
Pike Satellite Facility,93,73,73,73,73,73,73,73,73,73,73,72
Quitman Satellite Facility,93,49,49,49,49,49,49,49,49,49,49,49
Rankin Satellite Facility,178,127,127,127,127,127,127,127,127,125,124,124
Rankin SF (RRD),28,9,9,9,9,9,9,9,9,10,10,10
Flowood TVC,50,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,0,0,0,0,0,0,0,0,0,0,0
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","3,987","3,984","3,978","3,977","3,976","3,973","3,973","3,967","3,965","3,954","3,950"
Alcorn County,300,286,286,285,285,285,285,285,285,285,285,285
Bolivar County,369,266,266,265,265,265,264,264,264,264,263,261
Carroll County,280,247,246,246,245,245,244,244,244,244,244,244
Chickasaw County,310,295,294,294,294,294,294,294,294,294,293,292
George County,342,311,311,310,310,310,310,310,310,310,310,310
Holmes County,280,257,257,257,257,257,257,257,257,257,257,257
Issaquena County,297,286,286,286,286,286,286,286,285,284,284,284
Jefferson County,280,254,254,254,254,254,253,253,253,253,252,252
Kemper County,355,294,294,294,294,294,294,294,293,293,288,287
Leake County,280,234,233,232,232,232,232,232,231,231,231,231
Marion County,280,368,368,366,366,365,365,365,364,364,364,364
Stone County,326,261,261,261,261,261,261,261,261,261,260,260
Washington County,300,130,130,130,130,130,130,130,129,129,129,128
Winston County,280,229,229,229,229,229,229,229,229,228,227,227
Yazoo County,300,269,269,269,269,269,269,269,268,268,267,268
PRIVATE PRISONS,"5,000","3,011","3,009","3,007","3,006","3,004","3,004","3,004","3,001","2,999","2,998","2,998"
Tallahatchie County,"1,000",749,748,744,744,743,743,743,743,743,740,740
East Mississippi,"1,500","1,201","1,199","1,198","1,198","1,197","1,197","1,197","1,195","1,194","1,194","1,194"
Marshall County,"1,000",968,968,967,966,965,965,965,965,964,964,964
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",842,842,842,842,842,842,842,841,841,840,840
RESTITUTION CENTERS,10,0,0,0,0,0,0,0,0,0,0,0
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,0,0,0,0,0,0,0,0,0,0,0
Pascagoula,4,0,0,0,0,0,0,0,0,0,0,0
TRANSITIONAL HOUSING,122,1,0,"3,004",0,0,0,0,0,0,0,0
Madison,40,1,0,0,0,0,0,0,0,0,0,0
Noxubee,34,0,0,0,0,0,0,0,0,0,0,0
Rankin/Flowood,8,0,0,0,0,0,0,0,0,0,0,0
Washington,42,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"23,670","16,903","16,869","19,876","16,884","16,854","16,849","16,840","16,822","16,819","16,800","16,823"
