Location,Capacity_x,1-Jul-03,2-Jul-03,3-Jul-03,4-Jul-03,5-Jul-03,6-Jul-03,7-Jul-03,8-Jul-03,9-Jul-03,10-Jul-03,11-Jul-03,12-Jul-03,13-Jul-03,Capacity_y,14-Jul-03,15-Jul-03,16-Jul-03,17-Jul-03,18-Jul-03,19-Jul-03,20-Jul-03,21-Jul-03,22-Jul-03,23-Jul-03,24-Jul-03,25-Jul-03,26-Jul-03,Capacity,27-Jul-03,28-Jul-03,29-Jul-03,30-Jul-03,31-Jul-03
MS STATE PENITENTIARY,"5,768","5,674","5,698","5,691","5,688","5,688","5,686","5,701","5,669","5,674","5,646","5,637","5,633","5,633","5,768","5,625","5,662","5,667","5,657","5,673","5,671","5,670","5,654","5,677","5,691","5,689","5,686","5,685","5,768","5,682","5,678","5,680","5,710","5,694"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,172","3,159","3,164","3,161","3,162","3,161","3,159","3,160","3,155","3,152","3,136","3,136","3,136","3,233","3,152","3,145","3,144","3,155","3,136","3,137","3,138","3,148","3,149","3,155","3,150","3,182","3,181","3,233","3,183","3,204","3,195","3,191","3,191"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,185","2,184","2,175","2,172","2,172","2,170","2,168","2,163","2,158","2,187","2,168","2,164","2,166","2,214","2,144","2,140","2,132","2,148","2,143","2,142","2,140","2,150","2,146","2,145","2,161","2,152","2,152","2,214","2,152","2,149","2,145","2,143","2,152"
COUNTY JAILS,"2,176","2,016","2,006","2,017","2,018","2,018","2,018","2,036","2,041","2,055","2,057","2,064","2,064","2,064","2,176","2,057","2,067","2,070","2,073","2,077","2,074","2,074","2,062","2,044","2,016","1,991","1,974","1,974","2,176","1,974","1,972","1,982","1,969","1,961"
COMMUNITY WORK CENTERS,"1,816","1,443","1,437","1,437","1,436","1,435","1,434","1,427","1,402","1,411","1,407","1,330","1,330","1,329","1,816","1,400","1,399","1,403","1,405","1,356","1,356","1,357","1,390","1,390","1,394","1,395","1,345","1,345","1,816","1,344","1,391","1,388","1,392","1,398"
Alcorn Satellite Facility,92,91,90,89,89,89,89,86,86,86,86,83,83,83,92,85,85,85,87,84,84,84,84,84,83,86,84,84,92,84,85,85,85,85
Bolivar Satellite Facility,102,72,71,72,72,72,72,72,70,70,70,65,65,65,102,68,68,68,68,67,67,67,68,68,68,68,64,64,102,64,67,66,66,66
Forrest Satellite Facility,96,73,73,74,74,74,74,74,71,69,71,71,71,71,96,75,73,76,76,75,75,75,75,75,75,75,72,72,96,72,75,75,75,75
George Satellite Facility,102,100,99,98,98,98,98,98,97,97,95,90,90,90,102,95,95,95,95,95,95,95,95,95,94,93,87,87,102,86,90,89,89,87
Harrison Satellite Facility,102,75,75,74,74,74,74,74,71,71,71,65,65,65,102,73,73,73,73,71,71,71,73,73,73,73,69,69,102,69,73,73,74,73
Jackson Satellite Facility,102,71,71,71,71,71,71,71,69,74,74,71,71,70,102,74,74,74,74,70,70,70,73,73,73,73,69,69,102,69,72,72,72,72
Jefferson Satellite Facility,102,73,73,71,71,71,71,71,71,70,74,69,69,69,102,74,74,72,72,66,66,66,71,71,77,77,77,77,102,77,77,77,77,77
Leflore Satellite Facility,102,96,96,96,96,96,96,94,93,93,93,84,84,84,102,93,93,92,91,89,89,89,89,89,89,89,84,84,102,84,88,88,88,88
Madison Satellite Facility,102,99,89,89,89,88,88,88,85,90,90,87,87,87,102,90,89,89,93,87,87,87,94,95,95,95,88,88,102,88,95,97,97,97
Noxubee Satellite Facility,92,72,72,71,71,71,71,67,67,70,70,66,66,66,92,69,69,71,69,68,68,68,69,69,69,69,66,66,92,66,69,69,75,75
Pike Satellite Facility,93,59,58,58,58,58,57,57,57,57,56,52,52,52,93,55,55,55,56,55,55,55,55,54,53,53,51,51,93,51,53,53,53,53
Quitman Satellite Facility,93,66,66,67,67,67,67,68,68,69,68,66,66,66,93,67,67,67,67,64,64,64,66,65,64,64,62,62,93,62,64,62,62,62
Rankin Satellite Facility,228,170,170,170,170,170,170,170,168,167,168,158,158,158,228,166,166,167,166,157,157,157,163,167,167,167,163,163,228,163,166,168,167,177
Simpson Satellite Facility,102,75,75,78,78,78,78,80,78,78,78,71,71,71,102,77,78,78,78,74,74,74,78,78,78,77,79,79,102,79,82,79,80,80
Washington Satellite Facility,102,82,92,92,92,92,92,91,90,90,89,85,85,85,102,88,89,89,89,89,89,89,89,87,86,86,83,83,102,83,85,85,84,84
