Location,Capacity_x,1-May-04,2-May-04,3-May-04,4-May-04,5-May-04,6-May-04,7-May-04,8-May-04,9-May-04,10-May-04,11-May-04,12-May-04,13-May-04,Capacity_y,14-May-04,15-May-04,16-May-04,17-May-04,18-May-04,19-May-04,20-May-04,21-May-04,22-May-04,23-May-04,24-May-04,25-May-04,26-May-04,Capacity,27-May-04,28-May-04,29-May-04,30-May-04,31-May-04
MS STATE PENITENTIARY (See note at bottom),"5,396","5,383","5,383","5,383","5,341","5,344","5,320","5,320","5,316","5,316","5,300","5,272","5,243","5,188","5,396","5,202","5,201","5,201","5,198","5,141","5,159","5,108","5,116","5,115","5,114","5,106","5,081","5,082","5,396","5,045","5,043","5,043","5,042","5,038"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,164","3,164","3,158","3,160","3,160","3,164","3,171","3,168","3,168","3,171","3,189","3,200","3,172","3,233","3,131","3,132","3,130","3,127","3,144","3,134","3,143","3,129","3,128","3,128","3,138","3,133","3,156","3,233","3,149","3,161","3,161","3,159","3,159"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,173","2,174","2,187","2,186","2,194","2,188","2,185","2,185","2,185","2,184","2,177","2,159","2,183","2,214","2,169","2,167","2,167","2,182","2,182","2,176","2,192","2,191","2,192","2,192","2,190","2,192","2,185","2,214","2,179","2,165","2,164","2,164","2,165"
COUNTY JAILS,"2,224","2,129","2,129","2,161","2,142","2,133","2,133","2,107","2,107","2,107","2,116","2,109","2,112","2,132","2,224","2,150","2,150","2,150","2,144","2,136","2,133","2,118","2,149","2,149","2,149","2,160","2,181","2,181","2,224","2,173","2,168","2,168","2,168","2,173"
COMMUNITY WORK CENTERS,"1,816","1,703","1,703","1,725","1,734","1,731","1,725","1,697","1,696","1,696","1,726","1,726","1,722","1,730","1,816","1,664","1,665","1,665","1,734","1,743","1,741","1,739","1,665","1,665","1,662","1,748","1,751","1,746","1,816","1,763","1,754","1,755","1,755","1,757"
Alcorn Satellite Facility,92,90,90,90,89,89,89,86,86,86,90,89,92,92,92,84,84,84,92,92,91,91,88,88,88,92,92,91,92,92,92,92,92,92
Bolivar Satellite Facility,102,96,96,101,101,100,100,100,100,100,102,102,99,97,102,96,96,96,97,101,102,102,94,94,93,102,102,101,102,101,101,101,101,101
Forrest Satellite Facility,96,92,92,95,94,92,91,90,90,90,95,95,95,95,96,86,86,86,95,95,95,94,94,94,94,96,96,96,96,96,95,95,95,95
George Satellite Facility,102,95,95,97,98,96,96,95,95,95,97,97,100,100,102,92,92,92,98,98,98,98,96,96,96,98,102,102,102,102,101,101,101,101
Harrison Satellite Facility,102,100,100,100,100,100,98,96,96,96,97,102,100,99,102,98,98,98,99,99,98,98,92,92,92,102,102,102,102,102,101,101,101,101
Jackson Satellite Facility,102,93,93,93,95,95,94,98,98,98,100,101,99,97,102,92,92,92,96,96,95,95,88,88,88,95,95,101,102,102,102,102,102,102
Jefferson Satellite Facility,102,96,96,95,100,101,101,96,96,96,102,102,102,102,102,95,95,95,99,100,98,98,93,93,92,100,100,100,102,100,94,94,94,97
Leflore Satellite Facility,102,99,99,100,101,101,101,98,98,98,99,99,101,101,102,96,96,96,102,102,101,101,91,91,91,100,100,100,102,102,102,102,102,102
Madison Satellite Facility,102,101,101,101,102,102,102,99,99,99,101,100,100,102,102,100,100,100,102,102,101,101,96,96,95,101,101,101,102,100,101,101,101,101
Noxubee Satellite Facility,92,89,89,89,92,92,92,91,91,91,91,91,91,91,92,89,89,89,91,92,92,92,89,89,89,92,92,89,92,91,91,91,91,91
Pike Satellite Facility,93,71,71,71,71,71,71,71,71,71,71,71,71,71,93,67,67,67,67,67,69,68,66,66,66,67,67,68,93,68,68,68,68,68
Quitman Satellite Facility,93,80,80,79,79,79,79,78,78,78,79,79,79,80,93,76,76,76,80,80,82,82,77,77,77,82,81,80,93,86,87,87,87,87
Rankin Satellite Facility,228,212,212,214,213,217,216,212,211,211,214,212,212,211,228,211,211,211,216,214,214,215,212,212,212,217,217,212,228,217,216,217,217,216
Simpson Satellite Facility,102,102,102,102,102,102,102,99,99,99,98,97,99,98,102,95,95,95,101,102,101,101,97,97,97,102,102,102,102,102,101,101,101,101
Washington Satellite Facility,102,101,101,101,101,101,101,96,96,96,97,97,95,95,102,93,94,94,100,100,100,100,97,97,97,100,100,100,102,102,102,102,102,102
Wilkinson Satellite Facility,102,84,84,97,96,94,93,93,93,93,93,91,89,98,102,96,96,96,97,101,102,101,99,99,99,100,100,100,102,99,100,100,100,100
Yazoo Satellite Facility,102,102,102,100,100,99,99,99,99,99,100,101,98,101,102,98,98,98,102,102,102,102,96,96,96,102,102,101,102,101,100,100,100,100
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,745","2,745","2,734","2,742","2,746","2,742","2,742","2,742","2,742","2,749","2,747","2,743","2,741","2,750","2,743","2,743","2,742","2,742","2,743","2,743","2,746","2,748","2,747","2,746","2,748","2,748","2,745","2,750","2,745","2,744","2,742","2,742","2,741"
Bolivar County,250,250,250,249,249,249,249,249,249,249,250,250,250,250,250,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249
Carroll County,250,250,250,249,251,251,249,249,249,249,250,249,249,249,250,249,249,248,250,249,249,250,250,250,250,250,248,246,250,246,250,250,250,250
George County,250,250,250,248,250,250,249,249,249,249,250,250,249,249,250,249,249,249,249,250,250,249,250,249,248,249,251,250,250,250,250,249,249,249
Holmes County,250,249,249,248,249,249,250,250,250,250,249,249,250,250,250,249,249,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250
Issaquena County,250,249,249,249,247,249,248,250,250,250,250,251,248,248,250,249,249,249,247,249,247,247,250,250,250,250,250,250,250,249,247,247,247,247
Jefferson County,250,250,250,250,249,250,250,250,250,250,250,250,248,248,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,249
Kemper County,250,250,250,248,248,250,250,249,249,249,250,249,249,249,250,250,250,250,250,249,250,250,249,249,249,249,249,250,250,250,249,249,249,249
Leake County,250,250,250,248,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Marion County,250,248,248,247,250,250,249,249,249,249,250,250,250,250,250,250,250,250,250,248,248,250,250,250,250,250,250,250,250,250,250,250,250,249
Stone County,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,249,249,249,250,250,249,250,250,249,249,249,249
Winston County,250,249,249,248,249,249,248,247,247,247,250,250,250,248,250,248,248,248,248,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
PRIVATE PRISONS,"4,700","3,821","3,821","3,820","3,866","3,864","3,900","3,903","3,903","3,903","3,900","3,939","3,938","3,981","4,700","3,986","3,984","3,983","3,983","4,029","4,029","4,069","4,074","4,070","4,070","4,071","4,116","4,122","4,700","4,167","4,176","4,176","4,174","4,174"
Delta       (Reopened 04-01-04),950,395,395,395,439,438,482,480,480,480,478,522,522,568,950,568,568,567,565,610,610,653,653,653,653,652,697,697,950,740,739,739,738,738
East MS,"1,000",725,725,724,724,723,723,729,729,729,729,728,728,727,"1,000",726,726,726,725,727,724,724,729,729,729,729,728,727,"1,000",726,725,725,725,725
Marshall County,"1,000",994,994,992,993,995,995,995,995,995,994,993,993,992,"1,000",991,990,990,991,994,994,994,994,993,993,993,992,995,"1,000",995,993,993,993,993
Walnut Grove,750,716,716,714,715,714,708,705,705,705,705,703,700,701,750,709,709,709,708,704,708,707,708,708,708,705,708,708,750,712,726,726,726,726
Wilkinson County,"1,000",991,991,995,995,994,992,994,994,994,994,993,995,993,"1,000",992,991,991,994,994,993,991,990,987,987,992,991,995,"1,000",994,993,993,992,992
RESITITUTION CENTERS,24,14,14,14,14,14,14,14,14,14,14,14,14,15,24,15,15,15,15,15,15,15,15,15,15,16,16,16,24,16,16,16,16,16
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,5,5,5,5,5,5,5,5,5,5,5,5,6,12,6,6,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6,6,6
Pascagoula,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,4,4,4,6,4,4,4,4,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,,28,27,9,9,7,8,39,39,39,7,7,7,7,,74,73,73,5,8,0,7,91,92,92,6,5,4,,4,7,6,5,0
TOTALS,"22,363","21,165","21,165","21,196","21,199","21,198","21,199","21,183","21,175","21,175","21,172","21,185","21,143","21,154","22,363","21,139","21,135","21,131","21,135","21,146","21,135","21,142","21,183","21,178","21,173","21,188","21,228","21,242","22,363","21,246","21,239","21,236","21,230","21,228"
