Location,Capacity_x,1-Jul-05,2-Jul-05,3-Jul-05,4-Jul-05,5-Jul-05,6-Jul-05,7-Jul-05,8-Jul-05,9-Jul-05,10-Jul-05,11-Jul-05,12-Jul-05,13-Jul-05,Capacity_y,14-Jul-05,15-Jul-05,16-Jul-05,17-Jul-05,18-Jul-05,19-Jul-05,20-Jul-05,21-Jul-05,22-Jul-05,23-Jul-05,24-Jul-05,25-Jul-05,26-Jul-05,Capacity,27-Jul-05,28-Jul-05,29-Jul-05,30-Jul-05,31-Jul-05
Mississippi State Penitentiary,"4,630","4,614","4,610","4,608","4,603","4,619","4,612","4,599","4,597","4,593","4,593","4,601","4,598","4,585","4,630","4,595","4,597","4,594","4,592","4,582","4,586","4,586","4,582","4,575","4,569","4,567","4,577","4,581","4,630","4,561","4,541","4,523","4,512","4,506"
Central Mississippi Correctional Facility,"3,233","3,166","3,161","3,160","3,158","3,153","3,116","3,118","3,138","3,134","3,134","3,118","3,107","3,104","3,233","3,089","3,077","3,076","3,074","3,038","3,025","3,033","3,051","3,040","3,037","3,036","2,999","3,006","3,233","3,019","3,027","3,053","3,047","3,047"
South Mississippi Correctional Institution,"2,226","2,172","2,171","2,169","2,169","2,175","2,187","2,186","2,180","2,181","2,181","2,179","2,198","2,197","2,226","2,198","2,183","2,181","2,181","2,189","2,192","2,188","2,184","2,137","2,136","2,133","2,148","2,147","2,226","2,149","2,144","2,144","2,139","2,138"
County Jails,"2,247","1,630","1,630","1,630","1,631","1,615","1,627","1,644","1,647","1,647","1,647","1,638","1,632","1,653","2,247","1,675","1,695","1,695","1,695","1,731","1,745","1,749","1,782","1,771","1,771","1,771","1,774","1,744","2,247","1,757","1,741","1,733","1,733","1,733"
COMMUNITY WORK CENTERS,"1,816","1,674","1,673","1,670","1,666","1,661","1,670","1,670","1,641","1,640","1,640","1,680","1,688","1,693","1,816","1,698","1,628","1,627","1,623","1,690","1,689","1,694","1,693","1,656","1,652","1,652","1,699","1,717","1,816","1,706","1,700","1,664","1,658","1,655"
Alcorn Satellite Facility,92,89,89,88,88,88,91,91,84,84,85,91,91,91,92,91,84,84,84,91,91,92,92,87,86,86,91,91,92,91,90,88,88,88
Bolivar Satellite Facility,102,100,100,100,99,99,98,98,95,95,95,97,96,98,102,98,97,97,96,100,100,101,100,99,99,99,99,99,102,99,98,97,97,97
Forrest Satellite Facility,96,94,94,94,94,93,93,93,93,93,93,93,93,96,96,95,89,89,89,95,94,94,92,93,93,93,94,94,96,93,93,88,87,87
George Satellite Facility,102,93,92,92,92,91,89,88,90,90,89,89,88,88,102,88,83,83,83,88,88,87,88,86,86,86,87,90,102,89,89,87,87,87
Harrison Satellite Facility,102,94,94,93,93,92,94,94,94,94,94,93,95,94,102,94,90,90,90,91,91,91,91,89,89,89,94,94,102,95,95,99,99,99
Jackson Satellite Facility,102,96,96,96,96,96,96,95,94,94,94,94,94,95,102,95,85,85,85,95,95,95,95,93,93,93,94,94,102,93,93,92,92,91
Jefferson Satellite Facility,102,80,80,80,80,80,91,91,89,89,89,94,94,96,102,95,90,90,89,93,93,93,90,95,95,95,96,95,102,95,92,87,87,87
Leflore Satellite Facility,102,94,94,94,94,94,93,96,94,94,94,99,99,100,102,100,97,97,97,99,99,102,102,98,98,98,102,102,102,101,100,100,100,100
Madison Satellite Facility,102,94,94,94,94,94,97,96,98,98,98,102,102,102,102,102,101,101,101,102,102,102,102,98,98,98,101,101,102,101,101,101,101,101
Noxubee Satellite Facility,92,91,91,91,91,90,89,89,79,79,80,87,87,87,92,87,88,88,88,89,89,89,89,83,83,83,90,88,92,88,91,86,86,86
Pike Satellite Facility,93,84,84,84,84,84,84,84,84,84,84,84,85,85,93,85,81,81,81,85,82,82,82,78,77,77,81,81,93,80,78,77,75,74
Quitman Satellite Facility,93,71,71,71,70,70,70,74,71,70,69,70,70,70,93,73,72,72,71,71,71,71,71,68,68,68,69,75,93,74,74,73,72,72
Rankin Satellite Facility,228,210,210,210,209,209,209,205,202,202,202,203,208,207,228,216,209,209,209,217,216,215,216,212,210,210,212,218,228,216,216,211,210,209
Simpson Satellite Facility,102,94,94,94,94,93,91,90,90,90,90,90,90,89,102,88,86,86,85,88,93,92,93,94,94,94,99,98,102,98,98,97,97,97
Washington Satellite Facility,102,102,102,101,100,100,99,99,96,96,96,99,99,99,102,99,92,91,91,99,99,99,102,100,100,100,101,100,102,100,99,97,97,97
Wilkinson Satellite Facility,102,87,87,87,87,87,87,89,97,97,97,97,96,95,102,91,88,88,88,89,88,88,87,87,87,87,87,97,102,95,95,87,87,87
Yazoo Satellite Facility,102,101,101,101,101,101,99,98,91,91,91,98,101,101,102,101,96,96,96,98,98,101,101,96,96,96,102,100,102,98,98,97,96,96
REGIONAL CORRECTIONAL FACILITIES,"2,834","2,743","2,741","2,741","2,741","2,742","2,743","2,743","2,739","2,739","2,737","2,740","2,742","2,746","2,834","2,748","2,745","2,744","2,744","2,743","2,744","2,746","2,764","2,764","2,762","2,761","2,758","2,764","2,834","2,778","2,810","2,823","2,823","2,819"
Bolivar County,250,249,249,249,249,249,249,250,250,250,250,249,249,249,250,250,250,250,250,248,248,249,249,250,250,250,250,247,250,244,248,250,250,249
Carroll County,250,250,249,249,249,249,250,248,248,248,248,248,250,250,250,250,249,249,249,249,249,250,250,250,248,247,250,250,250,250,249,250,250,248
George County,250,249,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,246,246,246,246,249,250,249,250,250,250,250
Holmes County,250,249,249,249,249,246,248,249,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,250,250,250,250
Issaquena County,274,250,250,250,250,250,247,247,247,247,246,250,250,249,274,251,249,249,249,249,249,248,269,272,272,272,269,269,274,272,272,269,269,269
Jefferson County,250,250,250,250,250,250,249,249,249,249,249,249,248,249,250,250,250,250,250,250,250,250,249,249,249,249,250,250,250,250,248,248,248,248
Kemper County,250,249,249,249,249,250,250,250,250,250,250,248,248,250,250,250,249,249,249,249,250,250,250,250,250,250,249,247,250,250,249,250,250,249
Leake County,280,249,249,249,249,249,250,250,250,250,250,249,249,250,280,248,249,248,248,250,250,250,250,250,250,250,250,258,280,270,270,280,280,280
Marion County,250,250,250,250,250,250,250,250,248,248,248,248,248,249,250,249,249,249,249,248,248,250,250,250,250,250,248,249,250,249,250,250,250,250
Stone County,280,248,248,248,248,250,250,250,248,248,247,250,250,250,280,250,250,250,250,250,250,250,249,248,248,248,248,246,280,244,275,277,277,277
Winston County,250,250,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,249,249,249,250,250,250,249,249,249,249
PRIVATE PRISONS,"5,100","4,838","4,838","4,837","4,835","4,834","4,835","4,835","4,829","4,825","4,825","4,840","4,845","4,854","5,100","4,851","4,843","4,842","4,837","4,872","4,876","4,875","4,875","4,868","4,864","4,860","4,866","4,876","5,100","4,877","4,873","4,866","4,864","4,859"
Delta,972,960,960,960,959,959,957,966,965,964,964,970,970,972,972,972,967,966,965,966,964,968,969,971,971,970,974,974,972,970,970,970,970,967
East Mississippi,"1,000",870,870,870,870,870,868,868,868,868,868,875,874,874,"1,000",874,874,874,874,874,875,875,875,873,872,871,871,875,"1,000",875,876,875,875,875
Marshall County,"1,000",995,995,994,993,992,995,994,993,992,992,994,994,993,"1,000",995,989,989,989,988,993,992,995,995,994,993,995,991,"1,000",994,995,995,993,992
Tallahatchie County,128,127,127,127,127,127,127,126,125,125,125,126,126,126,128,128,128,128,128,128,128,127,127,127,127,127,127,127,128,127,127,128,128,128
Walnut Grove,"1,000",899,899,899,899,899,901,897,894,892,892,892,900,900,"1,000",896,898,898,895,923,922,920,916,915,915,915,920,925,"1,000",920,920,914,914,913
Wilkinson County,"1,000",987,987,987,987,987,987,984,984,984,984,983,981,989,"1,000",986,987,987,986,993,994,993,993,987,985,984,979,984,"1,000",991,985,984,984,984
RESTITUTION CENTERS,16,15,15,15,15,15,14,14,13,13,13,14,14,14,16,14,14,14,14,14,12,12,12,11,11,11,10,10,16,10,10,9,9,9
Greenwood,6,6,6,6,6,6,5,5,4,4,4,5,5,5,6,5,5,5,5,5,3,3,3,3,3,3,3,3,6,3,3,2,2,2
Hinds,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,4,4,3,3,6,3,3,3,3,3
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,,1,2,3,4,4,7,7,48,46,42,5,5,3,,4,74,75,76,3,2,1,3,56,57,58,6,7,,7,7,44,46,46
TOTALS,"22,108","20,858","20,846","20,838","20,827","20,823","20,816","20,821","20,837","20,823","20,817","20,820","20,834","20,854","22,108","20,877","20,861","20,853","20,841","20,867","20,876","20,889","20,951","20,883","20,864","20,854","20,842","20,857","22,108","20,869","20,858","20,864","20,836","20,817"
