Location,Capacity_x_x,1-Jul-09,2-Jul-09,3-Jul-09,4-Jul-09,5-Jul-09,6-Jul-09,7-Jul-09,8-Jul-09,9-Jul-09,Capacity_y_x,10-Jul-09,11-Jul-09,12-Jul-09,13-Jul-09,14-Jul-09,15-Jul-09,16-Jul-09,17-Jul-09,18-Jul-09,Capacity_x_y,19-Jul-09,20-Jul-09,21-Jul-09,22-Jul-09,23-Jul-09,24-Jul-09,25-Jul-09,26-Jul-09,27-Jul-09,Capacity_y_y,28-Jul-09,29-Jul-09,30-Jul-09,31-Jul-09,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,435","4,052","4,059","4,059","4,059","4,057","4,055","4,055","4,006","3,983","4,435","3,988","3,986","3,984","3,973","3,974","3,987","3,979","3,960","3,960","4,435","3,960","3,960","3,946","3,940","3,924","3,925","3,924","3,919","3,920","4,435","3,916","3,923","3,895","3,890",,"3,975"
Central Mississippi Correctional Facility,"3,665","3,257","3,220","3,186","3,184","3,185","3,185","3,178","3,184","3,205","3,665","3,232","3,228","3,228","3,240","3,244","3,214","3,233","3,210","3,208","3,665","3,208","3,221","3,262","3,212","3,209","3,235","3,237","3,236","3,215","3,665","3,211","3,203","3,202","3,182",,"3,215"
South Mississippi Correctional Institution,"3,204","2,967","2,963","2,963","2,963","2,963","2,962","2,987","3,001","3,004","3,204","2,997","2,995","2,995","2,997","3,004","3,028","3,013","3,025","3,024","3,204","3,023","3,009","3,011","3,047","3,043","3,021","3,018","3,019","3,012","3,204","3,031","3,042","3,034","3,017",,"3,006"
County Jails,"1,503","1,551","1,576","1,603","1,603","1,603","1,603","1,594","1,566","1,539","1,503","1,533","1,533","1,533","1,530","1,516","1,497","1,512","1,519","1,519","1,503","1,519","1,502","1,507","1,500","1,502","1,512","1,512","1,512","1,509","1,503","1,506","1,500","1,478","1,509",,"1,532"
COMMUNITY WORK CENTERS,"1,848","1,687","1,701","1,693","1,689","1,688","1,688","1,680","1,705","1,676","1,848","1,603","1,602","1,601","1,663","1,664","1,641","1,654","1,636","1,634","1,848","1,633","1,653","1,651","1,640","1,653","1,653","1,654","1,654","1,685","1,848","1,680","1,687","1,628","1,596",,"1,657"
Alcorn Satellite Facility,92,85,85,84,84,84,84,81,80,78,92,72,72,72,78,80,79,79,82,82,92,82,83,82,81,81,79,79,79,81,92,77,79,76,74,,80
Bolivar Satellite Facility,102,89,89,88,88,88,88,88,94,93,102,88,88,88,91,90,89,85,85,85,102,85,85,85,85,85,83,83,83,85,102,83,83,73,73,,86
Forrest Satellite Facility,96,88,88,88,88,88,88,88,91,89,96,82,81,81,86,86,87,88,86,86,96,86,87,86,85,85,84,84,84,85,96,84,89,86,83,,86
George Satellite Facility,102,94,93,92,92,92,92,91,90,90,102,87,87,87,90,89,90,87,87,87,102,87,86,86,86,84,84,84,84,90,102,96,96,90,89,,89
Harrison Satellite Facility,102,91,98,98,96,95,96,90,89,84,102,84,84,84,90,88,86,85,83,83,102,83,81,80,80,81,89,89,89,89,102,86,85,82,81,,87
Jackson Satellite Facility,102,91,95,95,95,95,95,94,93,93,102,91,91,91,90,90,88,94,93,92,102,92,92,91,90,90,92,92,91,96,102,95,95,94,93,,93
