Location,Capacity_x,1-May-02,2-May-02,3-May-02,4-May-02,5-May-02,6-May-02,7-May-02,8-May-02,9-May-02,10-May-02,Capacity_y,11-May-02,12-May-02,13-May-02,14-May-02,15-May-02,16-May-02,17-May-02,18-May-02,19-May-02,20-May-02,Capacity,21-May-02,22-May-02,23-May-02,24-May-02,25-May-02,26-May-02,27-May-02,28-May-02,29-May-02,30-May-02,31-May-02
MS STATE PENITENTIARY,"5,551","5,313","5,332","5,315","5,315","5,315","5,306","5,318","5,316","5,310","5,343","5,551","5,340","5,335","5,329","5,352","5,347","5,369","5,362","5,361","5,358","5,340","5,551","5,356","5,346","5,362","5,359","5,359","5,359","5,358","5,365","5,369","5,338","5,326"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","2,983","2,973","2,984","2,983","2,982","3,025","3,042","3,054","3,084","2,993","3,049","2,993","2,993","3,033","2,999","2,990","2,968","2,969","2,967","2,967","2,986","3,049","2,953","2,994","2,971","2,978","2,980","2,978","2,977","2,976","2,974","2,953","2,961"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,070","2,066","2,080","2,081","2,080","2,071","2,064","2,062","2,070","2,044","2,214","2,043","2,043","2,028","2,020","2,032","2,025","2,068","2,067","2,066","2,021","2,214","2,036","2,032","2,031","2,047","2,046","2,046","2,044","2,040","2,064","2,062","2,049"
COUNTY JAILS,"2,137","1,622","1,645","1,650","1,287","1,652","1,625","1,640","1,648","1,635","1,675","2,137","1,676","1,676","1,670","1,691","1,696","1,728","1,712","1,714","1,714","1,714","2,137","1,752","1,738","1,771","1,771","1,755","1,755","1,755","1,759","1,775","1,775","1,751"
COMMUNITY WORK CENTERS,"1,328","1,288","1,285","1,266","1,265","1,265","1,288","1,291","1,280","1,276","1,229","1,328","1,230","1,228","1,278","1,278","1,296","1,297","1,236","1,236","1,236","1,294","1,328","1,295","1,290","1,278","1,274","1,273","1,274","1,273","1,270","1,272","1,279","1,227"
Alcorn Satellite Facility,75,75,75,75,75,75,75,75,74,74,68,75,68,68,73,74,74,75,67,67,67,75,75,75,74,71,71,71,71,71,69,69,75,67
Bolivar Satellite Facility,75,74,74,68,68,68,74,75,74,74,71,75,71,71,75,75,75,74,71,71,71,75,75,75,74,74,74,74,74,74,73,73,72,70
Forrest Satellite Facility,75,74,74,73,73,73,75,74,74,75,67,75,67,67,75,75,75,75,74,74,74,75,75,75,75,75,74,74,74,73,73,72,72,73
George Satellite Facility,75,74,74,74,73,73,74,74,71,71,69,75,70,70,72,74,74,74,69,69,69,74,75,74,73,72,73,73,73,73,73,73,73,68
Harrison Satellite Facility,75,75,75,75,75,75,74,73,74,73,71,75,71,71,73,74,74,74,68,68,68,73,75,73,73,72,71,71,71,71,71,75,72,68
Jackson Satellite Facility,75,73,73,72,72,72,75,75,74,75,74,75,74,74,75,75,75,75,69,69,69,74,75,74,74,74,74,74,74,74,74,74,74,68
Jefferson Satellite Facility,75,74,74,73,73,73,74,74,74,74,69,75,69,69,74,75,75,75,71,71,71,74,75,73,73,73,72,71,72,72,71,71,75,71
Leflore Satellite Facility,75,73,72,72,72,72,72,75,74,74,74,75,74,74,74,73,73,73,71,71,71,75,75,75,75,75,74,74,74,74,73,73,73,71
Madison Satellite Facility,75,75,75,74,74,74,74,74,74,74,73,75,73,73,73,74,74,74,74,74,74,74,75,74,74,74,74,74,74,74,75,75,75,73
Noxubee Satellite Facility,75,74,74,74,74,74,74,75,75,75,73,75,73,73,74,72,74,74,68,68,68,72,75,72,73,71,72,72,72,72,73,73,73,65
Pike Satellite Facility,75,71,71,68,68,68,75,75,73,73,73,75,73,73,75,74,74,73,73,73,73,73,75,75,75,74,73,73,73,73,72,70,69,75
Quitman Satellite Facility,75,60,59,60,60,60,61,60,60,60,59,75,59,58,59,59,61,63,60,60,60,62,75,62,62,58,58,58,58,58,58,58,57,55
Rankin Satellite Facility,128,119,118,114,114,114,115,115,115,113,109,128,109,109,113,113,122,122,119,119,119,120,128,120,120,120,120,120,120,120,121,121,126,126
Simpson Satellite Facility,75,74,74,74,74,74,72,75,74,72,64,75,64,64,72,71,75,75,72,72,72,75,75,75,74,74,74,74,74,74,74,75,74,72
Washington Satellite Facility,75,74,74,73,73,73,74,73,72,72,69,75,69,68,71,71,72,72,68,68,68,74,75,74,73,73,73,73,73,73,73,73,71,68
Wilikinson Satellite Facility,75,75,75,74,74,74,75,75,75,75,75,75,75,75,75,74,74,74,69,69,69,74,75,74,74,74,74,74,74,74,74,74,73,69
Yazoo Satellite Facility,75,74,74,73,73,73,75,74,73,72,71,75,71,71,75,75,75,75,73,73,73,75,75,75,74,74,73,73,73,73,73,73,75,68
REGIONAL CORRECTIONAL FACILITIES,"2,750","1,970","1,968","1,967","1,966","1,966","1,962","1,960","1,957","1,954","1,966","2,750","1,965","1,965","1,958","1,971","1,988","1,989","1,983","1,982","1,982","2,034","2,750","2,029","2,024","2,028","2,033","2,033","2,033","2,033","2,035","2,030","2,027","2,035"
Bolivar County,250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
Carroll County,250,214,213,211,211,211,211,210,210,209,209,250,209,209,208,199,199,199,198,198,198,200,250,198,200,200,200,200,200,200,200,198,197,199
George County (opened on May 10th),250,0,0,0,0,0,0,0,0,0,15,250,15,15,15,55,88,128,157,157,157,200,250,199,199,199,200,200,200,200,200,200,200,200
Holmes County,250,216,216,217,216,216,216,216,216,216,216,250,216,216,216,200,200,200,200,200,200,200,250,200,200,200,200,200,200,200,200,199,199,200
Issaquena County,250,209,209,209,209,209,209,209,208,207,207,250,206,206,207,207,207,200,199,199,199,198,250,197,192,196,200,200,200,200,200,200,199,200
Jefferson County,250,226,226,226,226,226,226,226,225,225,224,250,224,224,219,218,217,216,210,210,210,212,250,211,211,211,210,210,210,210,212,212,211,212
Kemper County,250,242,242,242,242,242,242,241,241,241,239,250,239,239,239,239,239,225,225,225,225,226,250,226,225,225,225,225,225,225,225,224,225,225
Leake County,250,216,216,216,216,216,216,215,214,214,214,250,214,214,214,214,200,200,200,200,200,199,250,200,200,200,200,200,200,200,200,200,200,200
Marion County,250,215,215,214,214,214,213,213,213,213,213,250,213,213,212,212,212,210,197,196,196,200,250,200,199,199,200,200,200,200,200,199,198,198
Stone County,250,216,216,217,217,217,215,215,215,215,215,250,215,215,215,214,213,212,198,198,198,199,250,199,199,199,199,199,199,199,200,200,199,200
Winston County,250,216,215,215,215,215,214,215,215,214,214,250,214,214,213,213,213,199,199,199,199,200,250,199,199,199,199,199,199,199,198,198,199,201
PRIVATE PRISONS,"4,650","3,580","3,575","3,567","3,566","3,566","3,567","3,568","3,564","3,566","3,585","4,650","3,586","3,584","3,581","3,570","3,569","3,567","3,567","3,564","3,564","3,562","4,650","3,562","3,565","3,563","3,565","3,566","3,566","3,565","3,565","3,562","3,558","3,588"
Delta,"1,000",857,857,854,854,854,852,850,850,849,849,"1,000",849,848,848,844,845,844,844,842,842,842,"1,000",842,845,844,841,842,842,842,843,843,843,842
East MS,"1,000",499,499,499,499,499,499,500,499,499,498,"1,000",498,497,494,500,500,499,498,498,498,500,"1,000",500,500,499,498,498,498,498,498,498,500,500
Marshall County,"1,000",880,880,878,878,878,878,878,877,877,882,"1,000",882,882,882,871,871,871,870,870,870,869,"1,000",869,869,868,870,870,870,870,869,868,862,868
Walnut Grove,750,495,493,493,493,493,496,495,495,498,512,750,512,512,512,512,510,510,508,507,507,506,750,506,506,507,507,507,507,506,506,506,507,508
Wilkinson County,900,849,846,843,842,842,842,845,843,843,844,900,845,845,845,843,843,843,847,847,847,845,900,845,845,845,849,849,849,849,849,847,846,870
RESITITUTION CENTERS,24,16,16,16,16,16,16,16,16,16,16,24,16,16,16,16,16,16,16,16,16,17,24,17,16,16,16,16,16,16,16,16,16,16
Greenwood,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,9,9,9,9,9,9,9,9,9,9,12,9,9,9,9,9,9,9,9,9,9,12,9,8,8,8,8,8,8,8,8,8,8
Pascagoula,6,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,1,1,1,2,6,2,2,2,2,2,2,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
TOTALS,"21,709","18,848","18,866","18,851","18,485","18,848","18,865","18,904","18,902","18,916","18,857","21,709","18,855","18,846","18,899","18,903","18,940","18,965","18,918","18,912","18,908","18,974","21,709","19,006","19,011","19,026","19,049","19,034","19,033","19,027","19,032","19,068","19,014","18,959"
