Location,Capacity_x,1-Jun-03,2-Jun-03,3-Jun-03,4-Jun-03,5-Jun-03,6-Jun-03,7-Jun-03,8-Jun-03,9-Jun-03,10-Jun-03,11-Jun-03,12-Jun-03,Capacity_y,Unnamed: 2,13-Jun-03 14-Jun-03,15-Jun-03,16-Jun-03,17-Jun-03,18-Jun-03,19-Jun-03,20-Jun-03,21-Jun-03,22-Jun-03,23-Jun-03,24-Jun-03,Capacity,25-Jun-03,26-Jun-03,27-Jun-03,28-Jun-03,29-Jun-03,30-Jun-03
MS STATE PENITENTIARY,"5,768","5,689","5,696","5,715","5,707","5,705","5,709","5,709","5,708","5,706","5,729","5,712","5,722","5,768","5,710","5,704","5,702","5,715","5,716","5,719","5,712","5,698","5,696","5,696","5,688","5,681","5,768","5,706","5,699","5,695","5,692","5,692","5,684"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,164","3,169","3,147","3,187","3,187","3,178","3,177","3,177","3,165","3,175","3,171","3,162","3,233","3,173","3,173","3,171","3,178","3,172","3,169","3,159","3,156","3,156","3,157","3,157","3,167","3,233","3,162","3,164","3,171","3,173","3,173","3,170"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,142","2,128","2,145","2,141","2,143","2,145","2,145","2,144","2,156","2,146","2,156","2,156","2,214","2,178","2,180","2,178","2,173","2,181","2,182","2,203","2,196","2,195","2,195","2,192","2,183","2,214","2,186","2,179","2,174","2,171","2,171","2,168"
COUNTY JAILS,"2,176","2,094","2,082","2,091","2,089","2,116","2,140","2,140","2,140","2,145","2,124","2,121","2,115","2,176","2,081","2,081","2,081","2,059","2,062","2,062","2,072","2,086","2,086","2,086","2,097","2,087","2,176","2,052","2,060","2,037","2,037","2,037","2,018"
COMMUNITY WORK CENTERS,"1,816","1,232","1,303","1,294","1,297","1,299","1,276","1,276","1,275","1,315","1,317","1,327","1,324","1,816","1,272","1,270","1,271","1,339","1,341","1,351","1,359","1,355","1,352","1,354","1,409","1,404","1,816","1,403","1,419","1,388","1,388","1,386","1,445"
Alcorn Satellite Facility,92,68,74,73,73,72,72,72,71,73,72,74,74,92,64,64,64,75,75,75,75,73,73,73,75,74,92,74,74,69,69,69,91
Bolivar Satellite Facility,102,68,72,73,72,72,70,70,70,72,71,71,70,102,72,72,72,74,74,73,73,70,70,70,72,72,102,72,72,70,70,70,72
Forrest Satellite Facility,96,68,74,74,73,74,73,73,73,74,74,74,74,96,71,71,71,74,74,74,75,72,72,72,74,73,96,72,75,73,73,73,75
George Satellite Facility,102,71,73,75,75,73,69,69,69,73,73,75,74,102,71,71,71,84,83,95,95,97,96,96,99,99,102,98,97,99,99,99,100
Harrison Satellite Facility,102,67,73,73,73,73,72,72,72,74,74,74,74,102,75,75,75,75,75,75,75,73,73,73,75,75,102,75,75,73,73,73,75
Jackson Satellite Facility,102,73,75,73,75,75,71,71,71,74,73,73,73,102,71,71,71,75,74,74,74,72,72,72,74,74,102,74,74,69,69,68,71
