Location,Capacity_x,1-Nov-01,2-Nov-01,3-Nov-01,4-Nov-01,5-Nov-01,6-Nov-01,7-Nov-01,8-Nov-01,9-Nov-01,10-Nov-01,Capacity_y,11-Nov-01,12-Nov-01,13-Nov-01,14-Nov-01,15-Nov-01,16-Nov-01,17-Nov-01,18-Nov-01,19-Nov-01,20-Nov-01,Capacity,21-Nov-01,22-Nov-01,23-Nov-01,24-Nov-01,25-Nov-01,26-Nov-01,27-Nov-01,28-Nov-01,29-Nov-01,30-Nov-01
MS STATE PENITENTIARY,"5,551","5,252","5,246","5,244","5,243","5,241","5,240","5,252","5,248","5,236","5,233","5,551","5,232","5,247","5,242","5,241","5,258","5,245","5,244","5,244","5,241","5,229","5,551","5,205","5,205","5,200","5,406","5,406","5,369","5,367","5,278","5,211","5,193"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","2,976","2,943","2,939","2,939","2,961","2,972","2,950","2,942","2,980","2,980","3,049","2,978","2,976","2,955","2,955","2,949","2,953","2,953","2,954","2,973","2,956","3,049","2,982","2,982","2,982","2,980","2,981","2,989","3,006","2,984","2,961","2,946"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,115","2,137","2,135","2,134","2,128","2,114","2,114","2,138","2,140","2,140","2,214","2,140","2,140","2,152","2,144","2,128","2,090","2,091","2,090","2,077","2,112","2,214","2,105","2,104","2,104","2,104","2,104","2,099","2,091","2,079","2,089","2,086"
COUNTY JAILS (increased by 15 on 11/2),"2,137","1,628","1,666","1,670","1,670","1,668","1,695","1,697","1,677","1,655","1,655","2,137","1,656","1,656","1,626","1,641","1,651","1,677","1,678","1,678","1,689","1,721","2,137","1,693","1,692","1,691","1,692","1,692","1,702","1,726","1,751","1,748","1,731"
COMMUNITY WORK CENTERS,"1,320","1,260","1,252","1,252","1,252","1,269","1,265","1,267","1,265","1,211","1,209","1,320","1,191","1,242","1,262","1,266","1,266","1,285","1,284","1,284","1,281","1,284","1,320","1,284","1,283","1,281","1,280","1,280","1,248","1,244","1,248","1,248","1,251"
Alcorn Satellite Facility,75,74,70,70,70,73,73,73,73,67,67,75,48,54,54,54,53,68,68,68,68,74,75,74,74,74,74,74,69,73,73,73,73
Bolivar Satellite Facility,75,75,72,72,72,75,75,73,71,66,66,75,66,71,74,74,73,74,74,74,74,74,75,74,74,74,74,74,70,67,66,66,66
Forrest Satellite Facility,75,71,73,73,73,74,74,73,72,66,66,75,66,73,75,75,75,75,75,75,75,75,75,75,75,75,75,75,73,72,72,68,68
George Satellite Facility,75,72,71,71,71,70,74,73,73,71,71,75,71,73,74,74,74,73,72,72,71,69,75,72,72,72,72,72,70,69,71,71,71
Harrison Satellite Facility,75,73,73,73,73,73,74,74,74,72,72,75,72,74,74,74,70,70,70,70,70,70,75,70,70,70,70,70,68,68,69,69,70
Jackson Satellite Facility,75,74,74,74,74,74,75,75,74,71,71,75,71,72,73,73,74,74,74,74,73,73,75,69,68,68,68,68,67,67,67,67,68
Jefferson Satellite Facility,75,74,74,74,74,73,74,74,74,73,72,75,73,74,74,74,73,73,73,73,72,72,75,71,71,71,71,71,72,72,73,73,73
Leflore Satellite Facility,75,73,69,69,69,71,70,70,70,64,63,75,63,70,73,73,74,73,73,73,73,73,75,74,74,74,74,74,69,71,71,70,70
Madison Satellite Facility,75,75,75,75,75,75,71,71,75,69,69,75,69,74,74,74,75,74,74,74,74,74,75,73,73,71,71,71,70,69,70,70,69
