Location,Capacity_x_x,1-Aug-07,2-Aug-07,3-Aug-07,4-Aug-07,5-Aug-07,6-Aug-07,7-Aug-07,8-Aug-07,9-Aug-07,Capacity_y_x,10-Aug-07,11-Aug-07,12-Aug-07,13-Aug-07,14-Aug-07,15-Aug-07,16-Aug-07,17-Aug-07,18-Aug-07,Capacity_x_y,19-Aug-07,20-Aug-07,21-Aug-07,22-Aug-07,23-Aug-07,24-Aug-07,25-Aug-07,26-Aug-07,27-Aug-07,Capacity_y_y,28-Aug-07,29-Aug-07,30-Aug-07,31-Aug-07,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,527","4,479","4,481","4,479","4,475","4,472","4,472","4,466","4,480","4,472","4,527","4,473","4,470","4,469","4,466","4,477","4,483","4,467","4,479","4,474","4,527","4,473","4,481","4,479","4,492","4,471","4,480","4,477","4,476","4,463","4,527","4,463","4,463","4,455","4,461",,"4,473"
Central Mississippi Correctional Facility,"3,425","3,486","3,469","3,454","3,454","3,449","3,447","3,470","3,459","3,496","3,425","3,457","3,453","3,453","3,470","3,457","3,475","3,465","3,443","3,442","3,425","3,441","3,385","3,411","3,403","3,421","3,390","3,389","3,387","3,410","3,425","3,401","3,403","3,409","3,380",,"3,436"
South Mississippi Correctional Institution,"2,884","2,655","2,629","2,645","2,642","2,643","2,650","2,637","2,640","2,639","2,884","2,656","2,655","2,656","2,656","2,669","2,673","2,684","2,661","2,657","2,884","2,655","2,664","2,672","2,684","2,704","2,761","2,759","2,756","2,752","2,884","2,756","2,778","2,781","2,758",,"2,685"
County Jails,"1,787","1,782","1,784","1,779","1,779","1,779","1,787","1,769","1,763","1,783","1,787","1,772","1,771","1,772","1,774","1,767","1,757","1,764","1,773","1,773","1,787","1,773","1,773","1,781","1,793","1,782","1,791","1,791","1,791","1,785","1,787","1,758","1,747","1,768","1,800",,"1,776"
COMMUNITY WORK CENTERS,"1,816","1,777","1,788","1,749","1,748","1,747","1,783","1,788","1,789","1,784","1,816","1,764","1,761","1,760","1,778","1,777","1,772","1,773","1,772","1,770","1,816","1,768","1,785","1,781","1,768","1,763","1,715","1,715","1,712","1,751","1,816","1,778","1,770","1,776","1,765",,"1,765"
Alcorn Satellite Facility,92,90,90,89,89,89,89,90,90,89,92,92,92,92,92,92,92,91,88,88,92,88,92,91,92,92,89,89,89,92,92,92,92,92,92,,91
Bolivar Satellite Facility,102,102,102,100,100,100,102,102,102,102,102,102,102,102,102,102,102,101,100,100,102,100,102,101,101,102,96,96,96,99,102,99,99,102,97,,100
Forrest Satellite Facility,96,96,96,94,94,94,94,96,96,95,96,94,94,94,95,94,94,94,95,95,96,94,94,94,92,89,88,88,88,89,96,89,89,88,90,,93
George Satellite Facility,102,99,99,97,97,97,102,102,102,102,102,100,99,99,97,98,98,98,99,99,102,99,101,100,100,97,94,94,94,94,102,101,101,101,102,,99
Harrison Satellite Facility,102,100,100,96,96,96,100,102,102,102,102,101,101,101,102,102,102,102,101,101,102,101,102,102,101,102,99,99,98,100,102,102,102,102,101,,101
Jackson Satellite Facility,102,102,102,100,100,100,102,101,100,99,102,97,97,97,99,99,99,101,98,98,102,98,101,101,99,99,98,98,98,99,102,102,102,102,99,,100
Jefferson Satellite Facility,102,101,101,98,98,98,99,99,102,102,102,98,98,97,100,98,99,99,101,101,102,100,98,98,97,100,93,93,93,100,102,101,101,101,97,,99
Leflore Satellite Facility,102,99,102,101,101,101,102,102,102,102,102,99,99,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,102,99,98,99,100,,101
Madison Satellite Facility,102,102,102,99,99,99,101,101,102,101,102,101,101,101,100,100,100,101,101,101,102,101,102,100,98,99,97,97,97,96,102,102,102,102,100,,100
Noxubee Satellite Facility,92,91,91,86,86,86,90,90,89,88,92,90,90,90,91,91,90,90,90,90,92,90,90,91,92,91,85,85,85,90,92,90,92,92,92,,89
Pike Satellite Facility,93,88,88,90,90,90,89,91,90,88,93,86,86,86,88,88,88,88,91,90,93,90,91,91,91,88,87,87,87,87,93,92,91,90,91,,89
Quitman Satellite Facility,93,88,92,89,89,89,91,90,92,92,93,91,91,91,92,91,92,91,89,88,93,88,87,87,89,87,83,83,83,86,93,89,88,87,91,,89
Rankin Satellite Facility,228,222,221,215,214,213,217,217,216,218,228,216,215,215,218,219,219,220,216,216,228,216,218,218,217,216,215,216,216,216,228,217,216,217,215,,217
Simpson Satellite Facility,102,101,101,99,99,99,101,101,101,101,102,101,101,101,101,98,98,98,100,100,102,100,101,101,101,102,101,101,101,102,102,102,102,102,102,,101
Washington Satellite Facility,102,97,102,97,97,97,102,102,102,102,102,100,100,100,102,102,100,100,99,99,102,99,102,102,102,101,101,100,99,99,102,99,97,101,100,,100
Wilkinson Satellite Facility,102,97,102,99,99,99,101,101,100,100,102,99,99,99,100,100,97,97,101,101,102,101,100,100,93,94,92,92,92,102,102,102,96,96,95,,98
Yazoo Satellite Facility,102,102,97,100,100,100,101,101,101,101,102,97,96,96,97,101,100,100,101,101,102,101,102,102,101,102,97,97,96,100,102,100,102,102,101,,100
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,062","3,076","3,075","3,070","3,070","3,077","3,077","3,075","3,074","3,082","3,075","3,072","3,072","3,076","3,081","3,081","3,079","3,076","3,076","3,082","3,073","3,074","3,077","3,074","3,066","3,065","3,063","3,060","3,072","3,082","3,076","3,068","3,071","3,077",,"3,073"
Bolivar County,294,286,293,293,292,292,294,295,292,292,294,294,294,294,293,294,294,294,294,294,294,293,292,293,293,290,293,293,293,292,294,293,292,293,293,,293
Carroll County,280,278,280,280,280,280,279,279,280,280,280,280,280,280,280,280,280,279,278,278,280,278,279,279,279,280,280,280,280,280,280,280,280,280,280,,280
George County,280,280,280,278,277,277,278,280,280,279,280,278,278,278,278,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,277,277,279,,279
Holmes County,280,277,280,280,279,279,280,280,280,278,280,278,278,278,280,280,280,280,280,280,280,280,279,280,280,280,280,280,279,280,280,280,280,280,280,,280
Issaquena County,274,272,274,273,272,272,274,273,273,272,274,273,272,272,274,274,274,274,275,275,274,275,273,274,273,271,269,269,269,272,274,273,274,274,274,,273
Jefferson County,274,272,273,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,270,269,269,269,268,274,274,273,273,271,273,,273
Kemper County,280,280,280,279,278,278,280,280,280,280,280,280,280,280,280,280,280,278,278,278,280,277,279,279,280,279,278,278,278,280,280,280,279,279,279,,279
Leake County,280,280,279,280,280,280,280,279,278,280,280,280,280,280,280,280,280,280,278,278,280,278,280,280,280,279,279,279,278,279,280,280,280,280,280,,279
