Location,Capacity_x,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,Capacity_y,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,Capacity,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May
MS STATE PENITENTIARY,"5,631","5,170","5,198","5,208","5,225","5,225","5,223","5,220","5,245","5,262","5,256","5,631","5,272","5,271","5,270","5,277","5,270","5,287","5,284","5,269","5,268","5,266","5,631","5,298","5,293","5,287","5,302","5,300","5,297","5,295","5,293","5,307","5,320","5,306"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","3,046","3,028","3,044","3,035","3,036","3,036","3,070","3,041","3,001","3,002","3,049","2,983","2,987","2,987","2,964","2,945","2,934","2,965","2,956","2,955","2,952","3,049","2,939","2,938","2,986","2,989","2,972","2,972","2,974","2,974","2,983","2,985","2,981"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","1,988","1,980","1,977","1,974","1,972","1,972","1,975","1,984","1,976","1,980","2,214","1,981","1,981","1,981","1,977","1,990","1,985","1,986","1,987","1,986","1,985","2,214","1,982","2,000","1,989","1,979","2,004","2,004","2,004","2,004","2,003","2,002","2,012"
COUNTY JAILS,"2,104","1,309","1,354","1,331","1,322","1,325","1,325","1,314","1,319","1,326","1,350","2,104","1,375","1,378","1,378","1,395","1,442","1,424","1,421","1,431","1,430","1,430","2,104","1,413","1,399","1,371","1,395","1,383","1,383","1,383","1,383","1,392","1,393","1,449"
COMMUNITY WORK CENTERS,"1,320","1,265","1,266","1,270","1,261","1,260","1,260","1,274","1,280","1,273","1,271","1,320","1,246","1,244","1,245","1,268","1,269","1,269","1,268","1,213","1,213","1,213","1,320","1,271","1,277","1,273","1,284","1,283","1,283","1,282","1,282","1,275","1,272","1,271"
Alcorn Satellite Facility,75,70,75,75,74,74,74,74,74,74,72,75,69,69,69,72,72,75,73,70,70,70,75,73,73,73,73,73,73,73,73,73,74,73
Bolivar Satellite Facility,75,73,73,73,74,74,74,75,73,70,70,75,74,74,74,74,75,74,74,73,73,73,75,74,74,74,75,75,75,74,74,74,74,74
Forrest Satellite Facility,75,73,72,73,72,72,72,73,75,74,75,75,72,72,73,75,75,75,75,70,70,70,75,75,75,74,75,74,74,74,75,75,74,74
George Satellite Facility,75,74,74,74,73,73,73,74,74,75,75,75,75,75,75,74,75,73,73,72,72,72,75,75,75,75,75,74,74,74,74,73,73,73
Harrison Satellite Facility,75,72,73,73,70,71,71,72,72,70,71,75,73,73,73,74,73,73,74,71,71,71,75,74,72,72,75,74,74,74,74,74,73,73
Jackson Satellite Facility,75,74,74,74,74,74,74,74,74,74,74,75,73,72,73,73,73,73,73,71,71,71,75,75,73,73,75,75,75,75,75,75,74,73
Jefferson Satellite Facility,75,72,72,72,74,74,74,75,75,75,75,75,70,70,70,74,74,74,74,63,63,63,75,75,75,75,75,75,75,75,75,75,74,74
Leflore Satellite Facility,75,72,71,75,73,73,73,74,75,74,74,75,72,72,72,74,75,75,75,70,70,70,75,75,75,74,74,75,75,75,75,74,71,75
Madison Satellite Facility,75,72,73,72,75,75,75,74,74,75,75,75,75,75,75,75,75,75,74,72,72,72,75,75,75,75,74,75,75,75,74,74,74,73
Noxubee Satellite Facility,75,73,71,71,66,66,66,70,75,74,73,75,73,73,73,73,75,75,74,71,71,71,75,74,75,75,75,75,75,75,75,74,74,74
Pike Satellite Facility,75,73,73,72,73,72,72,71,71,72,72,75,65,65,64,66,65,64,66,66,66,66,75,63,65,65,66,66,66,66,66,66,65,63
Quitman Satellite Facility,75,65,63,63,63,62,62,61,62,62,62,75,62,62,62,62,62,62,62,62,62,62,75,62,66,64,67,67,67,67,67,67,68,67
Rankin Satellite Facility,120,109,111,112,113,113,113,113,112,111,111,120,110,109,109,109,108,106,105,104,104,104,120,105,109,109,111,112,112,112,112,109,109,109
Simpson Satellite Facility,75,73,72,72,73,73,73,73,75,75,74,75,69,69,69,73,73,73,73,69,69,69,75,75,75,75,74,74,74,74,74,74,74,74
Washington Satellite Facility,75,73,72,72,71,71,71,75,75,72,72,75,75,75,75,75,74,74,75,68,68,68,75,75,75,75,75,74,74,74,74,74,74,74
Wilikinson Satellite Facility,75,72,72,72,70,70,70,72,73,73,73,75,70,70,70,70,70,73,73,69,69,69,75,71,70,70,70,70,70,70,70,69,73,73
Yazoo Satellite Facility,75,75,75,75,73,73,73,74,71,73,73,75,69,69,69,75,75,75,75,72,72,72,75,75,75,75,75,75,75,75,75,75,74,75
REGIONAL CORRECTIONAL FACILITIES,"2,500","2,009","2,007","2,015","2,012","2,012","2,011","2,008","2,008","2,010","2,009","2,500","2,004","2,004","2,004","2,000","2,003","2,004","2,003","2,001","2,000","2,000","2,500","1,998","2,003","2,001","1,991","1,988","1,987","1,987","1,987","1,988","1,976","1,980"
Bolivar County,250,197,197,196,196,196,196,196,198,199,199,250,199,199,199,199,199,198,199,199,199,199,250,198,198,198,198,198,198,198,198,198,198,198
Carroll County,250,199,199,199,200,200,200,200,199,196,195,250,195,195,195,195,196,201,201,201,201,201,250,201,201,201,196,196,196,196,196,196,196,197
Holmes County,250,200,200,200,199,199,198,197,197,199,200,250,199,199,199,199,199,199,199,200,200,200,250,196,200,199,199,198,198,198,198,198,198,198
Issaquena County,250,206,205,216,213,213,213,212,211,208,208,250,208,208,208,208,209,208,208,208,207,207,250,206,205,205,203,203,202,202,202,202,191,190
Jefferson County,250,200,200,201,201,201,201,201,200,200,200,250,200,200,200,200,199,198,197,197,197,197,250,199,199,199,200,200,200,200,200,200,200,200
Kemper County,250,196,195,194,194,194,194,193,196,197,197,250,197,197,197,197,197,196,196,196,196,196,250,196,195,195,195,194,194,194,194,195,195,195
Leake County,250,200,200,199,199,199,199,199,199,199,199,250,197,197,197,196,199,198,197,197,197,197,250,197,200,200,200,200,200,200,200,200,200,201
