Location,Capacity_x_x,1-Jun-06,2-Jun-06,3-Jun-06,4-Jun-06,5-Jun-06,6-Jun-06,7-Jun-06,8-Jun-06,9-Jun-06,Capacity_y_x,10-Jun-06,11-Jun-06,12-Jun-06,13-Jun-06,14-Jun-06,15-Jun-06,16-Jun-06,17-Jun-06,18-Jun-06,Capacity_x_y,19-Jun-06,20-Jun-06,21-Jun-06,22-Jun-06,23-Jun-06,24-Jun-06,25-Jun-06,26-Jun-06,27-Jun-06,Capacity_y_y,28-Jun-06,29-Jun-06,30-Jun-06
Mississippi State Penitentiary,"4,529","4,480","4,484","4,478","4,478","4,479","4,476","4,486","4,508","4,516","4,529","4,507","4,505","4,494","4,506","4,496","4,502","4,484","4,479","4,478","4,529","4,437","4,429","4,457","4,439","4,436","4,431","4,430","4,401","4,409","4,529","4,445","4,438","4,445"
Central Mississippi Correctional Facility,"3,293","3,190","3,219","3,218","3,215","3,210","3,225","3,204","3,198","3,190","3,293","3,183","3,181","3,212","3,235","3,246","3,251","3,274","3,274","3,274","3,293","3,300","3,287","3,301","3,315","3,253","3,248","3,247","3,281","3,285","3,293","3,294","3,314","3,325"
South Mississippi Correctional Institution,"2,066","1,924","1,950","1,944","1,944","1,942","1,964","1,969","1,981","1,989","2,066","1,987","1,987","1,995","1,986","1,996","2,006","2,014","2,013","2,012","2,066","2,009","2,030","2,026","2,020","2,034","2,030","2,030","2,024","2,021","2,066","2,017","2,011","2,004"
County Jails,"1,953","1,735","1,721","1,721","1,721","1,707","1,765","1,747","1,758","1,745","1,953","1,745","1,745","1,721","1,696","1,679","1,674","1,659","1,659","1,659","1,953","1,658","1,642","1,640","1,651","1,662","1,662","1,662","1,663","1,671","1,953","1,656","1,676","1,675"
COMMUNITY WORK CENTERS,"1,816","1,764","1,652","1,651","1,653","1,767","1,764","1,767","1,768","1,702","1,816","1,697","1,697","1,759","1,767","1,773","1,769","1,699","1,697","1,695","1,816","1,771","1,763","1,778","1,786","1,710","1,707","1,706","1,777","1,774","1,816","1,764","1,782","1,782"
Alcorn Satellite Facility,92,89,81,82,82,88,87,91,92,85,92,85,85,91,91,91,91,81,81,81,92,91,92,92,92,87,87,87,92,92,92,92,92,92
Bolivar Satellite Facility,102,101,97,97,97,100,101,102,101,96,102,96,96,102,102,102,102,95,95,95,102,101,101,102,102,97,97,97,102,102,102,94,102,101
Forrest Satellite Facility,96,95,90,90,91,95,94,94,94,90,96,90,90,96,95,95,95,89,90,90,96,94,96,96,96,95,94,94,96,96,96,96,95,95
George Satellite Facility,102,101,92,92,93,101,101,102,102,97,102,96,95,99,102,102,102,99,97,97,102,100,101,101,101,98,98,97,98,96,102,96,102,102
Harrison Satellite Facility,102,101,93,93,93,101,101,101,99,93,102,93,93,98,96,102,102,99,99,99,102,101,101,101,101,94,94,94,101,100,102,100,97,97
Jackson Satellite Facility,102,95,87,87,87,100,100,100,100,95,102,95,95,98,101,101,100,93,93,93,102,100,100,99,101,95,95,95,101,101,102,101,101,100
Jefferson Satellite Facility,102,101,91,91,91,101,101,101,101,91,102,91,91,99,98,98,98,93,93,92,102,101,101,101,101,97,97,97,99,98,102,98,98,102
Leflore Satellite Facility,102,101,92,92,92,101,99,101,102,96,102,95,95,99,102,102,102,95,95,95,102,101,101,101,102,99,99,99,102,101,102,101,101,101
Madison Satellite Facility,102,102,99,99,99,101,101,102,101,100,102,100,100,100,102,102,102,101,100,100,102,100,97,102,102,101,101,101,102,102,102,102,101,100
Noxubee Satellite Facility,92,91,81,79,80,90,89,89,87,86,92,86,86,87,91,90,89,83,83,83,92,91,88,88,92,89,89,89,92,92,92,91,91,91
Pike Satellite Facility,93,89,82,82,82,87,89,87,87,86,93,85,85,85,83,84,84,79,79,79,93,83,82,83,82,74,74,74,79,81,93,83,82,82
Quitman Satellite Facility,93,84,78,78,78,86,83,82,82,82,93,82,82,82,82,82,81,85,85,85,93,89,89,88,89,82,82,82,89,89,93,86,88,88
Rankin Satellite Facility,228,215,210,210,210,218,218,218,218,210,228,209,209,217,219,218,220,217,217,217,228,219,219,219,219,213,212,212,224,224,228,224,226,226
Simpson Satellite Facility,102,100,96,96,96,97,102,101,102,101,102,101,101,102,99,99,99,95,95,95,102,96,95,101,101,100,100,100,101,101,102,100,101,101
Washington Satellite Facility,102,102,93,93,93,98,96,96,101,101,102,101,101,102,101,101,100,95,95,94,102,101,100,100,102,93,93,93,99,99,102,102,101,101
Wilkinson Satellite Facility,102,98,92,92,92,102,102,98,97,100,102,100,100,102,101,102,101,100,100,100,102,102,102,102,101,98,98,98,100,100,102,96,102,101
Yazoo Satellite Facility,102,99,98,98,97,101,100,102,102,93,102,92,93,100,102,102,101,100,100,100,102,101,98,102,102,98,97,97,100,100,102,102,102,102
REGIONAL CORRECTIONAL FACILITIES,"3,058","3,052","3,051","3,051","3,050","3,048","3,041","3,045","3,041","3,052","3,058","3,049","3,049","3,044","3,041","3,041","3,037","3,045","3,039","3,038","3,058","3,057","3,052","3,055","3,054","3,050","3,048","3,047","3,043","3,052","3,058","3,046","3,046","3,032"
