Location,Capacity_x,1-Jan-04,2-Jan-04,3-Jan-04,4-Jan-04,5-Jan-04,6-Jan-04,7-Jan-04,8-Jan-04,9-Jan-04,10-Jan-04,11-Jan-04,12-Jan-04,13-Jan-04,Capacity_y,14-Jan-04,15-Jan-04,16-Jan-04,17-Jan-04,18-Jan-04,19-Jan-04,20-Jan-04,21-Jan-04,22-Jan-04,23-Jan-04,24-Jan-04,25-Jan-04,26-Jan-04,Capacity,27-Jan-04,28-Jan-04,29-Jan-04,30-Jan-04,31-Jan-04
MS STATE PENITENTIARY,"5,768","5,639","5,639","5,638","5,637","5,651","5,653","5,631","5,624","5,599","5,598","5,597","5,587","5,607","5,768","5,590","5,573","5,556","5,557","5,556","5,551","5,606","5,616","5,613","5,603","5,604","5,604","5,616","5,768","5,604","5,603","5,631","5,625","5,622"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,139","3,137","3,137","3,137","3,133","3,151","3,169","3,176","3,152","3,152","3,153","3,192","3,206","3,233","3,215","3,257","3,233","3,235","3,234","3,232","3,173","3,162","3,193","3,207","3,207","3,206","3,219","3,233","3,235","3,265","3,251","3,256","3,257"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,117","2,117","2,117","2,114","2,113","2,111","2,104","2,095","2,085","2,086","2,086","2,111","2,112","2,214","2,110","2,099","2,129","2,127","2,126","2,125","2,121","2,121","2,110","2,104","2,103","2,101","2,093","2,214","2,105","2,094","2,094","2,065","2,065"
COUNTY JAILS,"2,176","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,938","1,938","1,938","1,938","1,930","1,914","2,176","1,908","1,912","1,895","1,895","1,895","1,901","1,904","1,920","1,907","1,902","1,902","1,902","1,891","2,176","1,898","1,888","1,890","1,915","1,915"
COMMUNITY WORK CENTERS,"1,816","1,514","1,513","1,511","1,511","1,510","1,509","1,504","1,502","1,413","1,412","1,412","1,504","1,500","1,816","1,526","1,531","1,454","1,454","1,454","1,546","1,545","1,544","1,549","1,481","1,480","1,480","1,546","1,816","1,547","1,547","1,542","1,476","1,477"
Alcorn Satellite Facility,92,92,92,92,92,91,91,91,91,82,82,82,91,90,92,90,90,80,80,80,90,90,90,90,88,88,88,89,92,91,90,90,83,83
Bolivar Satellite Facility,102,77,77,76,76,76,76,75,75,70,70,70,76,76,102,81,81,75,75,75,81,81,81,81,78,78,78,84,102,89,88,88,87,87
Forrest Satellite Facility,96,93,92,92,92,95,95,95,95,86,86,86,94,96,96,96,96,92,92,92,96,96,96,94,90,90,90,93,96,93,93,92,91,92
George Satellite Facility,102,65,65,65,65,65,65,65,65,60,60,60,66,66,102,67,67,65,65,65,67,66,66,72,64,64,64,69,102,69,69,69,68,68
Harrison Satellite Facility,102,66,66,65,65,65,65,65,65,65,65,65,65,65,102,65,71,64,64,64,71,70,70,70,62,62,62,69,102,68,66,65,61,61
Jackson Satellite Facility,102,67,67,67,67,67,67,67,67,61,61,61,66,66,102,66,66,58,58,58,65,65,63,63,58,58,58,61,102,59,59,57,55,55
Jefferson Satellite Facility,102,67,67,67,67,67,67,67,67,64,64,64,67,67,102,72,71,67,67,67,72,72,70,71,69,69,69,76,102,76,79,79,74,74
Leflore Satellite Facility,102,102,102,102,102,102,102,102,102,93,93,93,102,102,102,102,102,92,92,92,101,101,101,101,94,94,94,102,102,102,101,100,97,97
Madison Satellite Facility,102,100,100,100,100,99,98,98,96,94,94,94,97,96,102,100,101,94,94,94,102,100,102,100,96,95,95,100,102,100,102,101,101,101
Noxubee Satellite Facility,92,90,90,90,90,92,92,92,92,86,85,86,92,92,92,91,91,87,87,87,91,91,92,90,86,87,87,90,92,92,91,91,87,87
Pike Satellite Facility,93,45,45,45,45,45,45,45,45,43,43,42,43,41,93,42,43,42,42,42,43,44,44,45,45,45,45,45,93,45,44,44,41,41
