Location,Capacity_x_x,1-Jul-07,2-Jul-07,3-Jul-07,4-Jul-07,5-Jul-07,6-Jul-07,7-Jul-07,8-Jul-07,9-Jul-07,Capacity_y_x,10-Jul-07,11-Jul-07,12-Jul-07,13-Jul-07,14-Jul-07,15-Jul-07,16-Jul-07,17-Jul-07,18-Jul-07,Capacity_x_y,19-Jul-07,20-Jul-07,21-Jul-07,22-Jul-07,23-Jul-07,24-Jul-07,25-Jul-07,26-Jul-07,27-Jul-07,Capacity_y_y,28-Jul-07,29-Jul-07,30-Jul-07,31-Jul-07,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,534","4,500","4,520","4,521","4,514","4,515","4,498","4,495","4,494","4,491","4,534","4,491","4,497","4,487","4,484","4,480","4,478","4,470","4,455","4,450","4,534","4,461","4,456","4,447","4,445","4,461","4,446","4,484","4,480","4,482","4,534","4,480","4,480","4,477","4,462",,"4,481"
Central Mississippi Correctional Facility,"3,425","3,404","3,396","3,371","3,366","3,377","3,370","3,368","3,369","3,382","3,425","3,369","3,390","3,415","3,417","3,413","3,412","3,420","3,430","3,455","3,425","3,446","3,430","3,426","3,425","3,455","3,483","3,477","3,495","3,448","3,425","3,451","3,449","3,437","3,452",,"3,419"
South Mississippi Correctional Institution,"2,784","2,595","2,588","2,595","2,592","2,591","2,604","2,601","2,598","2,594","2,784","2,616","2,612","2,625","2,604","2,604","2,603","2,612","2,621","2,619","2,784","2,611","2,625","2,621","2,618","2,607","2,600","2,629","2,651","2,708","2,784","2,703","2,702","2,715","2,706",,"2,625"
County Jails,"1,787","1,833","1,839","1,863","1,865","1,879","1,878","1,878","1,878","1,851","1,787","1,818","1,830","1,807","1,817","1,817","1,817","1,823","1,814","1,802","1,787","1,813","1,822","1,822","1,822","1,837","1,807","1,773","1,772","1,787","1,787","1,787","1,787","1,780","1,784",,"1,823"
COMMUNITY WORK CENTERS,"1,816","1,775","1,773","1,767","1,765","1,765","1,769","1,766","1,762","1,759","1,816","1,785","1,786","1,780","1,672","1,670","1,671","1,779","1,783","1,786","1,816","1,790","1,708","1,708","1,707","1,777","1,787","1,788","1,778","1,736","1,816","1,734","1,732","1,765","1,772",,"1,755"
Alcorn Satellite Facility,92,88,91,91,90,90,91,91,91,92,92,92,92,92,82,82,82,92,92,92,92,92,85,85,85,91,91,92,91,88,92,88,88,90,90,,89
Bolivar Satellite Facility,102,99,101,102,102,101,101,101,101,101,102,102,102,102,91,91,91,101,101,102,102,100,93,93,93,101,101,102,101,97,102,97,97,101,101,,99
Forrest Satellite Facility,96,95,95,96,96,95,95,95,95,95,96,95,95,95,93,93,93,96,95,96,96,96,89,89,89,95,96,94,93,93,96,93,93,92,94,,94
George Satellite Facility,102,101,101,102,102,102,101,101,101,101,102,100,101,98,89,89,89,98,102,101,102,101,94,94,94,97,97,99,99,96,102,96,96,98,100,,98
Harrison Satellite Facility,102,100,99,99,99,102,101,101,100,100,102,101,102,101,94,94,94,100,99,101,102,101,98,98,98,99,101,101,100,98,102,98,98,98,100,,99
Jackson Satellite Facility,102,101,102,101,101,101,101,101,101,101,102,101,101,102,92,92,93,102,102,102,102,102,98,98,98,101,101,101,101,99,102,99,99,101,102,,100
Jefferson Satellite Facility,102,100,100,100,100,100,100,100,100,100,102,100,100,96,87,87,87,101,100,100,102,102,101,101,101,100,102,102,101,98,102,98,98,100,101,,99
Leflore Satellite Facility,102,102,102,95,95,94,96,96,96,95,102,101,101,101,97,97,97,99,99,99,102,99,97,97,97,102,102,100,99,97,102,96,96,99,99,,98
Madison Satellite Facility,102,101,96,96,96,96,97,97,97,97,102,102,102,102,97,97,97,100,102,101,102,101,99,99,99,101,100,102,100,99,102,99,99,102,101,,99
Noxubee Satellite Facility,92,91,91,91,91,91,92,92,92,92,92,92,92,92,85,84,84,91,91,91,92,92,84,84,84,90,91,91,92,87,92,86,87,89,90,,89
Pike Satellite Facility,93,91,91,90,90,91,91,91,91,90,93,90,87,86,87,86,86,89,90,90,93,90,89,89,89,90,90,89,89,88,93,88,85,86,85,,89
Quitman Satellite Facility,93,89,90,92,92,91,90,89,87,87,93,86,86,89,83,83,83,89,91,90,93,93,87,87,87,93,92,90,89,88,93,88,88,89,89,,89
Rankin Satellite Facility,228,213,213,214,213,212,212,211,210,209,228,224,223,223,210,210,210,219,219,219,228,221,214,214,214,221,221,223,221,215,228,215,215,219,219,,216
Simpson Satellite Facility,102,102,102,102,102,102,100,99,99,99,102,99,102,101,98,98,98,101,101,101,102,95,88,88,88,95,99,102,102,99,102,99,99,101,102,,99
Washington Satellite Facility,102,102,102,98,98,100,100,100,100,101,102,101,101,101,95,95,95,101,100,99,102,102,98,98,98,100,101,99,99,98,102,98,98,99,98,,99
Wilkinson Satellite Facility,102,99,97,99,99,97,100,100,100,100,102,99,99,100,97,97,97,101,101,101,102,101,99,99,99,101,101,102,102,97,102,97,97,100,100,,99
