Location,Capacity_x_x,1-Nov-07,2-Nov-07,3-Nov-07,4-Nov-07,5-Nov-07,6-Nov-07,7-Nov-07,8-Nov-07,9-Nov-07,Capacity_y_x,10-Nov-07,11-Nov-07,12-Nov-07,13-Nov-07,14-Nov-07,15-Nov-07,16-Nov-07,17-Nov-07,18-Nov-07,Capacity_x_y,19-Nov-07,20-Nov-07,21-Nov-07,22-Nov-07,23-Nov-07,24-Nov-07,25-Nov-07,26-Nov-07,27-Nov-07,Capacity_y_y,28-Nov-07,29-Nov-07,30-Nov-07,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,527","4,384","4,375","4,376","4,371","4,373","4,374","4,380","4,399","4,398","4,527","4,395","4,393","4,389","4,382","4,380","4,382","4,383","4,379","4,375","4,527","4,373","4,360","4,343","4,337","4,333","4,331","4,330","4,319","4,322","4,527","4,325","4,297","4,296",,"4,362"
Central Mississippi Correctional Facility,"3,515","3,505","3,482","3,481","3,478","3,484","3,490","3,479","3,486","3,493","3,515","3,493","3,490","3,492","3,491","3,495","3,526","3,473","3,471","3,471","3,515","3,451","3,478","3,450","3,451","3,448","3,445","3,442","3,468","3,475","3,515","3,480","3,485","3,499",,"3,478"
South Mississippi Correctional Institution,"3,124","2,976","2,984","2,983","2,980","2,987","3,001","3,005","3,008","3,010","3,124","3,010","3,008","3,006","2,993","3,011","2,986","3,001","2,997","2,997","3,124","3,023","3,019","3,002","2,998","2,998","2,997","2,996","2,987","3,005","3,124","3,002","3,032","3,049",,"3,002"
County Jails,"1,589","1,803","1,812","1,812","1,812","1,785","1,764","1,780","1,776","1,765","1,589","1,765","1,765","1,767","1,773","1,759","1,732","1,755","1,755","1,755","1,589","1,736","1,732","1,772","1,771","1,776","1,776","1,776","1,778","1,789","1,589","1,789","1,795","1,778",,"1,773"
COMMUNITY WORK CENTERS,"1,848","1,778","1,764","1,756","1,755","1,795","1,801","1,797","1,799","1,764","1,848","1,763","1,762","1,800","1,786","1,801","1,805","1,809","1,806","1,804","1,848","1,812","1,814","1,820","1,819","1,816","1,814","1,813","1,820","1,812","1,848","1,816","1,816","1,820",,"1,798"
Alcorn Satellite Facility,92,91,90,86,86,87,92,92,92,82,92,82,82,91,91,91,90,90,90,90,92,91,91,91,91,91,91,91,91,91,92,91,91,92,,90
Bolivar Satellite Facility,102,102,96,96,96,101,101,101,101,96,102,96,96,101,102,101,101,100,100,100,102,100,101,102,102,102,102,102,102,102,102,102,102,102,,100
Forrest Satellite Facility,96,94,93,93,93,94,93,92,92,95,96,95,94,95,95,95,96,96,96,96,96,95,94,94,94,94,94,94,96,96,96,96,95,96,,95
George Satellite Facility,102,101,102,102,102,101,101,100,100,97,102,97,97,99,99,99,98,101,101,101,102,101,102,102,102,102,102,102,102,102,102,102,102,100,,101
Harrison Satellite Facility,102,100,100,100,100,101,101,101,101,100,102,100,99,101,101,99,97,100,100,99,102,99,99,100,100,100,100,100,102,100,102,100,100,100,,100
Jackson Satellite Facility,102,99,98,97,97,99,99,99,99,96,102,96,96,98,94,102,102,101,101,101,102,100,100,102,102,102,102,102,102,99,102,99,99,101,,99
Jefferson Satellite Facility,102,99,98,98,98,102,100,100,102,100,102,100,100,101,101,101,99,98,98,98,102,98,99,99,99,98,98,98,98,97,102,99,99,98,,99
Leflore Satellite Facility,102,98,96,96,96,97,102,102,102,101,102,101,101,102,102,102,102,102,102,102,102,100,102,102,101,101,99,99,99,102,102,102,102,101,,101
Madison Satellite Facility,102,98,102,102,102,101,101,100,99,99,102,99,99,100,96,102,101,101,101,100,102,100,100,100,100,100,100,100,99,101,102,101,101,101,,100
Noxubee Satellite Facility,92,91,89,89,88,91,92,92,92,91,92,91,91,92,92,92,90,91,90,90,92,91,92,92,92,92,92,92,92,92,92,92,91,91,,91
Pike Satellite Facility,93,91,89,89,89,90,90,89,88,90,93,89,89,90,90,88,88,86,86,86,93,86,88,91,91,91,91,91,90,91,93,93,93,92,,90
Quitman Satellite Facility,93,88,91,90,90,90,90,91,90,85,93,85,85,89,88,88,87,87,86,86,93,91,91,89,89,89,89,88,88,88,93,87,87,93,,89
Rankin Satellite Facility,260,225,224,223,224,240,241,242,241,236,260,236,236,242,239,240,253,256,255,255,260,255,250,249,249,247,247,247,253,251,260,251,253,253,,244
Simpson Satellite Facility,102,100,96,96,96,100,100,101,100,98,102,98,98,99,95,101,102,102,102,102,102,101,101,102,102,102,102,102,102,100,102,99,97,100,,100
Washington Satellite Facility,102,100,100,100,99,100,99,101,101,101,102,101,101,101,101,101,101,101,101,101,102,101,102,102,102,102,102,102,102,98,102,102,102,100,,101
Wilkinson Satellite Facility,102,101,98,98,98,100,100,99,99,98,102,98,99,99,99,99,99,99,99,99,102,102,101,101,101,101,101,101,101,101,102,101,101,101,,100
Yazoo Satellite Facility,102,100,102,101,101,101,99,95,100,99,102,99,99,100,101,100,99,98,98,98,102,101,101,102,102,102,102,102,101,101,102,99,101,99,,100
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,078","3,087","3,083","3,081","3,082","3,088","3,080","3,080","3,079","3,088","3,079","3,078","3,074","3,080","3,080","3,083","3,088","3,086","3,083","3,088","3,080","3,077","3,088","3,087","3,083","3,078","3,076","3,075","3,075","3,088","3,083","3,078","3,079",,"3,081"
Bolivar County,294,294,293,292,292,291,294,296,295,295,294,295,295,295,295,295,294,295,295,294,294,293,294,294,294,294,294,294,292,292,294,293,292,291,,294
Carroll County,280,281,281,281,280,281,281,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,279,280,279,279,280,,280
George County,280,276,280,280,280,280,280,280,278,278,280,278,278,277,277,278,278,281,280,280,280,281,281,280,279,279,279,279,279,279,280,279,279,279,,279
Holmes County,280,279,280,279,279,280,280,280,280,279,280,279,279,279,279,279,280,280,280,280,280,279,278,280,280,279,279,279,279,279,280,280,280,280,,279
Issaquena County,274,273,274,273,272,273,274,269,270,270,274,270,270,270,272,270,272,273,273,273,274,272,272,274,274,274,274,274,271,270,274,273,271,273,,272
Jefferson County,280,278,280,280,280,280,280,279,280,279,280,279,279,279,280,280,280,280,280,280,280,280,279,280,280,279,278,277,278,280,280,280,280,280,,279
