Location,Capacity_x_x,1-Mar-08,2-Mar-08,3-Mar-08,4-Mar-08,5-Mar-08,6-Mar-08,7-Mar-08,8-Mar-08,9-Mar-08,Capacity_y_x,10-Mar-08,11-Mar-08,12-Mar-08,13-Mar-08,14-Mar-08,15-Mar-08,16-Mar-08,17-Mar-08,18-Mar-08,Capacity_x_y,19-Mar-08,20-Mar-08,21-Mar-08,22-Mar-08,23-Mar-08,24-Mar-08,25-Mar-08,26-Mar-08,27-Mar-08,Capacity_y_y,28-Mar-08,29-Mar-08,30-Mar-08,31-Mar-08,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,527","4,219","4,213","4,197","4,211","4,207","4,202","4,212","4,208","4,209","4,527","4,216","4,204","4,215","4,214","4,224","4,220","4,220","4,224","4,224","4,527","4,220","4,212","4,216","4,214","4,212","4,208","4,223","4,241","4,237","4,527","4,232","4,225","4,225","4,229",,"4,217"
Central Mississippi Correctional Facility,"3,665","3,546","3,543","3,547","3,565","3,592","3,579","3,579","3,574","3,572","3,665","3,560","3,585","3,589","3,596","3,606","3,602","3,602","3,563","3,582","3,665","3,600","3,602","3,593","3,589","3,589","3,593","3,579","3,596","3,627","3,665","3,643","3,644","3,646","3,644",,"3,591"
South Mississippi Correctional Institution,"3,204","3,100","3,101","3,118","3,102","3,076","3,093","3,061","3,058","3,056","3,204","3,064","3,076","3,081","3,093","3,079","3,078","3,076","3,084","3,084","3,204","3,087","3,102","3,104","3,103","3,102","3,116","3,117","3,102","3,119","3,204","3,118","3,149","3,149","3,135",,"3,096"
County Jails,"1,662","1,961","1,961","1,974","1,933","1,953","1,984","1,957","1,957","1,957","1,662","1,959","1,943","1,920","1,926","1,944","1,944","1,944","1,929","1,919","1,662","1,902","1,906","1,922","1,922","1,922","1,920","1,925","1,931","1,909","1,662","1,909","1,909","1,909","1,902",,"1,934"
COMMUNITY WORK CENTERS,"1,848","1,732","1,730","1,780","1,781","1,789","1,796","1,761","1,758","1,756","1,848","1,797","1,805","1,807","1,799","1,762","1,761","1,758","1,806","1,807","1,848","1,796","1,804","1,774","1,774","1,772","1,802","1,799","1,791","1,790","1,848","1,763","1,729","1,727","1,756",,"1,776"
Alcorn Satellite Facility,92,88,88,91,92,92,92,89,89,89,92,92,92,92,92,86,86,85,92,92,92,92,92,88,88,88,92,92,92,92,92,91,91,91,92,,90
Bolivar Satellite Facility,102,102,102,102,97,97,97,90,90,90,102,98,101,101,101,97,97,97,101,97,102,94,94,99,99,99,101,100,99,99,102,97,97,97,97,,98
Forrest Satellite Facility,96,85,85,89,94,94,96,95,95,95,96,95,95,95,94,91,91,90,92,95,96,95,95,92,92,92,95,96,96,96,96,94,94,94,94,,93
George Satellite Facility,102,98,98,95,95,95,101,102,102,102,102,100,102,102,102,101,101,101,101,100,102,100,100,100,100,100,98,98,102,101,102,100,100,100,101,,100
Harrison Satellite Facility,102,100,100,100,100,100,101,100,100,100,102,102,101,101,101,99,99,99,102,102,102,102,101,99,99,99,101,99,99,95,102,95,63,63,69,,96
Jackson Satellite Facility,102,92,92,98,97,97,97,101,101,100,102,100,100,100,100,98,98,98,101,100,102,100,100,100,100,99,98,100,100,100,102,99,99,98,99,,99
Jefferson Satellite Facility,102,90,90,91,91,102,102,100,100,100,102,102,102,102,97,94,94,94,96,102,102,102,100,98,98,98,100,94,89,90,102,88,88,88,90,,96
