Location,Capacity_x_x,1-Apr-06,2-Apr-06,3-Apr-06,4-Apr-06,5-Apr-06,6-Apr-06,7-Apr-06,8-Apr-06,9-Apr-06,Capacity_y_x,10-Apr-06,11-Apr-06,12-Apr-06,13-Apr-06,14-Apr-06,15-Apr-06,16-Apr-06,17-Apr-06,18-Apr-06,Capacity_x_y,19-Apr-06,20-Apr-06,21-Apr-06,22-Apr-06,23-Apr-06,24-Apr-06,25-Apr-06,26-Apr-06,27-Apr-06,Capacity_y_y,28-Apr-06,29-Apr-06,30-Apr-06
Mississippi State Penitentiary,"4,529","4,416","4,415","4,398","4,409","4,398","4,408","4,399","4,393","4,392","4,529","4,416","4,411","4,411","4,434","4,444","4,442","4,441","4,440","4,471","4,529","4,481","4,468","4,485","4,481","4,480","4,473","4,472","4,474","4,471","4,529","4,480","4,478","4,476"
Central Mississippi Correctional Facility,"3,293","3,200","3,199","3,214","3,232","3,213","3,211","3,215","3,215","3,214","3,293","3,202","3,214","3,228","3,233","3,213","3,211","3,211","3,214","3,237","3,293","3,256","3,263","3,237","3,234","3,233","3,231","3,259","3,267","3,289","3,293","3,298","3,294","3,294"
South Mississippi Correctional Institution,"2,066","1,991","1,991","1,990","1,979","2,004","2,000","1,986","1,983","1,982","2,066","1,945","1,936","1,948","1,945","1,944","1,942","1,938","1,933","1,930","2,066","1,932","1,939","1,931","1,930","1,930","1,927","1,944","1,930","1,935","2,066","1,937","1,937","1,936"
County Jails,"2,107","1,808","1,808","1,801","1,821","1,848","1,849","1,853","1,853","1,853","2,107","1,875","1,868","1,892","1,885","1,879","1,879","1,879","1,868","1,823","2,107","1,790","1,786","1,813","1,813","1,813","1,818","1,779","1,758","1,725","2,107","1,688","1,688","1,688"
COMMUNITY WORK CENTERS,"1,816","1,709","1,708","1,725","1,732","1,733","1,729","1,737","1,733","1,732","1,816","1,755","1,752","1,734","1,727","1,717","1,711","1,712","1,735","1,744","1,816","1,750","1,760","1,763","1,756","1,757","1,764","1,759","1,775","1,793","1,816","1,771","1,772","1,771"
Alcorn Satellite Facility,92,88,88,91,91,91,90,91,91,91,92,91,90,89,89,88,88,88,86,90,92,90,90,88,88,88,89,89,89,92,92,87,87,87
Bolivar Satellite Facility,102,97,97,96,96,99,99,99,99,99,102,98,97,95,95,93,93,93,94,94,102,99,101,101,100,100,98,98,97,102,102,97,97,97
Forrest Satellite Facility,96,91,91,91,91,91,91,94,94,93,96,95,95,94,92,89,89,90,91,91,96,92,96,95,95,96,96,96,92,96,96,94,94,94
George Satellite Facility,102,93,93,95,95,95,94,92,92,91,102,94,95,93,93,99,99,99,100,100,102,100,100,98,97,97,99,100,99,102,102,101,101,101
Harrison Satellite Facility,102,99,99,99,98,97,99,99,99,99,102,99,98,94,94,101,100,100,100,101,102,101,101,102,102,102,102,102,102,102,102,101,101,101
Jackson Satellite Facility,102,100,100,99,99,99,98,97,97,97,102,98,99,101,101,99,98,98,99,99,102,100,100,96,96,96,96,95,102,102,102,102,102,101
Jefferson Satellite Facility,102,94,94,93,94,93,91,98,98,98,102,98,98,95,93,90,90,90,91,92,102,91,91,97,97,97,99,96,99,102,102,99,99,99
Leflore Satellite Facility,102,90,90,97,96,95,94,92,92,92,102,96,95,96,96,101,101,101,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102
Madison Satellite Facility,102,99,99,99,102,102,102,99,99,100,102,102,101,101,102,101,100,100,99,102,102,99,99,101,101,101,101,101,101,102,102,101,101,101
Noxubee Satellite Facility,92,87,87,88,91,91,91,92,91,91,92,92,92,91,91,90,90,90,87,87,92,85,86,92,92,92,92,92,92,92,92,89,89,89
Pike Satellite Facility,93,78,78,80,79,79,86,89,89,89,93,89,89,89,89,89,88,88,88,87,93,91,91,86,85,84,88,85,86,87,93,88,88,88
Quitman Satellite Facility,93,75,75,73,73,73,72,80,80,80,93,80,80,81,80,75,75,75,85,85,93,85,85,90,90,90,89,89,90,90,93,89,89,89
Rankin Satellite Facility,228,224,224,225,225,225,223,219,217,217,228,221,222,222,221,220,218,218,222,221,228,222,224,224,221,222,222,222,225,225,228,219,220,220
Simpson Satellite Facility,102,97,97,99,99,99,99,98,97,97,102,99,98,97,97,95,95,95,97,96,102,97,96,94,94,94,96,95,99,99,102,101,101,101
Washington Satellite Facility,102,99,99,100,101,101,101,99,99,99,102,101,101,98,98,95,95,95,97,97,102,99,101,101,101,101,101,101,100,100,102,101,101,101
Wilkinson Satellite Facility,102,101,100,101,100,101,97,100,100,100,102,100,100,97,96,96,96,96,102,99,102,97,97,97,97,97,94,98,98,98,102,98,98,98
Yazoo Satellite Facility,102,97,97,99,102,102,102,99,99,99,102,102,102,101,100,96,96,96,95,101,102,101,101,99,98,98,100,98,102,100,102,102,102,102
REGIONAL CORRECTIONAL FACILITIES,"3,058","3,033","3,033","3,041","3,042","3,045","3,053","3,049","3,049","3,049","3,058","3,041","3,052","3,046","3,046","3,044","3,038","3,037","3,047","3,042","3,058","3,036","3,047","3,043","3,042","3,041","3,040","3,038","3,039","3,045","3,058","3,042","3,040","3,038"
Bolivar County,294,294,294,294,291,290,294,294,294,294,294,293,293,292,291,291,291,291,293,291,294,288,294,294,294,294,293,292,292,293,294,292,291,290
Carroll County,280,280,280,279,279,280,280,278,278,278,280,278,278,278,280,280,280,280,279,279,280,279,279,279,279,279,279,279,280,278,280,277,277,277
George County,280,280,280,280,279,279,278,278,278,278,280,278,280,279,279,279,278,278,280,280,280,279,279,277,277,276,276,275,279,278,280,278,278,278
Holmes County,280,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,278,278,278,278,278,278,280,280,280,280,280
Issaquena County,274,274,274,273,273,268,273,273,273,273,274,272,273,272,273,273,273,273,273,272,274,269,274,273,273,273,273,272,274,273,274,272,272,272
Jefferson County,250,249,249,247,247,250,250,249,249,249,250,249,250,249,249,250,250,250,249,248,250,247,250,250,250,250,250,250,249,248,250,248,248,248
Kemper County,280,277,277,279,280,280,280,280,280,280,280,280,280,279,277,277,275,275,279,279,280,279,279,279,279,279,279,279,280,280,280,279,279,279
Leake County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,278,277,278,277,280,279,278,279,279,279,279,278,279,279,280,280,280,280
Marion County,280,279,279,278,278,280,280,280,280,280,280,280,280,280,280,279,279,279,278,278,280,278,276,276,275,275,275,279,279,279,280,279,278,278
Stone County,280,279,279,279,278,278,279,279,279,279,280,279,280,280,280,280,279,279,280,280,280,280,280,279,279,279,279,278,271,280,280,280,280,279
Winston County,280,262,262,273,277,280,279,278,278,278,280,272,278,277,277,276,275,275,278,278,280,278,279,279,279,279,279,278,278,277,280,277,277,277
PRIVATE PRISONS,"5,100","4,767","4,766","4,772","4,770","4,777","4,770","4,802","4,800","4,793","5,100","4,822","4,828","4,816","4,819","4,805","4,805","4,803","4,817","4,810","5,100","4,812","4,805","4,809","4,807","4,806","4,803","4,784","4,786","4,799","5,100","4,803","4,803","4,799"
Delta,972,969,969,972,970,970,970,969,969,967,972,967,969,967,968,972,972,972,972,969,972,968,966,964,964,964,964,963,960,959,972,956,956,956
East Mississippi,"1,000",863,863,863,863,863,863,863,862,860,"1,000",858,857,856,855,853,853,853,853,852,"1,000",852,852,853,853,852,852,850,851,851,"1,000",851,851,851
Marshall County,"1,000",992,991,995,995,995,994,995,995,995,"1,000",992,993,994,993,992,992,992,994,994,"1,000",992,990,990,990,990,990,989,993,993,"1,000",993,993,993
Tallahatchie County,128,127,127,127,127,127,128,128,128,128,128,128,128,127,126,125,125,125,126,126,128,126,126,126,126,126,126,126,126,126,128,128,128,127
Walnut Grove,"1,000",928,928,927,926,933,925,929,928,926,"1,000",926,933,932,939,928,928,928,934,933,"1,000",931,929,934,934,934,931,926,924,937,"1,000",937,937,937
Wilkinson County,"1,000",888,888,888,889,889,890,918,918,917,"1,000",951,948,940,938,935,935,933,938,936,"1,000",943,942,942,940,940,940,930,932,933,"1,000",938,938,935
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12
Greenwood,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5
E-CODE,,18,17,7,7,6,5,20,24,25,,0,5,9,9,34,34,32,8,7,,6,5,19,20,20,4,3,4,5,,28,28,28
TOTALS,"21,991","20,959","20,954","20,965","21,009","21,041","21,042","21,078","21,067","21,057","21,991","21,073","21,083","21,101","21,115","21,097","21,079","21,070","21,079","21,081","21,991","21,080","21,090","21,117","21,100","21,097","21,077","21,055","21,050","21,079","21,991","21,064","21,057","21,047"
