Location,Capacity_x_x,1-Jun-07,2-Jun-07,3-Jun-07,4-Jun-07,5-Jun-07,6-Jun-07,7-Jun-07,8-Jun-07,9-Jun-07,Capacity_y_x,10-Jun-07,11-Jun-07,12-Jun-07,13-Jun-07,14-Jun-07,15-Jun-07,16-Jun-07,17-Jun-07,18-Jun-07,Capacity_x_y,19-Jun-07,20-Jun-07,21-Jun-07,22-Jun-07,23-Jun-07,24-Jun-07,25-Jun-07,26-Jun-07,27-Jun-07,Capacity_y_y,28-Jun-07,29-Jun-07,30-Jun-07,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,534","4,538","4,536","4,535","4,526","4,513","4,542","4,559","4,539","4,541","4,534","4,538","4,533","4,552","4,545","4,531","4,544","4,540","4,540","4,524","4,534","4,502","4,488","4,496","4,499","4,492","4,490","4,481","4,483","4,483","4,534","4,497","4,505","4,501",,"4,520"
Central Mississippi Correctional Facility,"3,425","3,359","3,356","3,356","3,366","3,372","3,351","3,337","3,328","3,327","3,425","3,330","3,347","3,374","3,375","3,376","3,362","3,364","3,363","3,372","3,425","3,388","3,410","3,417","3,412","3,412","3,413","3,407","3,407","3,436","3,425","3,428","3,403","3,403",,"3,378"
South Mississippi Correctional Institution,"2,684","2,586","2,586","2,587","2,573","2,576","2,566","2,570","2,574","2,573","2,684","2,570","2,585","2,572","2,556","2,572","2,579","2,577","2,575","2,591","2,684","2,598","2,604","2,598","2,601","2,599","2,599","2,591","2,601","2,603","2,684","2,593","2,599","2,598",,"2,585"
County Jails,"1,793","1,804","1,804","1,804","1,811","1,830","1,838","1,873","1,907","1,907","1,793","1,907","1,899","1,877","1,863","1,899","1,878","1,878","1,878","1,862","1,793","1,852","1,851","1,851","1,864","1,864","1,864","1,866","1,858","1,845","1,793","1,834","1,833","1,833",,"1,858"
COMMUNITY WORK CENTERS,"1,816","1,631","1,630","1,626","1,740","1,750","1,760","1,759","1,697","1,694","1,816","1,691","1,743","1,739","1,743","1,750","1,699","1,699","1,697","1,747","1,816","1,755","1,761","1,764","1,706","1,703","1,701","1,759","1,758","1,756","1,816","1,757","1,780","1,778",,"1,726"
Alcorn Satellite Facility,92,80,80,80,88,88,88,88,85,85,92,84,89,89,87,87,81,81,81,89,92,89,89,89,79,79,78,88,88,86,92,88,88,88,,85
Bolivar Satellite Facility,102,88,88,88,97,99,99,101,101,101,102,101,102,100,100,100,97,97,97,100,102,100,100,101,94,94,94,101,101,95,102,100,100,99,,98
Forrest Satellite Facility,96,88,88,88,96,96,96,96,91,90,96,89,87,88,94,94,92,92,92,94,96,93,93,94,94,94,94,94,93,92,96,91,95,95,,92
George Satellite Facility,102,96,96,96,102,101,101,101,100,100,102,100,100,99,100,101,99,99,100,100,102,100,100,100,100,100,100,101,100,100,102,100,102,102,,100
Harrison Satellite Facility,102,98,98,97,100,99,99,98,95,95,102,95,96,95,101,101,97,97,97,99,102,99,99,99,94,94,94,98,100,98,102,98,100,100,,98
Jackson Satellite Facility,102,95,95,93,97,97,97,97,89,90,102,90,97,99,99,99,96,96,96,99,102,99,99,99,96,96,96,99,99,99,102,98,101,101,,97
Jefferson Satellite Facility,102,89,88,88,101,100,100,99,94,93,102,92,97,97,97,97,93,93,92,94,102,94,102,102,100,100,100,102,102,102,102,102,101,101,,97
Leflore Satellite Facility,102,88,88,88,96,102,102,102,95,95,102,95,101,101,100,100,96,96,96,100,102,100,100,102,96,96,95,100,99,99,102,97,102,102,,98
Madison Satellite Facility,102,97,97,97,100,100,100,101,98,98,102,98,101,101,101,101,100,100,100,100,102,102,102,101,99,99,99,100,98,102,102,102,102,101,,100
Noxubee Satellite Facility,92,77,77,77,92,92,92,92,90,90,92,90,92,92,92,92,82,82,82,91,92,91,91,90,88,88,88,92,91,92,92,91,91,91,,89
Pike Satellite Facility,93,78,78,77,80,82,86,89,80,80,93,80,83,82,82,80,84,84,84,91,93,91,91,92,91,90,90,90,90,90,93,90,91,91,,86
Quitman Satellite Facility,93,78,78,78,87,86,87,85,85,85,93,85,90,90,89,88,82,82,80,82,93,84,84,84,83,82,82,83,86,90,93,90,89,89,,85
Rankin Satellite Facility,228,198,198,198,201,208,209,209,203,202,228,202,207,208,207,207,201,201,201,210,228,208,208,208,208,207,207,212,213,213,228,213,213,213,,206
Simpson Satellite Facility,102,93,93,93,102,102,102,102,99,99,102,99,102,102,102,102,98,98,98,102,102,102,102,100,97,97,97,100,99,102,102,102,102,102,,100
Washington Satellite Facility,102,98,98,98,100,97,101,98,93,93,102,93,98,98,95,102,102,102,102,101,102,101,100,101,97,97,97,101,101,100,102,98,102,102,,99
Wilkinson Satellite Facility,102,98,98,98,100,100,100,100,98,97,102,97,99,99,98,98,100,100,100,95,102,101,101,101,96,96,96,98,98,98,102,98,100,100,,99
Yazoo Satellite Facility,102,92,92,92,101,101,101,101,101,101,102,101,102,99,99,101,99,99,99,100,102,101,100,101,94,94,94,100,100,98,102,99,101,101,,99
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,074","3,071","3,070","3,058","3,061","3,065","3,069","3,080","3,078","3,082","3,076","3,070","3,069","3,072","3,072","3,074","3,072","3,072","3,075","3,082","3,077","3,072","3,076","3,077","3,072","3,070","3,076","3,078","3,071","3,082","3,068","3,073","3,070",,"3,072"
Bolivar County,294,291,291,290,288,288,293,293,292,292,294,291,291,293,293,293,292,292,292,291,294,293,293,294,293,292,292,291,290,291,294,292,294,294,,292
Carroll County,280,280,280,280,279,279,277,278,281,280,280,280,279,279,278,278,277,277,277,278,280,282,282,282,281,281,281,281,281,281,280,281,281,280,,280
George County,280,277,277,277,277,279,280,280,280,280,280,280,280,279,278,279,279,279,279,279,280,279,278,278,278,277,276,278,279,278,280,276,278,278,,278
Holmes County,280,280,280,280,278,280,281,280,280,280,280,280,280,280,280,280,280,280,280,280,280,278,279,280,279,279,279,280,280,280,280,280,280,279,,280
Issaquena County,274,273,272,272,275,276,271,270,274,274,274,274,273,273,278,275,276,276,276,276,274,275,275,275,274,273,272,273,274,274,274,271,272,271,,274
Jefferson County,274,274,274,274,274,272,271,272,273,273,274,273,272,272,271,273,274,274,274,274,274,274,274,274,274,274,274,274,274,273,274,272,273,273,,273
Kemper County,280,280,279,279,277,275,279,280,280,280,280,280,277,279,280,278,280,279,279,280,280,279,277,280,279,278,278,280,280,277,280,279,278,278,,279
Leake County,280,280,279,279,275,274,275,278,280,280,280,280,280,279,280,280,280,280,280,280,280,280,279,279,280,279,279,280,280,280,280,280,280,280,,279
Marion County,280,280,280,280,279,278,278,278,280,280,280,279,279,278,278,279,279,279,279,278,280,278,278,278,280,280,280,280,280,279,280,279,279,279,,279
Stone County,280,279,279,279,279,280,280,280,280,280,280,280,280,280,279,280,280,280,280,279,280,279,280,280,280,280,280,280,280,279,280,280,279,279,,280
Winston County,280,280,280,280,277,280,280,280,280,279,280,279,279,277,277,277,277,276,276,280,280,280,277,276,279,279,279,279,280,279,280,278,279,279,,279
PRIVATE PRISONS,"5,100","4,877","4,870","4,870","4,871","4,874","4,875","4,870","4,882","4,881","5,100","4,881","4,872","4,866","4,869","4,878","4,876","4,874","4,874","4,878","5,100","4,898","4,905","4,904","4,898","4,897","4,895","4,899","4,908","4,905","5,100","4,902","4,902","4,898",,"4,885"
Delta,972,971,970,970,967,968,970,973,966,966,972,966,962,965,965,970,969,969,969,969,972,969,972,973,973,973,972,971,973,973,972,971,969,969,,969
East Mississippi,"1,000",875,874,874,873,873,873,875,877,877,"1,000",878,876,876,876,876,877,877,877,877,"1,000",883,883,882,879,879,880,880,880,881,"1,000",879,880,880,,878
Marshall County,"1,000",995,992,992,993,995,992,994,995,995,"1,000",995,994,993,994,992,993,992,992,991,"1,000",993,995,993,993,994,994,994,993,993,"1,000",994,994,992,,993
Tallahatchie County,128,127,127,127,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,,128
Walnut Grove,"1,000",942,941,941,945,946,949,947,951,951,"1,000",950,949,944,944,951,949,948,948,947,"1,000",949,955,953,952,952,952,954,961,959,"1,000",958,957,956,,950
Wilkinson County,"1,000",967,966,966,965,964,963,953,965,964,"1,000",964,963,960,962,962,961,961,961,966,"1,000",976,972,975,973,971,969,972,973,971,"1,000",972,974,973,,967
RESTITUTION CENTERS,16,12,12,12,11,11,10,10,10,9,16,9,10,10,10,10,10,10,10,10,16,10,10,10,10,10,10,10,10,10,16,12,12,12,,10
Greenwood,6,4,4,4,4,4,3,3,4,4,6,4,4,4,4,4,4,4,4,4,6,4,3,3,3,3,3,3,3,3,6,3,3,3,,4
Hinds,6,5,5,5,4,4,4,4,3,2,6,2,3,3,3,3,3,3,3,3,6,3,4,4,4,4,4,4,4,4,6,6,6,6,,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,,5
E-CODE,,109,109,109,9,8,8,8,71,69,,67,10,9,8,10,63,61,61,7,,7,8,11,76,74,70,12,12,12,,14,17,17,,38
TOTALS,"22,456","21,995","21,979","21,974","21,970","22,000","22,020","22,060","22,093","22,084","22,456","22,074","22,074","22,073","22,046","22,103","22,090","22,080","22,075","22,071","22,456","22,092","22,114","22,132","22,148","22,128","22,117","22,106","22,120","22,126","22,456","22,110","22,129","22,115",,"22,077"
