Location,Capacity_x_x,1-Jan-09,2-Jan-09,3-Jan-09,4-Jan-09,5-Jan-09,6-Jan-09,7-Jan-09,8-Jan-09,9-Jan-09,Capacity_y_x,10-Jan-09,11-Jan-09,12-Jan-09,13-Jan-09,14-Jan-09,15-Jan-09,16-Jan-09,17-Jan-09,18-Jan-09,Capacity_x_y,19-Jan-09,20-Jan-09,21-Jan-09,22-Jan-09,23-Jan-09,24-Jan-09,25-Jan-09,26-Jan-09,27-Jan-09,Capacity_y_y,28-Jan-09,29-Jan-09,30-Jan-09,31-Jan-09,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,627","3,920","3,915","3,917","3,914","3,957","4,002","4,005","4,070","4,088","4,627","4,085","4,084","4,084","4,094","4,104","4,098","4,094","4,092","4,090","4,627","4,089","4,082","4,080","4,073","4,059","4,057","4,056","4,074","4,085","4,627","4,084","4,086","4,094","4,094",,"4,052"
Central Mississippi Correctional Facility,"3,665","3,492","3,486","3,486","3,484","3,477","3,448","3,484","3,438","3,447","3,665","3,444","3,446","3,453","3,483","3,524","3,556","3,556","3,555","3,554","3,665","3,554","3,555","3,532","3,535","3,522","3,518","3,518","3,497","3,477","3,665","3,470","3,476","3,490","3,492",,"3,498"
South Mississippi Correctional Institution,"3,204","3,144","3,145","3,144","3,144","3,137","3,137","3,140","3,146","3,128","3,204","3,127","3,126","3,131","3,131","3,133","3,141","3,130","3,129","3,129","3,204","3,124","3,120","3,117","3,116","3,123","3,122","3,121","3,142","3,138","3,204","3,144","3,144","3,135","3,132",,"3,133"
County Jails,"1,722","1,829","1,829","1,829","1,829","1,805","1,815","1,809","1,800","1,769","1,722","1,769","1,769","1,766","1,735","1,682","1,648","1,682","1,682","1,682","1,722","1,686","1,693","1,726","1,757","1,762","1,762","1,762","1,728","1,751","1,722","1,746","1,730","1,718","1,718",,"1,751"
COMMUNITY WORK CENTERS,"1,848","1,811","1,807","1,802","1,803","1,807","1,795","1,792","1,807","1,709","1,848","1,707","1,709","1,781","1,779","1,773","1,770","1,695","1,691","1,689","1,848","1,762","1,758","1,728","1,729","1,676","1,674","1,673","1,741","1,769","1,848","1,779","1,775","1,732","1,726",,"1,750"
Alcorn Satellite Facility,92,91,91,91,91,91,90,90,90,80,92,80,80,90,90,90,90,81,81,81,92,89,89,86,87,85,85,85,87,90,92,88,85,83,83,,87
Bolivar Satellite Facility,102,99,99,98,98,98,98,99,99,94,102,94,94,99,99,99,99,92,91,90,102,97,96,96,96,96,96,96,98,99,102,99,99,99,98,,97
Forrest Satellite Facility,96,96,96,96,96,95,93,93,95,90,96,90,90,95,95,95,95,91,91,91,96,95,95,93,93,92,92,92,96,95,96,95,95,94,93,,94
George Satellite Facility,102,100,99,99,99,102,101,100,101,100,102,100,100,102,102,101,96,96,96,96,102,96,96,96,97,92,92,91,96,96,102,100,100,99,99,,98
Harrison Satellite Facility,102,101,101,101,101,100,100,102,102,99,102,99,99,99,98,97,96,94,94,94,102,96,96,94,94,100,100,100,100,102,102,102,102,102,102,,99
Jackson Satellite Facility,102,101,101,101,101,102,102,101,102,94,102,93,93,99,99,99,97,90,90,90,102,97,97,95,100,97,97,97,100,102,102,102,101,100,100,,98
Jefferson Satellite Facility,102,97,97,96,96,96,96,95,102,94,102,94,94,97,97,94,98,92,91,91,102,96,96,94,94,90,90,90,91,94,102,94,94,89,89,,94
Leflore Satellite Facility,102,101,100,99,99,99,99,99,99,94,102,94,94,98,98,98,97,89,89,89,102,96,94,90,90,86,86,86,89,94,102,97,97,96,96,,95
Madison Satellite Facility,102,101,100,100,100,101,95,95,102,96,102,96,96,101,101,101,101,100,100,100,102,100,100,99,99,97,97,97,97,102,102,102,102,100,99,,99
Noxubee Satellite Facility,92,88,88,88,88,87,87,86,87,84,92,84,84,87,87,87,91,86,86,86,92,91,90,90,89,79,79,79,89,88,92,88,92,90,90,,87
Pike Satellite Facility,93,92,92,92,92,92,92,92,92,88,93,88,88,92,92,92,92,90,90,89,93,91,91,86,83,81,81,81,84,85,93,86,86,85,85,,88
Quitman Satellite Facility,93,89,89,89,89,90,90,90,91,82,93,81,81,90,88,88,88,84,84,84,93,88,90,86,85,81,81,81,83,84,93,84,85,84,84,,86
Rankin Satellite Facility,260,250,250,250,250,251,251,250,250,246,260,246,246,245,249,249,248,245,244,244,260,249,248,246,246,238,236,236,242,252,260,253,252,244,243,,247
