Location,Capacity_x,1-Feb-04,2-Feb-04,3-Feb-04,4-Feb-04,5-Feb-04,6-Feb-04,7-Feb-04,8-Feb-04,9-Feb-04,10-Feb-04,11-Feb-04,12-Feb-04,Capacity_y,13-Feb-04,14-Feb-04,15-Feb-04,16-Feb-04,17-Feb-04,18-Feb-04,19-Feb-04,20-Feb-04,21-Feb-04,22-Feb-04,23-Feb-04,24-Feb-04,Capacity,25-Feb-04,26-Feb-04,27-Feb-04,28-Feb-04,29-Feb-04
MS STATE PENITENTIARY,"5,768","5,619","5,642","5,640","5,663","5,678","5,676","5,674","5,673","5,676","5,684","5,678","5,658","5,768","5,666","5,663","5,662","5,664","5,663","5,651","5,659","5,649","5,648","5,648","5,668","5,662","5,768","5,662","5,685","5,662","5,659","5,659"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,257","3,258","3,266","3,251","3,212","3,216","3,216","3,215","3,185","3,171","3,151","3,147","3,233","3,118","3,116","3,113","3,114","3,124","3,153","3,177","3,161","3,160","3,160","3,144","3,132","3,233","3,152","3,151","3,157","3,158","3,159"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,065","2,060","2,072","2,050","2,064","2,055","2,053","2,053","2,088","2,083","2,090","2,071","2,214","2,060","2,057","2,058","2,057","2,054","2,071","2,070","2,079","2,081","2,081","2,070","2,083","2,214","2,081","2,079","2,094","2,095","2,093"
COUNTY JAILS,"2,176","1,915","1,919","1,961","1,998","2,007","1,998","1,998","1,998","2,016","2,067","2,069","2,071","2,176","2,066","2,066","2,066","2,070","2,081","2,088","2,085","2,103","2,103","2,103","2,117","2,131","2,176","2,138","2,144","2,188","2,188","2,188"
COMMUNITY WORK CENTERS,"1,816","1,477","1,524","1,519","1,532","1,528","1,495","1,495","1,495","1,536","1,531","1,544","1,585","1,816","1,527","1,527","1,527","1,602","1,594","1,593","1,595","1,549","1,548","1,545","1,580","1,597","1,816","1,599","1,604","1,561","1,557","1,556"
Alcorn Satellite Facility,92,83,88,88,91,91,87,87,87,87,85,86,91,92,82,82,82,91,91,91,91,90,90,90,91,91,92,89,89,88,88,88
Bolivar Satellite Facility,102,87,87,85,85,85,84,84,84,85,85,85,94,102,88,88,89,95,95,94,94,90,90,90,94,95,102,95,95,89,89,89
Forrest Satellite Facility,96,92,92,92,93,94,91,91,91,96,95,95,96,96,89,89,89,96,96,95,95,90,90,90,94,93,96,92,96,89,89,89
George Satellite Facility,102,68,69,69,70,70,69,69,69,70,69,72,76,102,69,69,69,76,76,76,75,72,72,72,72,72,102,71,70,67,67,67
Harrison Satellite Facility,102,61,64,64,67,67,73,73,74,77,78,78,78,102,85,85,85,87,87,86,85,81,81,81,85,91,102,91,91,91,91,91
Jackson Satellite Facility,102,55,56,56,57,58,53,53,53,58,66,66,74,102,76,76,75,76,77,77,76,76,76,75,73,73,102,73,73,69,69,69
Jefferson Satellite Facility,102,74,79,78,78,77,71,71,71,71,70,71,77,102,77,77,77,81,79,82,82,80,78,78,79,79,102,79,79,77,77,77
Leflore Satellite Facility,102,97,97,97,97,96,101,101,101,101,100,102,102,102,95,95,95,101,99,100,102,97,97,97,102,102,102,102,100,100,100,100
Madison Satellite Facility,102,101,102,102,102,101,101,101,101,101,100,102,102,102,99,99,99,102,102,102,102,100,100,100,101,101,102,101,100,97,97,95
Noxubee Satellite Facility,92,87,89,89,92,92,89,89,89,92,91,91,91,92,85,85,85,91,91,92,91,91,91,89,89,92,92,91,90,89,89,89
Pike Satellite Facility,93,41,43,45,44,44,44,44,44,44,50,49,49,93,55,55,55,55,55,55,55,53,53,53,55,56,93,56,56,56,56,56
Quitman Satellite Facility,93,76,78,77,73,73,73,73,72,74,76,78,82,93,77,77,77,81,79,82,82,81,81,81,82,82,93,82,82,83,83,83
Rankin Satellite Facility,228,210,216,214,212,209,203,203,203,208,198,198,201,228,193,193,193,200,200,200,205,201,201,202,208,208,228,207,214,203,203,203
Simpson Satellite Facility,102,95,100,100,101,101,94,94,94,102,100,101,102,102,97,97,97,100,99,97,97,90,91,90,93,93,102,93,93,99,99,99
Washington Satellite Facility,102,94,98,98,98,98,94,94,94,97,96,98,98,102,92,92,92,99,98,98,97,93,93,93,97,101,102,101,101,100,100,100
Wilkinson Satellite Facility,102,62,68,67,70,70,69,69,69,71,71,71,71,102,67,67,67,70,70,67,67,65,65,65,66,66,102,75,75,74,74,74
Yazoo Satellite Facility,102,94,98,98,102,102,99,99,99,102,101,101,101,102,101,101,101,101,100,99,99,99,99,99,99,102,102,101,100,90,86,87
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,744","2,743","2,736","2,743","2,746","2,736","2,735","2,734","2,740","2,723","2,736","2,739","2,750","2,744","2,743","2,743","2,741","2,737","2,743","2,740","2,741","2,740","2,740","2,740","2,742","2,750","2,742","2,740","2,740","2,739","2,739"
Bolivar County,250,250,250,250,250,249,250,250,250,250,250,249,249,250,249,248,248,248,246,247,247,250,250,250,250,248,250,247,250,250,250,250
Carroll County,250,250,250,250,250,250,250,250,250,249,249,249,249,250,248,248,248,248,248,248,248,248,248,248,249,250,250,249,249,249,250,250
George County (opened on May 10th),250,250,250,247,248,249,249,249,249,249,240,249,248,250,249,249,249,249,249,249,248,249,248,248,247,247,250,250,245,245,245,245
Holmes County,250,250,250,250,250,250,249,249,249,248,246,247,250,250,250,250,250,250,250,250,249,249,250,250,250,250,250,249,249,250,250,250
Issaquena County,250,250,248,246,246,249,242,242,241,249,249,247,247,250,248,248,248,246,244,250,250,249,249,249,249,250,250,250,250,249,248,248
Jefferson County,250,248,250,250,250,249,249,249,249,249,248,249,249,250,250,250,250,250,250,250,249,249,249,249,249,249,250,249,250,250,250,250
Kemper County,250,249,249,249,250,250,248,248,248,248,248,249,249,250,250,250,250,250,250,250,250,249,249,249,249,249,250,249,248,248,248,248
Leake County,250,249,249,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Marion County,250,248,248,245,250,250,249,248,248,248,248,250,250,250,250,250,250,250,250,249,249,249,248,248,248,250,250,250,250,249,249,249
Stone County,250,250,250,250,249,250,250,250,250,250,246,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249
Winston County,250,250,249,249,250,250,250,250,250,250,250,248,248,250,250,250,250,250,250,250,250,249,249,249,249,249,250,249,249,250,250,250
PRIVATE PRISONS,"3,750","3,441","3,436","3,447","3,447","3,448","3,442","3,441","3,441","3,438","3,422","3,411","3,426","3,750","3,428","3,428","3,426","3,425","3,424","3,422","3,422","3,430","3,429","3,428","3,425","3,438","3,750","3,435","3,432","3,436","3,435","3,433"
East MS,"1,000",726,726,730,729,729,731,730,730,730,727,728,728,"1,000",730,730,730,729,728,728,728,726,726,726,724,724,"1,000",722,721,729,728,727
Marshall County,"1,000",992,993,991,991,993,991,991,991,988,986,984,986,"1,000",987,987,985,985,989,987,988,994,994,994,993,993,"1,000",993,993,991,991,991
Walnut Grove,750,734,733,732,734,733,729,729,729,729,721,719,718,750,720,720,720,720,716,716,715,717,717,717,717,726,750,725,725,722,722,722
Wilkinson County,"1,000",989,984,994,993,993,991,991,991,991,988,980,994,"1,000",991,991,991,991,991,991,991,993,992,991,991,995,"1,000",995,993,994,994,993
RESITITUTION CENTERS,24,13,13,13,13,13,13,13,13,13,13,13,13,24,12,12,12,13,13,14,14,14,14,14,14,14,24,14,14,14,14,14
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,5,5,5,5,5,5,5,5,5,5,5,5,12,4,4,4,5,5,5,5,5,5,5,5,5,12,5,5,5,5,5
