Location,Capacity_x_x,1-Oct-11,2-Oct-11,3-Oct-11,4-Oct-11,5-Oct-11,6-Oct-11,7-Oct-11,8-Oct-11,9-Oct-11,Capacity_y_x,10-Oct-11,11-Oct-11,12-Oct-11,13-Oct-11,14-Oct-11,15-Oct-11,16-Oct-11,17-Oct-11,18-Oct-11,Capacity_x_y,19-Oct-11,20-Oct-11,21-Oct-11,22-Oct-11,23-Oct-11,24-Oct-11,25-Oct-11,26-Oct-11,27-Oct-11,Capacity_y_y,28-Oct-11,29-Oct-11,30-Oct-11,31-Oct-11,Avg Population
Mississippi State Penitentiary,"3,356","3,062","3,062","3,070","3,058","3,053","3,043","3,035","3,035","3,035","3,356","3,046","3,034","3,052","3,047","3,053","3,056","3,053","3,054","3,060","3,356","3,055","3,074","3,069","3,067","3,067","3,065","3,058","3,061","3,061","3,356","3,062","3,057","3,056","3,045","3,055"
Central Mississippi Correctional Facility,"3,449","3,049","3,052","3,057","3,024","3,030","3,037","2,996","2,998","2,997","3,449","3,020","3,033","3,030","3,057","3,035","3,034","3,029","3,025","3,020","3,449","3,038","3,008","3,012","3,009","3,011","3,029","3,046","3,067","3,092","3,449","3,071","3,071","3,068","3,091","3,037"
South Mississippi Correctional Institution,"3,256","3,199","3,198","3,200","3,204","3,205","3,197","3,204","3,207","3,207","3,256","3,199","3,209","3,206","3,193","3,189","3,187","3,185","3,185","3,191","3,256","3,185","3,182","3,196","3,195","3,194","3,194","3,197","3,201","3,200","3,256","3,196","3,193","3,191","3,186","3,196"
County Jails,"1,616","1,939","1,939","1,943","1,954","1,956","1,953","1,984","1,984","1,984","1,616","1,972","1,951","1,987","1,992","1,989","1,989","1,989","1,993","1,991","1,616","1,973","1,955","1,925","1,925","1,925","1,952","1,942","1,927","1,942","1,616","1,979","1,979","1,979","2,013","1,965"
COMMUNITY WORK CENTERS,"1,848","1,503","1,503","1,516","1,517","1,521","1,526","1,482","1,478","1,477","1,848","1,521","1,531","1,529","1,519","1,512","1,508","1,507","1,523","1,516","1,848","1,523","1,517","1,486","1,484","1,483","1,506","1,506","1,507","1,507","1,848","1,503","1,497","1,497","1,522","1,507"
Alcorn Satellite Facility,92,82,82,85,85,84,83,82,82,82,92,84,84,86,85,81,81,81,85,85,92,85,85,82,82,82,83,83,83,86,92,82,82,82,89,83
Bolivar Satellite Facility,102,82,82,81,81,81,84,79,79,79,102,82,86,86,86,85,85,85,85,82,102,82,82,87,87,87,86,86,86,84,102,84,84,84,85,84
Forrest Satellite Facility,96,83,83,82,82,85,86,79,79,79,96,82,82,83,83,81,81,80,81,81,96,81,84,81,80,80,80,79,80,78,96,76,76,76,78,81
George Satellite Facility,102,86,86,87,85,86,87,84,82,82,102,83,75,75,74,73,73,73,74,74,102,78,78,85,85,85,85,84,84,83,102,82,80,80,81,81
Harrison Satellite Facility,102,85,85,86,88,86,90,87,86,86,102,89,89,89,91,89,89,89,91,91,102,90,90,84,84,84,86,85,86,84,102,84,84,84,84,87
Jackson Satellite Facility,102,89,89,91,92,91,91,84,83,83,102,89,91,91,91,91,91,91,92,90,102,90,89,83,83,83,88,87,87,88,102,86,86,86,89,88
Jefferson Satellite Facility,102,77,77,76,76,76,76,75,75,75,102,77,77,77,77,74,74,74,74,74,102,75,72,70,70,70,69,69,69,68,102,77,77,77,76,74
Leflore Satellite Facility,102,90,90,91,91,91,90,90,90,90,102,94,94,94,94,92,89,89,90,90,102,88,88,89,89,89,89,89,88,87,102,91,91,91,91,90
Madison Satellite Facility,102,91,91,90,89,89,85,85,85,85,102,87,86,85,85,91,91,91,91,92,102,92,92,88,88,87,86,85,85,90,102,90,89,89,90,88
Noxubee Satellite Facility,92,73,73,77,77,78,76,75,75,75,92,79,79,79,78,74,73,73,76,76,92,76,76,70,70,70,79,79,79,77,92,77,77,77,78,76
Pike Satellite Facility,93,55,55,57,57,57,56,62,62,62,93,62,70,70,62,70,70,70,69,69,93,69,69,69,69,69,68,69,67,67,93,65,64,64,68,65
Quitman Satellite Facility,93,74,74,73,74,75,79,79,79,78,93,78,79,78,76,76,76,76,76,73,93,76,74,73,72,72,73,72,72,72,93,71,71,71,70,75
Rankin Satellite Facility,260,189,189,188,188,190,190,187,187,187,260,189,189,189,190,190,190,190,191,192,260,195,190,188,188,188,191,195,195,194,260,195,195,195,196,191
Simpson Satellite Facility,102,87,87,88,88,89,91,83,83,83,102,88,88,85,86,90,90,90,89,90,102,94,92,89,89,89,89,88,88,89,102,88,87,87,92,88
Washington Satellite Facility,102,87,88,92,92,91,90,87,87,87,102,90,94,94,94,89,89,89,90,90,102,90,90,88,88,88,91,93,93,93,102,89,89,89,89,90
Wilkinson Satellite Facility,102,87,87,87,87,87,87,83,83,83,102,83,83,83,83,81,81,81,83,83,102,83,80,74,74,74,80,80,80,80,102,82,81,81,79,82
Yazoo Satellite Facility,102,86,85,85,85,85,85,81,81,81,102,85,85,85,84,85,85,85,86,84,102,79,86,86,86,86,83,83,85,87,102,84,84,84,87,84
REGIONAL CORRECTIONAL FACILITIES,"4,363","3,445","3,443","3,441","3,490","3,501","3,487","3,492","3,490","3,489","4,363","3,490","3,493","3,491","3,488","3,490","3,488","3,485","3,484","3,491","4,363","3,495","3,493","3,486","3,484","3,481","3,488","3,490","3,486","3,489","4,363","3,488","3,484","3,483","3,482","3,484"
Alcorn County,300,248,248,248,250,250,249,250,250,249,300,248,248,249,251,251,251,251,251,250,300,250,249,249,248,248,247,247,249,247,300,248,247,247,245,249
Bolivar County,294,232,231,232,231,234,234,234,234,234,294,233,233,235,233,233,233,233,232,233,294,236,235,234,234,234,235,235,235,235,294,236,234,234,233,234
Carroll County,280,223,223,223,222,223,223,224,224,224,280,225,223,223,224,224,224,224,224,223,280,223,224,224,224,224,224,224,224,224,280,222,222,222,223,223
Chickasaw County,300,250,250,250,250,250,249,249,249,249,300,249,250,250,250,249,249,249,249,247,300,249,247,248,247,246,250,248,248,247,300,246,245,244,248,248
George County,280,224,224,224,224,224,223,223,223,223,280,223,224,224,222,222,222,222,222,224,280,224,224,223,223,223,224,228,222,223,280,224,224,224,224,223
Holmes County,280,224,224,223,224,224,222,224,224,224,280,224,224,224,223,224,224,224,224,224,280,224,224,222,222,222,224,224,224,224,280,223,223,223,224,224
Issaquena County,274,220,220,220,220,219,219,219,219,219,274,220,220,219,219,219,219,219,219,219,274,219,219,219,219,219,219,219,219,218,274,219,219,219,219,219
Jefferson County,280,224,224,223,224,224,223,224,224,224,280,224,224,224,224,224,224,224,223,222,280,221,222,222,222,222,224,223,223,224,280,224,224,224,223,223
Kemper County,355,285,285,285,284,284,283,284,284,284,355,283,283,283,282,282,282,281,281,281,355,281,281,281,281,280,280,280,279,280,355,280,280,280,280,282
Leake County,280,224,224,223,222,223,223,223,223,223,280,223,224,224,222,224,224,224,224,223,280,224,224,224,224,224,224,224,224,224,280,224,224,224,223,224
Marion County,280,224,224,224,223,226,224,225,224,224,280,224,224,224,224,224,223,223,223,224,280,224,224,223,223,223,223,223,223,224,280,224,224,224,224,224
Stone County,280,223,222,223,223,224,223,224,224,224,280,223,224,224,224,224,224,223,222,224,280,224,224,223,223,223,223,224,224,224,280,224,224,224,224,224
Washington County,300,168,168,168,218,218,215,214,214,214,300,214,217,214,214,214,214,214,214,222,300,221,220,220,220,219,218,218,219,219,300,219,219,219,217,212
Winston County,280,224,224,223,223,226,225,224,224,224,280,225,225,224,223,223,222,222,224,223,280,223,224,223,223,223,223,223,223,224,280,223,223,223,223,224
Yazoo County,300,252,252,252,252,252,252,251,250,250,300,252,250,250,253,253,253,252,252,252,300,252,252,251,251,251,250,250,250,252,300,252,252,252,252,252
PRIVATE PRISONS,"5,972","5,165","5,165","5,172","5,177","5,185","5,193","5,200","5,195","5,192","5,972","5,181","5,197","5,203","5,204","5,173","5,172","5,171","5,169","5,166","5,972","5,172","5,181","5,178","5,175","5,174","5,170","5,176","5,194","5,181","5,972","5,176","5,177","5,176","5,175","5,180"
Delta,972,899,899,898,898,901,902,901,901,899,972,899,901,901,901,900,900,900,899,898,972,901,899,899,898,898,898,897,901,901,972,900,900,900,899,900
East Mississippi,"1,500","1,353","1,353","1,356","1,356","1,354","1,357","1,360","1,358","1,357","1,500","1,357","1,359","1,358","1,358","1,357","1,357","1,357","1,359","1,359","1,500","1,364","1,362","1,359","1,358","1,357","1,357","1,362","1,362","1,360","1,500","1,353","1,354","1,354","1,354","1,357"
Marshall County,"1,000",997,997,997,999,999,996,999,998,998,"1,000",996,995,"1,000","1,000",998,997,997,"1,000",999,"1,000",999,997,999,999,999,999,998,997,997,"1,000",996,996,996,998,998
Walnut Grove,"1,500","1,025","1,025","1,032","1,035","1,035","1,042","1,043","1,042","1,042","1,500","1,035","1,048","1,045","1,046","1,022","1,022","1,021","1,016","1,016","1,500","1,015","1,030","1,023","1,022","1,022","1,020","1,024","1,039","1,028","1,500","1,028","1,028","1,027","1,025","1,030"
Wilkinson County,"1,000",891,891,889,889,896,896,897,896,896,"1,000",894,894,899,899,896,896,896,895,894,"1,000",893,893,898,898,898,896,895,895,895,"1,000",899,899,899,899,896
RESTITUTION CENTERS,16,11,11,10,10,10,11,10,10,10,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,11,16,11,11,11,11,11
Greenwood,6,4,4,3,3,3,3,3,3,3,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
Hinds,6,3,3,3,3,3,4,4,4,4,6,4,4,4,4,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,6,4,4,4,4,4
Pascagoula,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,0,31,31,4,4,3,4,57,57,57,0,3,3,7,7,33,33,35,6,8,0,5,6,54,55,54,7,7,8,8,0,30,31,30,3,22
TOTALS,"23,882","21,409","21,409","21,418","21,443","21,469","21,456","21,465","21,459","21,453","23,882","21,449","21,468","21,522","21,524","21,491","21,484","21,471","21,456","21,460","23,882","21,463","21,433","21,423","21,411","21,406","21,428","21,439","21,468","21,496","23,882","21,521","21,505","21,496","21,533","21,462"
