Location,Capacity_x_x,1-Aug-13,2-Aug-13,3-Aug-13,4-Aug-13,5-Aug-13,6-Aug-13,7-Aug-13,8-Aug-13,9-Aug-13,Capacity_y_x,10-Aug-13,11-Aug-13,12-Aug-13,13-Aug-13,14-Aug-13,15-Aug-13,16-Aug-13,17-Aug-13,18-Aug-13,Capacity_x_y,19-Aug-13,20-Aug-13,21-Aug-13,22-Aug-13,23-Aug-13,24-Aug-13,25-Aug-13,26-Aug-13,27-Aug-13,Capacity_y_y,28-Aug-13,29-Aug-13,30-Aug-13,Unnamed: 5,31-Aug-13 Avg Population
Mississippi State Penitentiary,"4,648","3,388","3,382","3,381","3,379","3,376","3,374","3,383","3,386","3,379","4,648","3,375","3,374","3,382","3,386","3,389","3,386","3,392","3,388","3,386","4,648","3,391","3,395","3,387","3,391","3,387","3,386","3,383","3,383","3,386","4,648","3,370","3,373","3,367","3,362","3,382"
Central Mississippi Correctional Facility,"3,557","3,342","3,346","3,344","3,342","3,349","3,381","3,339","3,313","3,313","3,557","3,314","3,312","3,289","3,296","3,283","3,302","3,311","3,304","3,305","3,557","3,301","3,316","3,306","3,309","3,309","3,305","3,298","3,297","3,336","3,557","3,313","3,323","3,323","3,321","3,317"
Youthful Offender Unit,42,36,36,36,36,36,35,36,36,35,42,35,34,35,35,34,32,32,35,35,42,33,33,33,35,35,35,35,35,35,42,35,34,34,34,35
South Mississippi Correctional Institution,"3,282","3,253","3,233","3,228","3,227","3,218","3,224","3,232","3,236","3,235","3,282","3,232","3,231","3,228","3,234","3,243","3,236","3,227","3,223","3,222","3,282","3,227","3,230","3,236","3,229","3,230","3,231","3,230","3,229","3,227","3,282","3,233","3,234","3,239","3,233","3,231"
County Jails,"1,872","2,199","2,212","2,212","2,212","2,203","2,200","2,201","2,217","2,220","1,872","2,221","2,221","2,252","2,250","2,237","2,231","2,255","2,255","2,252","1,872","2,245","2,242","2,240","2,226","2,230","2,225","2,231","2,235","2,243","1,872","2,266","2,291","2,310","2,310","2,237"
COMMUNITY WORK CENTERS,"1,848","1,464","1,463","1,461","1,461","1,472","1,469","1,461","1,459","1,448","1,848","1,444","1,440","1,454","1,448","1,459","1,446","1,436","1,432","1,435","1,848","1,448","1,438","1,449","1,448","1,427","1,433","1,426","1,441","1,428","1,848","1,441","1,423","1,417","1,410","1,445"
Alcorn Satellite Facility,92,89,89,89,89,89,89,88,91,91,92,90,90,89,91,90,90,90,90,90,92,91,92,92,91,90,90,90,90,88,92,89,88,91,91,90
Bolivar Satellite Facility,102,76,76,76,76,75,75,75,75,75,102,75,75,75,71,70,70,68,68,68,102,66,66,66,66,65,65,65,66,66,102,66,66,65,65,70
Forrest Satellite Facility,96,63,67,67,67,67,66,66,66,66,96,66,66,66,64,64,64,69,69,69,96,71,69,69,69,67,67,67,67,66,96,67,69,72,72,67
George Satellite Facility,102,73,74,73,73,70,70,70,70,68,102,68,66,70,70,72,70,69,69,69,102,70,68,68,69,66,66,66,68,67,102,67,67,67,66,69
Harrison Satellite Facility,102,86,87,87,87,88,89,90,88,86,102,86,86,87,86,86,88,86,86,86,102,88,89,89,90,91,91,91,90,90,102,90,92,93,93,88
Jackson Satellite Facility,102,74,74,74,74,80,80,80,79,78,102,78,78,83,82,82,82,80,78,78,102,79,79,79,81,80,80,80,80,80,102,80,79,77,76,79
Jefferson Satellite Facility,102,64,62,62,62,64,64,61,61,59,102,59,59,59,59,58,58,57,57,57,102,59,58,58,58,57,56,56,57,55,102,66,65,63,62,60
Leflore Satellite Facility,102,74,74,74,74,76,75,73,71,68,102,67,67,69,73,72,72,71,71,71,102,72,72,72,72,70,70,70,72,73,102,73,73,72,71,72
Madison Satellite Facility,102,82,84,84,84,83,85,84,82,81,102,81,81,80,76,76,76,79,79,79,102,78,77,80,80,79,79,79,79,79,102,79,78,73,72,80
Noxubee Satellite Facility,92,75,74,74,74,75,76,77,78,76,92,76,75,77,77,78,78,77,77,77,92,77,77,78,78,75,75,75,77,76,92,76,76,76,76,76
Pike Satellite Facility,93,92,92,92,92,92,92,90,90,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,91,93,92,92,92,91,92
Quitman Satellite Facility,93,93,93,93,93,93,93,93,93,92,93,91,91,91,92,92,92,92,92,92,93,92,81,91,90,84,84,84,89,89,93,88,88,88,88,90
Rankin Satellite Facility,260,233,232,232,232,232,229,234,231,229,260,228,227,231,230,244,233,229,229,232,260,234,239,230,231,231,238,231,233,232,260,234,222,223,222,231
Simpson Satellite Facility,102,101,100,100,100,101,101,100,102,101,102,101,101,100,100,100,100,100,100,100,102,102,102,102,100,99,99,99,100,99,102,98,96,95,95,100
Washington Satellite Facility,102,76,75,74,74,77,77,74,72,72,102,72,72,72,72,71,68,67,66,66,102,65,65,71,70,68,68,68,67,64,102,64,63,64,64,70
Wilkinson Satellite Facility,102,54,50,50,50,51,51,50,50,53,102,53,53,53,53,52,52,52,52,52,102,52,52,52,52,53,53,53,54,54,102,53,51,49,49,52
Yazoo Satellite Facility,102,59,60,60,60,59,57,56,60,60,102,60,60,59,59,59,60,57,56,56,102,59,59,59,58,59,59,59,59,59,102,59,58,57,57,59
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,429","4,434","4,433","4,430","4,421","4,419","4,428","4,426","4,422","4,438","4,418","4,410","4,411","4,423","4,431","4,433","4,433","4,425","4,421","4,438","4,425","4,427","4,424","4,426","4,421","4,419","4,418","4,417","4,414","4,438","4,430","4,434","4,433","4,429","4,425"
Alcorn County,300,300,300,300,299,299,299,297,298,298,300,298,298,297,297,300,300,300,300,300,300,298,297,297,297,294,294,293,293,293,300,300,300,300,299,298
Bolivar County,369,369,368,368,368,367,367,367,369,366,369,366,365,366,367,366,368,369,369,368,369,369,368,367,368,369,369,369,369,369,369,368,370,370,370,368
Carroll County,280,280,280,280,279,278,277,278,279,278,280,277,277,278,279,279,280,280,277,277,280,277,279,279,278,278,278,278,279,278,280,278,280,280,280,279
Chickasaw County,300,300,300,300,300,299,298,300,300,300,300,300,300,300,300,300,300,300,300,298,300,299,299,300,300,300,299,299,300,300,300,299,300,300,299,300
George County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,279,277,277,277,279,280,280,280,279,280,278,279
Holmes County,280,279,280,280,280,279,279,280,279,280,280,280,280,279,280,280,280,280,279,279,280,280,280,280,280,278,277,277,280,280,280,279,280,280,280,279
Issaquena County,274,274,273,273,273,271,274,275,274,273,274,273,272,271,274,274,274,274,274,274,274,273,274,274,274,276,276,276,275,272,274,272,273,274,274,274
Jefferson County,280,273,280,280,280,279,279,281,280,280,280,279,278,279,279,280,279,279,279,279,280,280,280,280,280,280,280,280,279,279,280,279,280,277,277,279
Kemper County,355,355,355,355,355,354,354,355,354,355,355,355,355,355,354,354,355,355,354,354,355,354,354,353,355,355,355,355,354,355,355,355,355,355,355,355
Leake County,280,280,280,280,279,279,278,278,277,278,280,278,278,278,278,279,278,277,274,273,280,279,279,279,279,278,278,278,277,277,280,280,280,280,280,278
Marion County,280,280,279,279,279,279,278,280,279,279,280,279,277,278,280,280,280,280,280,280,280,279,279,280,280,280,280,280,278,278,280,281,281,280,280,279
Stone County,280,280,280,279,279,279,277,277,282,280,280,280,280,278,278,280,280,280,280,280,280,280,280,280,279,280,280,280,279,279,280,280,280,280,280,280
Washington County,300,300,299,299,299,299,299,299,296,296,300,296,295,295,299,300,300,300,300,300,300,300,300,297,298,298,298,298,296,294,300,299,298,300,300,298
Winston County,280,278,279,279,279,278,279,280,279,279,280,278,276,277,277,279,279,279,279,279,280,279,280,278,279,278,278,278,280,280,280,280,279,280,280,279
Yazoo County,300,301,301,301,301,301,301,301,300,300,300,299,299,300,301,300,300,300,300,300,300,299,299,300,300,300,300,300,299,300,300,300,299,297,297,300
PRIVATE PRISONS,"5,972","4,408","4,422","4,421","4,421","4,414","4,413","4,414","4,409","4,389","5,972","4,385","4,383","4,392","4,391","4,395","4,401","4,402","4,398","4,396","5,972","4,393","4,395","4,398","4,398","4,397","4,392","4,390","4,393","4,388","5,972","4,389","4,385","4,391","4,383","4,398"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0
East Mississippi,"1,500","1,191","1,194","1,194","1,194","1,193","1,193","1,198","1,196","1,196","1,500","1,195","1,195","1,193","1,194","1,195","1,197","1,198","1,197","1,196","1,500","1,196","1,195","1,194","1,195","1,195","1,194","1,192","1,194","1,192","1,500","1,195","1,192","1,194","1,193","1,195"
Marshall County,"1,000",997,999,998,998,998,998,998,999,999,"1,000",997,996,996,996,996,"1,000",999,999,999,"1,000",998,998,997,999,998,998,998,998,997,"1,000","1,000",996,"1,000",998,998
Walnut Grove,"1,500","1,320","1,328","1,328","1,328","1,325","1,325","1,322","1,321","1,301","1,500","1,301","1,300","1,307","1,306","1,309","1,307","1,308","1,305","1,305","1,500","1,300","1,304","1,308","1,307","1,309","1,305","1,305","1,306","1,304","1,500","1,301","1,303","1,304","1,303","1,310"
Wilkinson County,"1,000",900,901,901,901,898,897,896,893,893,"1,000",892,892,896,895,895,897,897,897,896,"1,000",899,898,899,897,895,895,895,895,895,"1,000",893,894,893,889,896
RESTITUTION CENTERS,16,14,12,12,12,12,12,12,12,12,16,12,12,12,13,13,14,13,13,13,16,14,14,14,14,14,14,14,13,13,16,13,11,11,11,13
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,4,4,6,4,4,4,4,5
Hinds,6,5,3,3,3,3,3,3,3,3,6,3,3,3,4,4,5,4,4,4,6,5,5,5,5,5,5,5,5,5,6,5,3,3,3,4
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GOVERNOR'S MANSION    (CLOSED),6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
E-CODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"25,681","22,533","22,540","22,528","22,520","22,501","22,527","22,506","22,494","22,453","25,681","22,436","22,417","22,455","22,476","22,484","22,481","22,501","22,473","22,465","25,681","22,477","22,490","22,487","22,476","22,450","22,440","22,425","22,443","22,470","25,681","22,490","22,508","22,525","22,493","22,483"
