Location,Capacity_x_x,1-Jun-16,2-Jun-16,3-Jun-16,4-Jun-16,5-Jun-16,6-Jun-16,7-Jun-16,8-Jun-16,9-Jun-16,Capacity_y_x,10-Jun-16,11-Jun-16,12-Jun-16,13-Jun-16,14-Jun-16,15-Jun-16,16-Jun-16,17-Jun-16,18-Jun-16,Capacity_x_y,19-Jun-16,20-Jun-16,21-Jun-16,22-Jun-16,23-Jun-16,24-Jun-16,25-Jun-16,26-Jun-16,27-Jun-16,Capacity_y_y,28-Jun-16,29-Jun-16,30-Jun-16,Avg Population
Mississippi State Penitentiary,"3,590","3,390","3,389","3,391","3,391","3,391","3,388","3,394","3,367","3,378","3,590","3,397","3,396","3,392","3,388","3,374","3,379","3,366","3,361","3,361","3,590","3,361","3,362","3,352","3,357","3,378","3,381","3,380","3,379","3,385","3,590","3,381","3,380","3,380","3,379"
Central Mississippi Correctional Facility,"3,506","2,976","2,979","2,959","2,957","2,956","2,961","2,984","3,016","3,008","3,506","2,998","2,999","2,999","3,021","3,000","3,031","3,028","3,063","3,063","3,506","3,062","3,115","3,124","3,118","3,084","3,084","3,082","3,081","3,075","3,506","3,090","3,082","3,082","3,036"
Youthful Offender Unit,58,32,32,32,32,32,32,32,32,32,58,32,32,32,31,31,31,31,33,33,58,33,33,34,34,34,34,33,33,33,58,33,33,33,32
CMCF TVC,,4,4,5,5,5,5,5,6,6,,9,9,9,6,6,6,6,8,8,,9,8,8,9,7,12,12,12,12,,13,13,13,8
South Mississippi Correctional Institution,"3,082","2,998","2,998","2,993","2,994","2,994","3,001","3,000","2,993","2,990","3,082","3,003","3,002","3,001","3,001","3,001","3,001","3,001","2,999","3,000","3,082","3,000","2,998","3,001","3,001","2,996","2,987","2,986","2,984","2,990","3,082","2,990","2,997","2,997","2,997"
County Jails,"1,986","1,503","1,542","1,556","1,556","1,556","1,562","1,570","1,546","1,536","1,986","1,517","1,517","1,517","1,546","1,564","1,560","1,545","1,518","1,518","1,986","1,518","1,515","1,491","1,485","1,524","1,531","1,531","1,531","1,572","1,986","1,563","1,538","1,538","1,536"
COMMUNITY WORK CENTERS,"1,848","1,179","1,175","1,169","1,163","1,160","1,182","1,174","1,169","1,165","1,848","1,153","1,152","1,151","1,171","1,165","1,152","1,152","1,110","1,108","1,848","1,102","1,132","1,131","1,149","1,154","1,134","1,130","1,127","1,149","1,848","1,140","1,131","1,131","1,149"
Alcorn Satellite Facility,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
Bolivar Satellite Facility,102,22,22,21,21,21,22,22,22,22,102,22,22,22,22,22,22,22,21,21,102,21,21,19,19,19,19,18,18,18,102,17,16,16,20
Forrest Satellite Facility,96,76,76,73,73,73,75,75,75,73,96,72,72,72,73,73,72,72,68,68,96,68,71,71,70,70,69,69,69,69,96,69,68,68,71
George Satellite Facility,102,91,91,90,89,89,92,92,91,90,102,88,88,88,90,89,88,88,86,86,102,86,87,87,87,87,86,86,86,93,102,93,93,93,89
Harrison Satellite Facility,102,76,75,72,72,71,74,74,76,75,102,76,76,75,78,78,78,78,69,67,102,67,75,75,74,73,74,74,74,73,102,72,72,72,74
Jackson Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
Jefferson Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
Leflore TVC,82,79,79,81,79,79,79,75,72,72,82,72,72,72,75,74,68,69,69,69,82,67,65,65,72,72,72,71,71,71,82,70,66,66,72
Leflore TVC Support,20,19,19,17,17,17,19,19,19,19,20,18,18,18,18,18,18,17,17,17,20,17,18,19,19,19,17,17,17,17,20,17,16,16,18
Madison Satellite Facility,102,99,98,98,98,97,97,101,100,101,102,98,98,98,100,100,100,100,94,94,102,94,96,92,97,96,95,95,95,96,102,95,94,94,97
Noxubee Satellite Facility,92,88,88,85,85,85,88,88,88,87,92,90,90,90,91,91,91,91,84,84,92,84,91,91,90,90,86,86,86,90,92,89,89,89,88
Pike Satellite Facility,93,90,90,89,89,89,90,89,88,90,93,86,86,86,88,88,88,88,86,86,93,86,89,89,88,90,88,87,87,91,93,90,90,90,88
Quitman Satellite Facility,93,87,88,85,85,85,88,86,80,79,93,84,84,84,84,86,86,86,86,86,93,86,85,84,83,83,81,81,81,81,93,81,84,84,84
Rankin Satellite Facility,260,170,169,169,169,169,170,169,164,169,260,164,164,164,167,167,167,167,163,163,260,162,165,171,171,172,166,166,165,173,260,172,170,170,168
Flowood TVC,,34,34,37,37,37,36,34,34,31,,30,29,29,32,32,31,30,28,28,,27,30,30,29,29,28,28,28,28,,27,26,26,31
Simpson TVC,82,73,73,78,76,75,75,73,74,72,82,70,70,70,69,65,61,60,60,60,82,58,57,57,70,70,70,69,67,67,82,65,65,65,68
Simpson TVC Support,20,15,15,15,15,15,15,15,15,15,20,16,16,16,16,16,16,16,13,13,20,13,16,15,15,15,14,14,14,15,20,15,15,15,15
Washington Satellite Facility,102,95,93,95,94,94,97,97,101,101,102,99,99,99,100,100,100,102,100,100,102,100,100,101,100,99,99,99,99,97,102,96,97,97,98
