Location,Capacity_x,1-Sep-03,2-Sep-03,3-Sep-03,4-Sep-03,5-Sep-03,6-Sep-03,7-Sep-03,8-Sep-03,9-Sep-03,10-Sep-03,11-Sep-03,12-Sep-03,13-Sep-03,Capacity_y,14-Sep-03,15-Sep-03,16-Sep-03,17-Sep-03,18-Sep-03,19-Sep-03,20-Sep-03,21-Sep-03,22-Sep-03,23-Sep-03,24-Sep-03,25-Sep-03,26-Sep-03,Capacity,27-Sep-03,28-Sep-03,29-Sep-03,30-Sep-03
Stone County,250,235,234,230,234,234,234,233,233,233,234,233,234,234,250,234,233,231,229,232,232,231,231,235,234,234,235,234,250,234,234,235,236
Winston County,250,235,235,235,235,235,235,235,235,235,235,235,234,234,250,234,234,234,235,235,235,235,235,235,235,235,235,234,250,234,234,234,234
PRIVATE PRISONS,"3,750","3,462","3,459","3,457","3,448","3,462","3,462","3,462","3,459","3,459","3,458","3,457","3,450","3,448","3,750","3,447","3,442","3,440","3,443","3,446","3,452","3,452","3,448","3,447","3,445","3,443","3,448","3,463","3,750","3,462","3,462","3,457","3,464"
East MS,"1,000",732,731,731,729,728,728,728,730,730,728,727,726,725,"1,000",724,724,724,724,723,723,723,723,722,721,721,720,730,"1,000",729,729,729,729
Marshall County,"1,000",991,991,988,985,996,996,996,994,992,996,996,995,995,"1,000",995,992,988,992,992,992,992,991,989,989,988,995,993,"1,000",993,993,992,992
Walnut Grove,750,745,744,747,743,744,744,744,743,745,741,741,735,735,750,735,734,738,738,737,743,743,742,742,741,740,739,745,750,745,745,741,748
Wilkinson County,"1,000",994,993,991,991,994,994,994,992,992,993,993,994,993,"1,000",993,992,990,989,994,994,994,992,994,994,994,994,995,"1,000",995,995,995,995
RESITITUTION CENTERS,24,19,19,19,19,19,19,19,18,18,17,17,17,17,24,17,17,17,16,16,14,14,14,16,16,16,16,16,24,16,16,15,15
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6
Hinds,12,11,11,11,11,11,11,11,10,10,9,9,9,9,12,9,9,9,9,9,9,9,9,9,9,9,9,9,12,9,9,8,8
Pascagoula,6,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6
E-CODE,,4,7,4,4,32,33,33,4,4,6,5,44,42,,41,3,6,7,7,67,67,65,6,6,5,5,47,,52,52,3,4
TOTALS,"21,737","20,448","20,452","20,463","20,492","20,486","20,483","20,476","20,452","20,502","20,522","20,533","20,509","20,501","21,737","20,497","20,479","20,406","20,420","20,416","20,433","20,429","20,424","20,406","20,405","20,426","20,446","20,459","21,737","20,458","20,454","20,431","20,452"
