Location,Capacity_x,1-Mar-04,2-Mar-04,3-Mar-04,4-Mar-04,5-Mar-04,6-Mar-04,7-Mar-04,8-Mar-04,9-Mar-04,10-Mar-04,11-Mar-04,12-Mar-04,13-Mar-04,Capacity_y,14-Mar-04,15-Mar-04,16-Mar-04,17-Mar-04,18-Mar-04,19-Mar-04,20-Mar-04,21-Mar-04,22-Mar-04,23-Mar-04,24-Mar-04,25-Mar-04,26-Mar-04,Capacity,27-Mar-04,28-Mar-04,29-Mar-04,30-Mar-04,31-Mar-04
MS STATE PENITENTIARY,"5,768","5,669","5,665","5,658","5,662","5,658","5,656","5,655","5,671","5,661","5,706","5,696","5,707","5,708","5,768","5,706","5,695","5,718","5,713","5,724","5,737","5,734","5,734","5,744","5,755","5,737","5,748","5,739","5,768","5,736","5,733","5,727","5,731","5,707"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,175","3,213","3,231","3,255","3,283","3,278","3,280","3,283","3,305","3,252","3,253","3,244","3,243","3,233","3,244","3,240","3,232","3,246","3,251","3,226","3,222","3,223","3,240","3,232","3,250","3,264","3,264","3,233","3,266","3,265","3,259","3,247","3,250"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,087","2,108","2,104","2,104","2,052","2,053","2,051","2,037","2,025","2,027","2,024","2,023","2,023","2,214","2,022","2,044","2,045","2,067","2,065","2,061","2,061","2,061","2,062","2,059","2,075","2,071","2,086","2,214","2,087","2,087","2,110","2,104","2,102"
COUNTY JAILS,"2,176","2,191","2,171","2,174","2,142","2,161","2,161","2,161","2,164","2,135","2,136","2,146","2,136","2,136","2,176","2,136","2,153","2,151","2,143","2,152","2,165","2,165","2,165","2,150","2,153","2,163","2,152","2,143","2,176","2,143","2,143","2,146","2,141","2,148"
COMMUNITY WORK CENTERS,"1,816","1,602","1,601","1,610","1,602","1,551","1,552","1,554","1,595","1,606","1,606","1,612","1,571","1,571","1,816","1,568","1,604","1,607","1,616","1,623","1,562","1,561","1,562","1,621","1,621","1,620","1,616","1,605","1,816","1,603","1,602","1,634","1,629","1,640"
Alcorn Satellite Facility,92,90,90,92,90,86,86,86,90,90,90,90,87,87,92,87,92,91,91,91,90,90,90,92,92,92,92,92,92,92,92,92,91,89
Bolivar Satellite Facility,102,95,95,96,97,97,97,97,97,97,97,98,96,96,102,96,98,100,102,102,92,92,92,100,101,101,102,99,102,99,99,101,102,101
Forrest Satellite Facility,96,90,90,90,90,89,89,89,90,95,94,95,94,94,96,93,93,93,93,93,93,92,92,95,95,95,96,95,96,95,95,96,96,93
George Satellite Facility,102,70,70,70,70,66,65,65,67,67,67,66,66,66,102,66,70,70,69,69,67,67,67,68,68,68,67,71,102,71,71,71,69,77
Harrison Satellite Facility,102,91,91,89,89,86,86,86,91,94,94,94,92,92,102,92,93,92,91,92,91,91,91,93,93,91,91,91,102,91,91,91,91,91
Jackson Satellite Facility,102,73,73,73,73,69,69,70,73,74,74,74,72,72,102,72,74,74,74,74,74,74,74,74,74,74,74,78,102,78,78,78,78,82
Jefferson Satellite Facility,102,78,78,78,77,73,73,73,77,77,77,77,77,77,102,77,78,78,82,82,79,79,79,82,83,83,82,81,102,81,80,90,90,91
Leflore Satellite Facility,102,100,98,102,101,99,99,99,99,99,99,102,100,100,102,100,101,102,101,101,94,94,94,100,102,101,101,100,102,100,100,102,101,100
Madison Satellite Facility,102,101,101,101,101,102,102,102,101,101,101,100,99,99,102,99,101,101,101,101,98,98,98,100,98,102,102,99,102,99,99,102,102,102
Noxubee Satellite Facility,92,91,91,92,90,85,85,85,89,91,91,90,90,90,92,90,89,89,92,92,86,86,86,92,92,92,92,86,92,86,86,91,91,91
Pike Satellite Facility,93,56,56,56,58,55,55,55,58,59,58,58,57,57,93,57,58,58,59,59,55,55,55,59,58,58,58,56,93,56,56,57,56,58
Quitman Satellite Facility,93,82,82,87,86,85,85,85,85,85,85,85,82,82,93,82,83,83,80,80,79,79,79,80,79,79,79,77,93,77,77,79,80,78
Rankin Satellite Facility,228,212,213,212,210,202,202,202,213,210,208,208,198,198,228,198,206,206,207,206,198,198,199,203,210,210,207,207,228,207,207,207,202,207
Simpson Satellite Facility,102,99,99,98,98,94,96,96,98,100,98,101,98,98,102,98,100,100,101,101,91,91,91,100,98,97,97,97,102,97,97,101,101,101
Washington Satellite Facility,102,101,101,101,97,90,91,92,93,93,99,99,95,95,102,95,96,98,101,101,99,99,99,101,99,99,96,95,102,95,95,97,100,101
Wilkinson Satellite Facility,102,74,74,74,74,72,72,72,73,73,73,73,73,73,102,73,73,73,73,81,77,77,77,80,78,78,78,79,102,79,79,79,79,79
Yazoo Satellite Facility,102,99,99,99,101,101,100,100,101,101,101,102,95,95,102,93,99,99,99,98,99,99,99,102,101,100,102,102,102,100,100,100,100,99
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,743","2,743","2,733","2,729","2,742","2,742","2,740","2,739","2,742","2,731","2,735","2,745","2,744","2,750","2,743","2,742","2,741","2,738","2,741","2,744","2,744","2,744","2,743","2,748","2,744","2,740","2,742","2,750","2,740","2,738","2,742","2,743","2,741"
Bolivar County,250,250,250,248,245,250,250,250,250,250,250,249,249,249,250,249,248,247,246,245,249,249,249,249,251,249,248,249,250,249,249,248,249,249
