Location,Capacity_x,1-Apr-05,2-Apr-05,3-Apr-05,4-Apr-05,5-Apr-05,6-Apr-05,7-Apr-05,8-Apr-05,9-Apr-05,10-Apr-05,11-Apr-05,12-Apr-05,13-Apr-05,Capacity_y,14-Apr-05,15-Apr-05,16-Apr-05,17-Apr-05,18-Apr-05,19-Apr-05,20-Apr-05,21-Apr-05,22-Apr-05,23-Apr-05,24-Apr-05,25-Apr-05,26-Apr-05,Capacity,27-Apr-05,28-Apr-05,29-Apr-05,30-Apr-05
Mississippi State Penitentiary,"4,792","4,545","4,539","4,536","4,537","4,545","4,564","4,551","4,558","4,550","4,551","4,543","4,574","4,561","4,792","4,576","4,577","4,571","4,571","4,567","4,591","4,587","4,586","4,609","4,608","4,607","4,603","4,599","4,792","4,623","4,618","4,600","4,596"
Central Mississippi Correctional Facility,"3,233","3,047","3,046","3,044","3,060","3,046","3,023","3,033","3,015","3,014","3,010","3,008","2,984","2,951","3,233","2,935","2,950","2,950","2,949","2,956","2,953","2,934","2,955","2,941","2,939","2,937","2,940","2,965","3,233","2,960","2,958","2,962","2,957"
South Mississippi Correctional Institution,"2,214","2,177","2,177","2,176","2,180","2,178","2,173","2,168","2,170","2,170","2,169","2,156","2,128","2,152","2,214","2,155","2,153","2,151","2,151","2,170","2,165","2,173","2,170","2,167","2,162","2,162","2,156","2,158","2,214","2,150","2,167","2,164","2,163"
County Jails,"2,327","1,751","1,751","1,751","1,752","1,765","1,783","1,770","1,781","1,781","1,781","1,764","1,791","1,797","2,327","1,819","1,807","1,807","1,807","1,780","1,781","1,802","1,814","1,804","1,804","1,804","1,803","1,791","2,327","1,793","1,787","1,804","1,804"
COMMUNITY WORK CENTERS,"1,816","1,731","1,730","1,728","1,749","1,745","1,745","1,746","1,715","1,710","1,708","1,757","1,761","1,776","1,816","1,776","1,746","1,743","1,742","1,759","1,767","1,775","1,772","1,744","1,740","1,735","1,755","1,748","1,816","1,730","1,731","1,706","1,698"
Alcorn Satellite Facility,92,89,88,87,90,91,92,90,87,86,86,88,88,92,92,92,91,91,90,91,92,92,92,90,90,90,92,92,92,91,88,86,86
Bolivar Satellite Facility,102,98,98,98,97,96,96,101,98,98,98,101,101,100,102,100,97,96,96,97,100,100,100,100,100,100,100,100,102,98,98,96,96
Forrest Satellite Facility,96,91,91,91,91,96,94,94,95,95,94,94,93,95,96,93,92,92,92,92,92,91,93,90,90,88,90,88,96,88,96,96,96
George Satellite Facility,102,95,95,95,101,101,101,99,100,99,99,99,98,99,102,99,99,99,99,99,99,99,98,97,97,97,98,98,102,97,97,89,88
Harrison Satellite Facility,102,101,101,101,102,102,99,99,97,97,97,98,99,98,102,98,97,97,97,96,95,102,102,99,99,99,99,97,102,97,96,95,95
Jackson Satellite Facility,102,95,95,95,94,93,93,92,88,88,88,98,97,96,102,96,93,92,93,95,94,99,99,98,98,98,98,98,102,97,96,95,94
Jefferson Satellite Facility,102,96,97,97,98,98,102,102,101,101,101,102,102,102,102,102,100,100,100,102,102,100,99,98,98,98,98,96,102,94,94,95,95
Leflore Satellite Facility,102,101,101,100,101,101,102,101,101,101,101,102,102,102,102,102,100,100,99,101,101,102,102,99,99,97,99,98,102,96,96,94,92
Madison Satellite Facility,102,97,97,97,99,99,99,102,99,99,99,100,100,101,102,102,101,101,101,102,102,101,102,101,101,101,102,102,102,102,101,100,100
Noxubee Satellite Facility,92,90,90,90,92,92,92,91,90,90,90,92,91,91,92,92,92,92,92,92,92,91,91,90,90,90,91,91,92,88,88,87,85
Pike Satellite Facility,93,86,86,86,87,87,87,86,85,84,83,84,93,93,93,93,93,92,92,92,92,92,92,90,89,89,89,89,93,87,87,86,86
Quitman Satellite Facility,93,90,90,90,90,90,91,92,91,91,91,92,91,92,93,92,90,90,90,92,92,92,90,85,82,82,85,85,93,86,88,86,86
Rankin Satellite Facility,228,214,214,214,216,217,216,214,207,205,205,215,215,214,228,215,211,211,211,214,213,212,211,210,210,209,209,210,228,208,206,207,206
Simpson Satellite Facility,102,96,95,95,97,93,93,93,87,87,87,93,92,102,102,101,99,99,99,100,100,101,101,100,100,100,101,99,102,99,99,99,99
Washington Satellite Facility,102,96,96,96,96,93,93,96,97,97,97,102,102,102,102,102,99,99,99,101,101,101,101,98,98,98,101,101,102,99,99,97,96
Wilkinson Satellite Facility,102,94,94,94,96,95,94,94,94,94,94,95,95,95,102,95,93,93,93,93,101,101,101,99,99,99,101,102,102,101,101,101,101
Yazoo Satellite Facility,102,102,102,102,102,101,101,100,98,98,98,102,102,102,102,102,99,99,99,100,99,99,98,100,100,100,102,102,102,102,101,97,97
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,743","2,741","2,739","2,735","2,743","2,745","2,745","2,747","2,745","2,742","2,741","2,740","2,747","2,750","2,746","2,744","2,743","2,743","2,740","2,739","2,746","2,748","2,742","2,740","2,735","2,732","2,728","2,750","2,740","2,738","2,743","2,736"
Bolivar County,250,249,247,247,247,250,249,250,250,250,250,249,249,250,250,249,250,250,250,248,248,250,250,247,246,246,246,246,250,250,249,249,248
Carroll County,250,249,249,249,250,250,249,249,250,250,250,250,249,250,250,250,249,249,249,249,249,248,248,250,250,250,250,250,250,250,250,250,249
George County,250,250,250,249,250,250,250,250,250,250,250,249,248,249,250,250,250,250,250,250,250,249,249,250,250,249,249,248,250,248,248,249,248
Holmes County,250,250,250,250,250,249,249,250,250,250,249,249,249,250,250,250,250,250,250,249,248,249,249,250,249,248,247,247,250,247,247,250,250
Issaquena County,250,248,248,248,245,245,250,249,249,248,248,247,247,249,250,249,248,248,248,248,248,253,252,249,249,247,247,245,250,245,246,249,249
Jefferson County,250,250,250,250,250,250,250,250,249,248,248,249,249,250,250,250,250,250,250,250,250,250,250,248,248,248,247,248,250,250,250,250,248
Kemper County,250,250,250,249,249,250,250,250,250,250,250,250,249,250,250,249,249,248,248,249,248,250,250,249,249,249,249,249,250,250,250,250,250
Leake County,250,250,250,250,250,249,250,250,250,250,249,249,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,249,250,250,250,250,249
Marion County,250,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,250,250,250,250,249,248,250,250,249,248,248
Stone County,250,248,248,248,245,250,248,247,249,249,249,249,250,249,250,249,249,249,249,249,250,250,250,249,249,248,248,248,250,250,249,248,247
Winston County,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,249,249,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250
PRIVATE PRISONS,"5,088","4,755","4,755","4,752","4,748","4,765","4,767","4,761","4,760","4,760","4,759","4,776","4,789","4,789","5,088","4,790","4,780","4,780","4,779","4,788","4,785","4,786","4,789","4,795","4,789","4,783","4,779","4,781","5,088","4,774","4,781","4,784","4,780"
Delta,960,958,958,957,957,957,958,959,956,956,956,956,954,959,960,960,955,955,955,956,960,958,956,959,957,956,956,956,960,953,958,957,956
East Mississippi,"1,000",868,869,868,868,867,874,874,873,873,873,873,872,869,"1,000",868,868,868,868,867,874,874,874,875,871,870,869,872,"1,000",871,871,869,866
Marshall County,"1,000",993,992,992,990,995,994,994,994,994,993,990,995,995,"1,000",995,995,995,994,994,994,992,993,995,995,993,992,992,"1,000",995,994,995,995
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",844,844,843,843,848,843,839,845,845,845,854,857,859,"1,000",860,855,855,855,858,846,846,850,851,851,850,849,849,"1,000",847,850,854,854
Wilkinson County,"1,000",964,964,964,962,970,970,967,964,964,964,975,983,979,"1,000",979,979,979,979,985,983,988,988,987,987,986,985,984,"1,000",980,980,981,981
RESTITUTION CENTERS,18,12,12,12,12,12,12,12,12,12,12,12,12,13,18,13,13,13,13,14,14,14,14,13,13,13,14,13,18,13,12,12,12
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5
Hinds,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,5,5,5,5,5,5,5,4,4,4,5,4,6,4,4,4,4
Pascagoula,6,2,2,2,2,2,2,2,2,2,2,2,2,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,26,24,25,5,6,7,7,36,36,37,8,9,7,,11,30,30,29,7,8,8,8,33,33,0,6,6,,7,6,27,29
TOTALS,"22,244","20,792","20,780","20,768","20,783","20,810","20,824","20,798","20,799","20,783","20,774","20,770","20,793","20,798","22,244","20,826","20,805","20,793","20,789","20,786","20,808","20,830","20,861","20,853","20,833","20,781","20,793","20,794","22,244","20,795","20,803","20,807","20,780"
