Location,Capacity_x_x,1-Dec-06,2-Dec-06,3-Dec-06,4-Dec-06,5-Dec-06,6-Dec-06,7-Dec-06,8-Dec-06,9-Dec-06,Capacity_y_x,10-Dec-06,11-Dec-06,12-Dec-06,13-Dec-06,14-Dec-06,15-Dec-06,16-Dec-06,17-Dec-06,18-Dec-06,Capacity_x_y,19-Dec-06,20-Dec-06,21-Dec-06,22-Dec-06,23-Dec-06,24-Dec-06,25-Dec-06,26-Dec-06,27-Dec-06,Capacity_y_y,28-Dec-06,29-Dec-06,30-Dec-06,31-Dec-06
Leake County,280,280,280,280,280,280,279,280,280,279,280,279,280,280,279,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,279,280,280,280
Marion County,280,280,280,280,280,280,280,279,279,279,280,279,280,280,280,280,280,280,278,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280
Stone County,280,280,280,280,280,280,280,279,279,279,280,279,279,279,278,279,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Winston County,280,280,280,280,280,280,279,279,280,280,280,280,280,280,279,280,280,279,279,279,280,280,280,280,279,279,279,278,278,280,280,280,280,280,280
PRIVATE PRISONS,"5,100","4,845","4,844","4,842","4,851","4,849","4,859","4,858","4,871","4,869","5,100","4,867","4,866","4,867","4,870","4,868","4,873","4,871","4,868","4,870","5,100","4,875","4,876","4,867","4,868","4,867","4,865","4,865","4,865","4,863","5,100","4,867","4,860","4,856","4,851"
Delta,972,966,965,965,964,964,971,971,970,970,972,970,969,970,969,969,969,968,968,970,972,972,972,971,970,970,970,970,970,972,972,972,971,969,969
East Mississippi,"1,000",860,860,860,860,860,862,861,861,859,"1,000",858,858,860,858,857,857,857,857,857,"1,000",857,857,857,857,857,857,857,857,855,"1,000",857,856,857,857
Marshall County,"1,000",995,995,994,994,995,995,995,995,995,"1,000",995,994,995,994,994,994,994,993,994,"1,000",994,995,994,994,993,991,991,991,990,"1,000",990,989,989,989
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",943,943,942,949,947,946,947,948,948,"1,000",948,949,947,954,953,953,953,953,952,"1,000",955,955,948,952,952,952,952,952,951,"1,000",952,951,950,948
Wilkinson County,"1,000",953,953,953,956,955,957,956,969,969,"1,000",968,968,967,967,967,972,971,969,969,"1,000",969,969,969,967,967,967,967,967,967,"1,000",968,965,963,960
RESTITUTION CENTERS,16,13,13,13,13,12,12,12,12,12,16,12,12,12,13,13,13,13,13,13,16,13,13,13,13,13,13,13,13,13,16,13,13,13,13
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4
Hinds,6,6,6,6,6,5,5,5,5,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,5,5,4,4,8,9,6,3,4,,2,2,3,3,5,3,4,4,5,,2,4,3,3,2,3,3,2,3,,3,5,4,3
TOTALS,"22,116","21,669","21,662","21,652","21,669","21,695","21,721","21,731","21,746","21,738","22,116","21,730","21,755","21,804","21,783","21,776","21,736","21,716","21,702","21,707","22,116","21,726","21,742","21,725","21,701","21,683","21,670","21,662","21,651","21,654","22,116","21,722","21,735","21,714","21,699"
