Location,Capacity_x,1-Dec-03,2-Dec-03,3-Dec-03,4-Dec-03,5-Dec-03,6-Dec-03,7-Dec-03,8-Dec-03,9-Dec-03,10-Dec-03,11-Dec-03,12-Dec-03,13-Dec-03,Capacity_y,14-Dec-03,15-Dec-03,16-Dec-03,17-Dec-03,18-Dec-03,19-Dec-03,20-Dec-03,21-Dec-03,22-Dec-03,23-Dec-03,24-Dec-03,25-Dec-03,26-Dec-03,Capacity,27-Dec-03,28-Dec-03,29-Dec-03,30-Dec-03,31-Dec-03
MS STATE PENITENTIARY,"5,768","5,634","5,639","5,638","5,637","5,635","5,635","5,637","5,622","5,631","5,625","5,633","5,646","5,645","5,768","5,642","5,637","5,650","5,622","5,630","5,626","5,625","5,624","5,625","5,640","5,636","5,635","5,635","5,768","5,634","5,634","5,622","5,646","5,639"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,105","3,098","3,097","3,075","3,092","3,093","3,091","3,068","3,054","3,064","3,058","3,064","3,064","3,233","3,063","3,051","3,056","3,089","3,118","3,130","3,134","3,133","3,158","3,164","3,171","3,171","3,171","3,233","3,172","3,171","3,166","3,170","3,139"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,115","2,108","2,116","2,109","2,106","2,106","2,106","2,124","2,124","2,146","2,145","2,145","2,144","2,214","2,143","2,136","2,146","2,139","2,133","2,106","2,107","2,108","2,098","2,101","2,102","2,102","2,101","2,214","2,101","2,101","2,111","2,106","2,117"
COUNTY JAILS,"2,176","1,965","1,981","1,979","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","2,176","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997","2,176","1,997","1,997","1,997","1,997","1,997"
COMMUNITY WORK CENTERS,"1,816","1,480","1,487","1,493","1,512","1,516","1,516","1,514","1,511","1,525","1,523","1,520","1,514","1,512","1,816","1,511","1,506","1,517","1,537","1,537","1,535","1,532","1,531","1,521","1,525","1,519","1,519","1,519","1,816","1,519","1,519","1,511","1,511","1,515"
Alcorn Satellite Facility,92,88,92,92,92,92,92,92,92,92,92,92,92,92,92,92,91,92,92,92,92,92,92,91,91,91,91,91,92,91,91,92,92,92
Bolivar Satellite Facility,102,69,70,70,70,75,75,75,75,77,77,77,77,77,102,77,73,73,80,80,81,80,80,78,78,78,78,78,102,78,78,78,77,77
Forrest Satellite Facility,96,92,92,92,94,95,95,95,95,95,96,96,95,95,96,95,95,95,95,95,95,95,95,96,95,94,94,94,96,94,94,93,93,93
George Satellite Facility,102,70,69,69,68,68,68,68,68,68,68,68,68,68,102,68,67,67,66,66,65,65,65,65,65,65,65,65,102,65,65,65,65,65
Harrison Satellite Facility,102,63,62,63,66,65,65,65,64,63,63,63,63,63,102,63,63,67,67,67,67,67,67,66,65,65,65,65,102,65,65,64,63,66
