Location,Capacity_x_x,1-Apr-09,2-Apr-09,3-Apr-09,4-Apr-09,5-Apr-09,6-Apr-09,7-Apr-09,8-Apr-09,9-Apr-09,Capacity_y_x,10-Apr-09,11-Apr-09,12-Apr-09,13-Apr-09,14-Apr-09,15-Apr-09,16-Apr-09,17-Apr-09,18-Apr-09,Capacity_x_y,19-Apr-09,20-Apr-09,21-Apr-09,22-Apr-09,23-Apr-09,24-Apr-09,25-Apr-09,26-Apr-09,27-Apr-09,Capacity_y_y,28-Apr-09,29-Apr-09,30-Apr-09,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,627","4,099","4,100","4,106","4,105","4,105","4,116","4,105","4,117","4,123","4,627","4,130","4,125","4,123","4,118","4,124","4,118","4,116","4,120","4,117","4,627","4,116","4,126","4,117","4,113","4,112","4,126","4,123","4,120","4,115","4,627","4,108","4,106","4,097",,"4,115"
Central Mississippi Correctional Facility,"3,665","3,539","3,553","3,536","3,536","3,535","3,524","3,502","3,502","3,484","3,665","3,478","3,478","3,479","3,476","3,488","3,506","3,496","3,518","3,519","3,665","3,520","3,529","3,538","3,515","3,489","3,453","3,454","3,452","3,450","3,665","3,445","3,425","3,431",,"3,495"
South Mississippi Correctional Institution,"3,204","3,090","3,081","3,091","3,089","3,089","3,105","3,094","3,092","3,104","3,204","3,105","3,100","3,101","3,110","3,103","3,113","3,110","3,116","3,109","3,204","3,108","3,107","3,107","3,112","3,120","3,093","3,092","3,090","3,092","3,204","3,103","3,102","3,098",,"3,101"
County Jails,"1,767","1,684","1,688","1,703","1,703","1,703","1,680","1,685","1,683","1,697","1,767","1,704","1,704","1,704","1,709","1,697","1,690","1,676","1,689","1,689","1,767","1,689","1,663","1,646","1,672","1,738","1,762","1,762","1,762","1,764","1,767","1,767","1,772","1,772",,"1,709"
COMMUNITY WORK CENTERS,"1,848","1,706","1,706","1,696","1,693","1,694","1,709","1,705","1,706","1,695","1,848","1,676","1,674","1,674","1,696","1,681","1,679","1,688","1,658","1,656","1,848","1,657","1,660","1,653","1,652","1,649","1,639","1,633","1,633","1,647","1,848","1,625","1,655","1,669",,"1,672"
Alcorn Satellite Facility,92,84,84,82,82,82,83,87,87,87,92,86,86,86,86,85,85,85,85,85,92,85,85,85,85,84,84,83,83,83,92,82,83,83,,84
Bolivar Satellite Facility,102,91,91,90,90,90,91,89,89,89,102,93,93,93,94,94,94,98,97,97,102,97,97,97,97,97,93,93,93,96,102,95,94,94,,94
Forrest Satellite Facility,96,86,86,82,82,82,84,78,79,79,96,76,76,76,78,77,77,82,81,81,96,81,81,80,80,80,78,78,78,79,96,78,82,81,,80
George Satellite Facility,102,95,94,93,93,93,92,92,92,91,102,87,87,87,91,90,89,89,88,87,102,88,89,89,90,90,88,88,88,90,102,87,89,89,,90
Harrison Satellite Facility,102,96,95,95,95,95,96,95,95,95,102,92,92,92,93,91,91,91,88,87,102,87,88,89,89,89,88,88,88,89,102,89,89,88,,91
