Location,Capacity_x,1-Oct-05,2-Oct-05,3-Oct-05,4-Oct-05,5-Oct-05,6-Oct-05,7-Oct-05,8-Oct-05,9-Oct-05,10-Oct-05,11-Oct-05,12-Oct-05,13-Oct-05,Capacity_y,14-Oct-05,15-Oct-05,16-Oct-05,17-Oct-05,18-Oct-05,19-Oct-05,20-Oct-05,21-Oct-05,22-Oct-05,23-Oct-05,24-Oct-05,25-Oct-05,26-Oct-05,Capacity,27-Oct-05,28-Oct-05,29-Oct-05,30-Oct-05,31-Oct-05
Jackson Satellite Facility,102,91,91,93,92,91,91,85,85,84,89,87,87,87,102,85,85,85,86,86,86,84,80,80,80,82,82,81,102,81,76,75,75,79
Jefferson Satellite Facility,102,78,78,88,86,85,84,77,77,77,83,83,82,81,102,75,75,75,78,78,78,77,74,74,74,75,75,75,102,75,72,72,72,75
Leflore Satellite Facility,102,98,98,99,99,99,99,92,92,91,99,98,98,99,102,93,93,93,98,102,102,102,99,99,99,102,102,102,102,102,95,95,95,101
Madison Satellite Facility,102,87,86,87,86,84,88,83,83,84,87,96,94,95,102,93,93,93,95,97,96,96,93,93,93,102,102,102,102,101,102,102,102,102
Noxubee Satellite Facility,92,81,82,83,88,88,87,80,80,80,87,87,87,90,92,89,89,89,91,91,91,91,90,91,91,91,90,89,92,89,87,87,87,88
Pike Satellite Facility,93,74,72,73,73,70,69,67,67,67,69,69,69,69,93,66,66,66,70,68,67,67,65,65,65,66,67,71,93,71,69,69,69,77
Quitman Satellite Facility,93,81,81,84,83,83,81,77,77,77,82,82,81,81,93,76,76,76,81,81,81,79,76,75,75,78,77,84,93,84,82,82,82,84
Rankin Satellite Facility,228,215,215,225,224,224,224,219,219,217,221,221,220,218,228,215,213,213,220,219,219,220,212,212,212,221,223,223,228,223,218,218,218,223
Simpson Satellite Facility,102,101,101,101,101,101,101,96,96,96,99,100,98,98,102,91,91,91,96,96,96,95,90,89,89,98,98,100,102,100,97,97,97,100
Washington Satellite Facility,102,89,89,92,92,92,96,90,90,90,95,95,100,100,102,97,97,97,100,98,98,97,95,95,95,96,96,96,102,96,89,89,89,97
Wilkinson Satellite Facility,102,81,81,86,86,86,86,85,85,85,87,87,86,86,102,84,83,83,85,83,84,83,78,78,78,82,82,81,102,81,80,80,80,81
Yazoo Satellite Facility,102,92,93,94,93,93,88,82,82,82,92,93,92,97,102,92,92,92,97,97,97,97,96,96,96,95,95,95,102,94,90,90,90,93
REGIONAL CORRECTIONAL FACILITIES,"3,028","2,985","2,983","2,968","2,987","2,985","2,988","2,990","2,990","2,984","2,982","2,984","2,986","3,001","3,028","3,012","3,010","3,007","3,011","3,011","3,023","3,021","3,021","3,019","3,018","3,017","3,014","3,016","3,028","3,005","3,018","3,018","3,015","3,023"
Bolivar County,294,293,292,290,293,294,294,294,294,294,293,293,291,291,294,291,290,289,286,284,292,292,291,291,291,288,288,292,294,294,294,294,293,293
Carroll County,250,250,250,250,249,247,248,249,249,249,249,250,249,249,250,249,249,249,250,250,250,250,250,250,250,249,249,249,250,250,250,250,250,250
George County,280,279,279,278,279,279,279,280,280,279,277,277,278,280,280,280,280,279,279,279,280,278,279,279,279,281,280,279,280,273,273,273,273,280
Holmes County,280,278,278,278,280,280,279,278,278,278,278,278,280,280,280,280,280,280,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280
Issaquena County,274,271,271,269,270,270,274,271,271,270,270,269,273,270,274,270,269,269,274,274,274,274,274,272,272,273,273,273,274,273,272,272,272,273
Jefferson County,250,250,250,248,248,250,250,250,250,250,249,249,248,249,250,247,248,247,250,250,250,250,249,249,249,248,249,248,250,250,250,250,250,249
Kemper County,280,280,280,278,280,280,280,279,279,278,280,280,280,279,280,278,278,278,276,276,280,279,279,279,279,279,278,278,280,280,280,280,279,279
Leake County,280,278,278,277,280,278,279,280,280,279,279,280,280,279,280,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Marion County,280,277,277,277,280,279,277,280,280,280,279,280,280,280,280,280,279,279,279,280,280,280,280,280,280,280,279,278,280,279,280,280,280,280
Stone County,280,280,279,279,279,280,280,280,280,278,279,279,278,280,280,280,280,280,280,280,279,279,280,280,279,280,279,280,280,279,280,280,279,279
Winston County,280,249,249,244,249,248,248,249,249,249,249,249,249,264,280,278,278,278,279,279,279,279,279,279,279,279,279,279,280,267,279,279,279,280
PRIVATE PRISONS,"5,100","4,853","4,852","4,843","4,851","4,844","4,841","4,844","4,844","4,842","4,840","4,836","4,834","4,837","5,100","4,845","4,842","4,841","4,843","4,845","4,838","4,832","4,834","4,833","4,830","4,827","4,846","4,857","5,100","4,854","4,847","4,841","4,837","4,842"
Delta,972,967,967,962,967,965,969,970,970,970,967,967,971,970,972,969,969,969,968,970,968,970,970,970,969,971,970,969,972,971,970,968,967,972
East Mississippi,"1,000",865,865,863,862,860,870,869,869,868,865,865,865,867,"1,000",867,867,867,863,863,863,860,861,861,861,861,861,861,"1,000",861,861,860,860,858
Marshall County,"1,000",994,993,993,995,994,994,991,991,990,995,995,995,992,"1,000",995,995,995,995,995,994,995,995,995,995,993,993,995,"1,000",994,993,991,989,995
Tallahatchie County,128,128,128,128,128,128,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",916,916,915,914,913,908,916,916,916,916,913,910,910,"1,000",917,915,915,913,913,912,907,906,905,904,904,922,924,"1,000",921,922,921,921,918
Wilkinson County,"1,000",983,983,982,985,984,973,971,971,971,970,968,965,970,"1,000",969,968,967,976,976,973,972,974,974,973,970,972,980,"1,000",979,973,973,972,971
RESTITUTION CENTERS,16,12,12,12,12,12,11,10,10,10,11,11,11,11,16,10,10,10,11,11,12,12,12,12,12,12,11,11,16,11,10,10,10,10
Greenwood,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
Hinds,6,6,6,6,6,6,5,4,4,4,5,5,5,5,6,4,4,4,5,5,6,6,6,6,6,6,5,5,6,5,5,5,5,5
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,1,1
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,,46,44,4,5,0,7,86,87,85,6,4,4,5,,55,56,58,4,3,3,4,56,57,57,8,4,4,,6,61,63,62,5
TOTALS,"22,461","20,867","20,858","20,883","20,866","20,893","20,901","20,898","20,899","20,876","20,882","20,892","20,883","20,898","22,461","20,905","20,893","20,885","20,887","20,925","20,968","20,945","20,933","20,917","20,904","20,904","20,904","20,949","22,461","20,939","20,908","20,891","20,877","20,904"
