Location,Capacity_x_x,1-Sep-07,2-Sep-07,3-Sep-07,4-Sep-07,5-Sep-07,6-Sep-07,7-Sep-07,8-Sep-07,9-Sep-07,Capacity_y_x,10-Sep-07,11-Sep-07,12-Sep-07,13-Sep-07,14-Sep-07,15-Sep-07,16-Sep-07,17-Sep-07,18-Sep-07,Capacity_x_y,19-Sep-07,20-Sep-07,21-Sep-07,22-Sep-07,23-Sep-07,24-Sep-07,25-Sep-07,26-Sep-07,27-Sep-07,Capacity_y_y,28-Sep-07,29-Sep-07,30-Sep-07,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,527","4,457","4,455","4,454","4,458","4,451","4,444","4,445","4,437","4,435","4,527","4,432","4,422","4,434","4,440","4,432","4,429","4,425","4,409","4,425","4,527","4,439","4,421","4,431","4,431","4,426","4,425","4,429","4,410","4,428","4,527","4,437","4,435","4,431",,"4,434"
Central Mississippi Correctional Facility,"3,425","3,379","3,378","3,379","3,396","3,407","3,412","3,405","3,400","3,398","3,425","3,411","3,428","3,448","3,463","3,465","3,466","3,465","3,463","3,475","3,425","3,460","3,464","3,437","3,433","3,433","3,443","3,435","3,470","3,461","3,425","3,485","3,482","3,483",,"3,437"
South Mississippi Correctional Institution,"2,884","2,756","2,755","2,755","2,756","2,756","2,766","2,772","2,768","2,768","2,884","2,771","2,778","2,777","2,771","2,776","2,778","2,776","2,782","2,784","2,884","2,795","2,808","2,795","2,793","2,793","2,796","2,787","2,800","2,814","2,884","2,811","2,809","2,808",,"2,782"
County Jails,"1,606","1,800","1,800","1,801","1,798","1,811","1,824","1,829","1,829","1,829","1,606","1,843","1,825","1,814","1,856","1,837","1,837","1,837","1,862","1,846","1,606","1,874","1,895","1,916","1,916","1,916","1,930","1,916","1,890","1,905","1,606","1,905","1,905","1,905",,"1,858"
COMMUNITY WORK CENTERS,"1,816","1,763","1,762","1,759","1,762","1,772","1,774","1,729","1,728","1,728","1,816","1,768","1,764","1,768","1,752","1,724","1,718","1,716","1,780","1,782","1,816","1,775","1,779","1,711","1,708","1,707","1,766","1,779","1,768","1,755","1,816","1,716","1,714","1,711",,"1,748"
Alcorn Satellite Facility,92,92,92,92,92,92,91,88,88,88,92,89,91,91,90,80,80,80,92,92,92,91,91,89,89,89,91,92,92,92,92,81,81,81,,89
Bolivar Satellite Facility,102,97,96,96,95,100,99,98,98,98,102,99,99,102,102,97,97,97,101,102,102,102,102,96,95,95,100,102,102,102,102,102,102,102,,99
Forrest Satellite Facility,96,89,89,95,95,94,93,81,81,81,96,85,86,85,85,87,87,87,91,93,96,92,91,91,91,91,93,93,92,91,96,91,91,90,,89
George Satellite Facility,102,102,102,102,101,100,101,101,101,100,102,101,101,100,100,100,100,100,102,100,102,100,100,95,95,95,99,101,99,99,102,97,97,97,,100
Harrison Satellite Facility,102,101,101,101,101,101,100,98,98,98,102,100,101,101,98,101,99,99,100,100,102,99,100,94,94,94,100,98,98,97,102,93,92,92,,98
Jackson Satellite Facility,102,99,99,99,99,101,101,98,99,99,102,101,100,100,100,95,95,95,100,100,102,101,101,94,94,94,99,97,97,97,102,93,93,93,,98
Jefferson Satellite Facility,102,97,97,96,97,102,102,102,102,102,102,100,101,101,101,100,100,100,100,100,102,98,98,95,94,94,96,101,101,98,102,97,97,97,,99
Leflore Satellite Facility,102,100,100,100,100,101,101,100,100,100,102,100,100,100,100,96,94,94,102,102,102,102,101,98,98,98,100,102,102,102,102,99,99,99,,100
Madison Satellite Facility,102,100,100,100,99,102,102,101,101,101,102,102,102,100,98,102,102,102,102,102,102,102,102,98,98,98,101,101,100,99,102,97,97,97,,100
Noxubee Satellite Facility,92,92,92,92,92,92,92,87,86,87,92,90,90,92,91,87,86,86,90,90,92,90,92,85,85,86,91,92,92,92,92,92,92,92,,90
Pike Satellite Facility,93,91,91,91,90,89,91,91,90,90,93,90,88,89,89,89,89,89,89,88,93,87,87,82,82,81,87,87,88,86,93,85,85,85,,88
Quitman Satellite Facility,93,91,91,91,92,91,92,86,86,86,93,91,90,91,91,87,87,87,91,90,93,91,91,88,88,88,91,90,90,90,93,87,87,87,,89
Rankin Satellite Facility,228,215,215,213,212,212,217,212,212,212,228,218,218,219,219,214,214,212,218,219,228,219,223,218,218,218,220,219,217,216,228,213,212,211,,216
Simpson Satellite Facility,102,101,101,95,95,95,95,96,96,96,102,101,100,99,96,97,97,97,99,102,102,101,101,98,97,97,100,99,99,101,102,97,97,97,,98
Washington Satellite Facility,102,100,100,100,100,99,98,94,94,94,102,99,99,99,99,98,98,98,100,101,102,101,101,98,98,97,99,102,99,99,102,99,99,98,,99
Wilkinson Satellite Facility,102,95,95,95,101,100,97,100,100,100,102,100,99,101,95,94,93,93,101,100,102,100,100,95,95,95,99,101,98,94,102,94,94,94,,97
Yazoo Satellite Facility,102,101,101,101,101,101,102,96,96,96,102,102,99,98,98,100,100,100,102,101,102,99,98,97,97,97,100,102,102,100,102,99,99,99,,99
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,075","3,074","3,070","3,071","3,071","3,070","3,078","3,077","3,075","3,088","3,073","3,075","3,069","3,076","3,080","3,077","3,076","3,084","3,074","3,088","3,081","3,085","3,084","3,082","3,080","3,078","3,086","3,088","3,082","3,088","3,078","3,075","3,069",,"3,077"
Bolivar County,294,292,292,292,293,289,288,294,294,293,294,293,294,293,293,291,291,291,292,293,294,293,294,293,293,293,294,294,293,294,294,294,294,293,,293
Carroll County,280,280,280,280,277,277,280,280,280,280,280,280,280,279,278,278,277,277,280,277,280,279,280,279,279,279,279,279,280,280,280,280,280,279,,279
George County,280,279,279,278,280,280,279,279,279,279,280,280,280,279,279,280,280,280,280,279,280,280,280,280,280,279,278,280,280,279,280,279,279,278,,279
Holmes County,280,280,280,280,280,280,280,279,279,279,280,280,280,280,280,280,280,279,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,,280
Issaquena County,274,274,274,274,270,273,273,273,273,273,274,272,272,273,274,274,274,274,274,271,274,273,272,273,271,271,271,274,275,273,274,268,268,267,,272
Jefferson County,280,273,273,273,276,274,274,274,274,273,280,273,273,273,274,280,280,280,280,278,280,280,280,280,280,280,279,280,281,280,280,280,279,278,,277
Kemper County,280,279,279,279,279,279,278,279,279,279,280,278,280,279,280,280,280,280,280,279,280,280,280,280,280,280,280,280,279,279,280,280,280,280,,279
Leake County,280,280,280,279,280,280,279,280,279,279,280,278,278,274,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,,279
Marion County,280,279,279,277,278,280,280,280,280,280,280,279,279,279,279,279,278,278,280,278,280,277,279,279,279,279,279,280,280,280,280,280,279,279,,279
Stone County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,280,280,280,280,280,280,279,279,280,278,280,278,278,278,,280
Winston County,280,279,278,278,278,279,279,280,280,280,280,280,279,280,280,280,279,279,279,279,280,279,280,280,280,280,280,280,280,279,280,279,278,278,,279
PRIVATE PRISONS,"4,972","4,784","4,784","4,781","4,778","4,767","4,765","4,768","4,762","4,760","4,972","4,751","4,768","4,754","4,751","4,763","4,760","4,759","4,762","4,764","4,972","4,768","4,760","4,773","4,771","4,770","4,779","4,784","4,778","4,790","4,972","4,785","4,785","4,775",,"4,770"
Delta,972,972,972,972,972,968,969,969,968,967,972,963,972,967,966,971,971,970,972,968,972,968,968,969,968,968,970,970,967,969,972,972,972,971,,969
East Mississippi,"1,000",890,890,887,887,887,886,885,884,884,"1,000",885,889,885,885,888,887,887,884,883,"1,000",886,886,890,890,889,895,895,893,890,"1,000",888,888,886,,888
Marshall County,"1,000",994,994,994,995,993,992,996,995,995,"1,000",994,994,993,992,996,994,994,994,992,"1,000",992,993,993,993,993,995,994,995,995,"1,000",995,995,993,,994
Tallahatchie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",937,937,937,933,928,928,926,923,923,"1,000",923,921,921,918,919,919,919,924,926,"1,000",928,919,924,923,923,923,929,928,939,"1,000",938,938,934,,927
Wilkinson County,"1,000",991,991,991,991,991,990,992,992,991,"1,000",986,992,988,990,989,989,989,988,995,"1,000",994,994,997,997,997,996,996,995,997,"1,000",992,992,991,,992
RESTITUTION CENTERS,16,13,13,13,13,13,14,14,14,14,16,14,14,14,14,14,14,14,14,14,16,14,13,12,12,12,13,13,14,13,16,13,13,13,,13
Greenwood,6,4,4,4,4,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,4,4,4,5,5,6,6,6,6,6,6,,5
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,6,4,4,4,,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,,5
E-CODE,,6,7,8,9,10,10,54,55,54,,10,10,9,12,50,51,49,6,6,,7,9,71,72,72,8,7,7,7,,36,37,38,,26
TOTALS,"22,340","22,038","22,033","22,025","22,046","22,063","22,084","22,099","22,075","22,066","22,340","22,078","22,089","22,092","22,140","22,146","22,135","22,122","22,167","22,175","22,340","22,218","22,239","22,235","22,223","22,214","22,243","22,241","22,230","22,260","22,340","22,271","22,260","22,238",,"22,152"
