Location,Capacity_x,1-Dec-05,2-Dec-05,3-Dec-05,4-Dec-05,5-Dec-05,6-Dec-05,7-Dec-05,8-Dec-05,9-Dec-05,10-Dec-05,11-Dec-05,12-Dec-05,13-Dec-05,Capacity_y,14-Dec-05,15-Dec-05,16-Dec-05,17-Dec-05,18-Dec-05,19-Dec-05,20-Dec-05,21-Dec-05,22-Dec-05,23-Dec-05,24-Dec-05,25-Dec-05,26-Dec-05,Capacity,27-Dec-05,28-Dec-05,29-Dec-05,30-Dec-05,31-Dec-05
Mississippi State Penitentiary,"4,730","4,367","4,373","4,371","4,370","4,370","4,364","4,374","4,392","4,372","4,368","4,365","4,370","4,358","4,730","4,346","4,348","4,334","4,330","4,322","4,323","4,338","4,343","4,361","4,356","4,343","4,339","4,340","4,730","4,348","4,374","4,361","4,356","4,352"
Central Mississippi Correctional Facility,"3,233","3,112","3,090","3,089","3,090","3,117","3,118","3,100","3,123","3,112","3,111","3,112","3,101","3,109","3,233","3,148","3,100","3,099","3,098","3,097","3,087","3,120","3,146","3,139","3,140","3,139","3,139","3,136","3,233","3,138","3,096","3,101","3,093","3,093"
South Mississippi Correctional Institution,"2,306","2,176","2,164","2,164","2,162","2,149","2,162","2,155","2,152","2,172","2,165","2,163","2,157","2,166","2,306","2,165","2,171","2,187","2,186","2,186","2,169","2,143","2,154","2,158","2,156","2,151","2,150","2,150","2,306","2,141","2,129","2,139","2,129","2,127"
County Jails,"2,168","1,672","1,668","1,668","1,668","1,650","1,640","1,646","1,643","1,637","1,637","1,637","1,650","1,630","2,168","1,627","1,633","1,613","1,613","1,613","1,626","1,588","1,543","1,503","1,504","1,504","1,504","1,504","2,168","1,489","1,503","1,502","1,485","1,485"
COMMUNITY WORK CENTERS,"1,816","1,632","1,645","1,645","1,644","1,663","1,663","1,677","1,674","1,684","1,678","1,677","1,679","1,690","1,816","1,680","1,711","1,713","1,706","1,706","1,720","1,729","1,720","1,707","1,703","1,700","1,698","1,698","1,816","1,703","1,728","1,764","1,781","1,780"
Alcorn Satellite Facility,92,86,87,87,87,86,86,86,86,86,86,86,85,85,92,85,90,90,90,90,90,91,91,91,91,91,91,91,92,91,92,92,91,91
Bolivar Satellite Facility,102,88,87,87,87,87,87,87,87,87,87,87,86,86,102,84,90,99,98,98,98,99,100,101,100,100,99,99,102,99,101,101,101,101
Forrest Satellite Facility,96,87,87,87,87,91,90,91,89,91,91,91,95,95,96,95,96,95,95,95,96,96,96,95,95,95,95,95,96,95,95,95,96,96
George Satellite Facility,102,94,98,98,98,97,97,96,96,100,99,99,101,101,102,101,100,100,99,100,100,102,101,101,100,100,100,100,102,100,102,102,102,101
Harrison Satellite Facility,102,86,86,86,86,95,95,96,96,102,101,101,102,102,102,102,102,102,102,102,101,101,101,101,101,101,101,101,102,101,101,101,101,101
Jackson Satellite Facility,102,73,83,83,83,95,95,100,101,102,102,102,102,102,102,101,102,100,100,99,99,101,101,100,100,100,100,100,102,100,100,102,102,102
Jefferson Satellite Facility,102,101,100,100,100,100,100,101,101,101,100,100,100,100,102,100,100,100,100,100,100,99,99,92,92,91,90,90,102,91,97,101,101,101
Leflore Satellite Facility,102,89,89,89,89,87,88,88,88,88,88,88,87,87,102,87,100,98,98,98,100,100,98,99,99,99,99,99,102,99,100,100,101,101
Madison Satellite Facility,102,102,102,102,102,102,102,101,100,100,100,100,100,101,102,102,102,101,101,101,99,102,101,100,100,100,100,100,102,100,102,102,101,101
Noxubee Satellite Facility,92,91,91,91,91,91,90,89,88,88,88,88,87,86,92,84,92,92,92,92,91,91,84,85,85,84,84,84,92,87,86,86,92,92
Pike Satellite Facility,93,69,69,69,69,69,68,68,68,68,68,68,68,68,93,67,67,67,65,65,66,67,73,77,77,77,77,77,93,84,86,87,87,87
Quitman Satellite Facility,93,80,80,80,80,80,80,81,81,77,77,77,76,75,93,75,75,76,76,76,76,78,79,76,75,75,75,75,93,75,75,86,85,85
Rankin Satellite Facility,228,222,222,222,222,223,225,225,227,227,226,226,227,228,228,227,228,228,227,227,226,225,222,223,222,222,222,222,228,222,221,223,225,225
