Location,Capacity_x,1-Oct-03,2-Oct-03,3-Oct-03,4-Oct-03,5-Oct-03,6-Oct-03,7-Oct-03,8-Oct-03,9-Oct-03,10-Oct-03,11-Oct-03,12-Oct-03,13-Oct-03,Capacity_y,14-Oct-03,15-Oct-03,16-Oct-03,17-Oct-03,18-Oct-03,19-Oct-03,20-Oct-03,21-Oct-03,22-Oct-03,23-Oct-03,24-Oct-03,25-Oct-03,26-Oct-03,Capacity,27-Oct-03,28-Oct-03,29-Oct-03,30-Oct-03,31-Oct-03
MS STATE PENITENTIARY,"5,768","5,691","5,706","5,687","5,687","5,687","5,694","5,677","5,691","5,695","5,699","5,698","5,696","5,690","5,768","5,702","5,708","5,704","5,688","5,686","5,683","5,681","5,694","5,687","5,703","5,691","5,692","5,691","5,768","5,703","5,700","5,698","5,700","5,704"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,152","3,147","3,181","3,180","3,182","3,197","3,153","3,159","3,163","3,159","3,158","3,158","3,157","3,233","3,126","3,135","3,146","3,119","3,120","3,120","3,115","3,116","3,139","3,157","3,144","3,144","3,143","3,233","3,147","3,141","3,121","3,130","3,098"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,125","2,123","2,108","2,109","2,108","2,103","2,125","2,115","2,127","2,111","2,112","2,109","2,135","2,214","2,131","2,142","2,140","2,098","2,097","2,097","2,109","2,100","2,096","2,087","2,081","2,080","2,079","2,214","2,048","2,038","2,069","2,064","2,037"
COUNTY JAILS,"2,176","1,927","1,930","1,913","1,913","1,913","1,901","1,934","1,952","1,966","1,956","1,956","1,956","1,963","2,176","1,974","1,962","1,955","1,980","1,980","1,980","1,972","1,962","1,921","1,918","1,913","1,913","1,913","2,176","1,901","1,918","1,924","1,927","1,933"
COMMUNITY WORK CENTERS,"1,816","1,505","1,505","1,477","1,475","1,474","1,513","1,552","1,553","1,548","1,509","1,506","1,506","1,535","1,816","1,542","1,539","1,547","1,494","1,492","1,490","1,524","1,535","1,537","1,529","1,491","1,491","1,489","1,816","1,528","1,534","1,530","1,531","1,508"
Alcorn Satellite Facility,92,80,80,77,77,77,78,86,86,86,84,84,84,87,92,87,87,90,87,87,87,90,88,88,88,87,87,87,92,87,87,91,91,86
Bolivar Satellite Facility,102,72,72,71,71,71,75,77,76,76,72,72,72,75,102,74,74,74,68,67,67,70,70,69,69,62,62,62,102,69,68,68,68,73
Forrest Satellite Facility,96,95,94,92,90,90,92,92,90,89,87,87,87,87,96,85,85,84,80,79,79,86,87,87,87,82,82,82,96,89,90,88,88,88
George Satellite Facility,102,92,91,88,88,88,87,92,92,92,89,87,87,90,102,88,88,88,89,89,89,91,91,91,91,90,90,90,102,89,95,93,94,91
Harrison Satellite Facility,102,71,70,69,69,69,70,70,70,70,68,68,68,66,102,65,65,65,66,66,66,68,68,68,68,67,67,67,102,68,68,68,68,68
