Location,Capacity_x_x,1-Feb-16,2-Feb-16,3-Feb-16,4-Feb-16,5-Feb-16,6-Feb-16,7-Feb-16,8-Feb-16,9-Feb-16,Capacity_y_x,10-Feb-16,11-Feb-16,12-Feb-16,13-Feb-16,14-Feb-16,15-Feb-16,16-Feb-16,17-Feb-16,18-Feb-16,Capacity_x_y,19-Feb-16,20-Feb-16,21-Feb-16,22-Feb-16,23-Feb-16,24-Feb-16,Unnamed: 8,25-Feb-16 26-Feb-16 27-Feb-16,Unnamed: 10,Capacity_y_y,28-Feb-16,29-Feb-16,Avg Population
Madison Satellite Facility,102,56,62,62,62,84,84,84,84,84,102,89,89,90,90,90,90,90,90,93,102,92,92,92,90,92,91,92,91,91,102,91,91,85
Noxubee Satellite Facility,92,85,81,81,83,84,84,84,86,86,92,86,86,80,80,80,89,89,88,87,92,84,84,84,86,86,86,86,82,82,92,82,86,84
Pike Satellite Facility,93,82,85,85,84,83,83,83,84,84,93,90,90,91,91,91,91,91,89,89,93,89,89,89,81,78,78,79,79,79,93,79,79,85
Quitman Satellite Facility,93,81,82,83,86,85,85,85,85,87,93,87,87,84,82,81,84,83,83,82,93,87,86,86,88,88,88,87,87,87,93,87,87,85
Rankin Satellite Facility,260,143,143,144,145,128,128,128,134,133,260,136,137,131,131,131,135,135,135,134,260,128,128,128,134,134,132,132,125,125,260,125,153,134
Flowood TVC,,11,11,10,9,20,20,20,20,20,,19,18,20,20,20,20,19,19,19,,19,19,19,19,19,19,19,24,24,,24,22,19
Simpson TVC and Simpson TVC support,102,50,50,50,64,79,76,76,78,73,102,71,71,97,92,89,90,90,90,90,102,98,96,96,93,90,90,89,88,88,102,88,87,82
Washington Satellite Facility,102,82,79,79,78,78,78,78,78,85,102,84,83,80,80,80,81,78,78,78,102,78,78,78,78,78,76,76,79,79,102,79,79,79
Wilkinson Satellite Facility,102,52,58,58,58,54,54,54,57,57,102,57,58,56,56,56,58,56,56,59,102,59,59,59,59,59,59,62,60,60,102,60,60,58
Yazoo Satellite Facility,102,32,32,32,32,31,31,31,35,35,102,35,35,29,29,29,33,33,35,35,102,35,35,35,36,36,35,37,36,36,102,36,33,34
REGIONAL CORRECTIONAL FACILITIES,"4,378","3,960","3,994","4,034","4,056","3,866","3,863","3,862","3,817","3,696","4,378","3,584","3,576","3,554","3,554","3,551","3,550","3,544","3,531","3,422","4,378","3,408","3,407","3,405","3,400","3,420","3,420","3,413","3,404","3,401","4,378","3,400","3,396","3,603"
Alcorn County,240,0,49,107,161,213,213,213,239,239,240,240,240,240,240,239,239,238,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,215
Bolivar County,369,363,364,354,351,251,251,251,250,250,369,250,250,294,294,293,293,293,293,293,369,294,294,294,293,293,294,294,293,293,369,293,293,292
Carroll County,280,272,272,271,272,259,259,259,258,248,280,240,240,240,240,240,240,239,239,239,280,238,238,238,236,238,239,238,234,234,280,234,234,246
Chickasaw County,300,262,262,261,251,248,248,248,248,240,300,239,239,229,229,229,229,229,229,240,300,239,239,239,239,239,239,239,239,238,300,238,238,241
George County,280,271,271,271,275,255,253,253,252,251,280,240,238,229,229,229,229,227,227,202,280,199,199,199,199,200,200,197,195,194,280,194,194,227
Holmes County,280,270,262,262,266,250,250,250,249,248,280,239,238,228,228,228,227,226,211,200,280,199,199,199,199,200,200,200,200,200,280,200,200,225
Issaquena County,274,266,267,258,257,257,257,257,246,238,274,238,237,236,236,236,236,235,235,234,274,237,237,237,237,239,239,240,240,240,274,240,240,243
Jefferson County,280,282,282,282,281,259,259,259,246,237,280,237,237,230,230,230,230,228,229,229,280,235,235,235,235,239,238,239,239,239,280,239,238,244
Kemper County,355,346,346,345,339,339,339,339,321,240,355,240,238,258,258,257,257,257,257,257,355,257,257,257,257,259,258,258,257,257,355,257,256,278
