Location,Capacity_x,1-Aug-03,2-Aug-03,3-Aug-03,4-Aug-03,5-Aug-03,6-Aug-03,7-Aug-03,8-Aug-03,9-Aug-03,10-Aug-03,11-Aug-03,12-Aug-03,Capacity_y,13-Aug-03,14-Aug-03,15-Aug-03,16-Aug-03,17-Aug-03,18-Aug-03,19-Aug-03,20-Aug-03,21-Aug-03,22-Aug-03,23-Aug-03,24-Aug-03,Capacity,25-Aug-03,26-Aug-03,27-Aug-03,28-Aug-03,29-Aug-03,30-Aug-03,31-Aug-03
Jackson Satellite Facility,102,68,68,68,72,72,71,71,71,71,71,71,75,102,74,75,74,74,74,75,75,75,74,74,74,74,102,74,71,71,71,71,71,71
Jefferson Satellite Facility,102,75,75,75,76,76,76,76,76,76,76,76,76,102,76,82,78,78,78,80,79,79,79,77,78,78,102,78,78,78,81,81,81,81
Leflore Satellite Facility,102,88,88,88,86,86,86,86,85,85,85,89,89,102,89,91,89,89,89,90,90,90,90,89,89,89,102,90,88,88,87,87,87,87
Madison Satellite Facility,102,95,95,95,95,96,96,94,93,93,93,95,95,102,95,92,90,88,88,89,89,89,88,87,87,87,102,88,88,87,87,90,90,89
Noxubee Satellite Facility,92,74,74,74,74,74,72,72,72,72,72,73,70,92,70,70,69,69,69,69,69,68,68,71,71,71,92,71,71,71,71,71,71,71
Pike Satellite Facility,93,52,52,52,51,51,50,50,49,49,49,50,51,93,50,51,50,50,50,50,50,49,53,53,53,49,93,49,49,49,52,52,52,52
Quitman Satellite Facility,93,61,61,61,60,60,61,61,60,59,59,60,59,93,58,57,62,62,62,61,61,60,59,57,57,57,93,58,58,56,56,54,54,54
Rankin Satellite Facility,228,187,187,187,187,183,183,190,187,187,187,203,202,228,202,198,190,190,190,206,205,204,209,208,208,208,228,210,209,213,213,211,211,210
Simpson Satellite Facility,102,80,80,80,79,79,83,83,84,84,84,85,85,102,85,89,89,89,89,89,88,88,87,93,93,93,102,91,91,92,91,91,91,91
Washington Satellite Facility,102,84,84,84,84,83,83,83,81,81,81,85,85,102,85,88,86,86,86,87,87,87,87,87,87,87,102,88,88,88,88,88,87,87
Wilkinson Satellite Facility,102,57,57,57,58,58,58,58,58,58,58,58,56,102,56,57,52,52,52,55,55,55,55,54,54,54,102,54,54,54,54,54,54,54
Yazoo Satellite Facility,102,88,88,88,88,88,89,89,86,86,86,89,89,102,90,91,94,94,94,96,96,96,96,95,95,95,102,95,95,94,95,97,96,96
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,586","2,586","2,585","2,581","2,584","2,581","2,580","2,580","2,578","2,576","2,579","2,579","2,750","2,576","2,560","2,553","2,551","2,551","2,551","2,553","2,574","2,573","2,573","2,573","2,570","2,750","2,570","2,568","2,583","2,582","2,585","2,584","2,584"
