Location,Capacity_x,1-Mar-03,2-Mar-03,3-Mar-03,4-Mar-03,5-Mar-03,6-Mar-03,7-Mar-03,8-Mar-03,9-Mar-03,10-Mar-03,11-Mar-03,12-Mar-03,13-Mar-03,Capacity_y,14-Mar-03,15-Mar-03,16-Mar-03,17-Mar-03,18-Mar-03,19-Mar-03,20-Mar-03,21-Mar-03,22-Mar-03,23-Mar-03,24-Mar-03,25-Mar-03,26-Mar-03,Capacity,27-Mar-03,28-Mar-03,29-Mar-03,30-Mar-03,31-Mar-03
MS STATE PENITENTIARY,"5,711","5,587","5,587","5,579","5,598","5,590","5,603","5,594","5,592","5,591","5,599","5,601","5,595","5,597","5,711","5,605","5,603","5,606","5,593","5,613","5,603","5,595","5,604","5,603","5,601","5,623","5,638","5,651","5,711","5,646","5,661","5,658","5,654","5,645"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,033","3,035","3,071","3,089","3,118","3,125","3,141","3,140","3,136","3,134","3,147","3,159","3,176","3,233","3,204","3,205","3,205","3,172","3,155","3,164","3,137","3,118","3,119","3,121","3,109","3,099","3,105","3,233","3,094","3,083","3,082","3,080","3,088"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,162","2,163","2,147","2,160","2,159","2,151","2,157","2,158","2,157","2,154","2,155","2,177","2,175","2,214","2,166","2,166","2,165","2,173","2,164","2,172","2,164","2,140","2,138","2,136","2,130","2,126","2,130","2,214","2,144","2,139","2,139","2,137","2,155"
COUNTY JAILS,"2,133","2,133","2,133","2,115","2,089","2,077","2,077","2,065","2,065","2,065","2,103","2,095","2,093","2,069","2,133","2,046","2,046","2,046","2,051","2,085","2,079","2,113","2,146","2,146","2,146","2,137","2,112","2,109","2,133","2,097","2,097","2,097","2,097","2,098"
COMMUNITY WORK CENTERS,"1,350","1,246","1,246","1,285","1,285","1,285","1,283","1,231","1,231","1,230","1,280","1,282","1,294","1,287","1,350","1,244","1,243","1,237","1,277","1,273","1,283","1,290","1,267","1,264","1,265","1,295","1,301","1,303","1,350","1,307","1,297","1,295","1,295","1,308"
Alcorn Satellite Facility,75,64,64,68,67,69,69,67,67,67,68,68,74,74,75,72,72,72,74,74,75,75,74,74,74,74,74,74,75,74,74,74,74,74
Bolivar Satellite Facility,75,70,70,73,73,73,73,70,70,70,72,75,74,73,75,66,66,66,71,69,73,73,69,69,69,73,74,73,75,73,73,73,73,73
Forrest Satellite Facility,75,69,69,72,73,73,74,71,71,71,74,74,74,73,75,71,71,71,75,75,75,74,73,72,72,73,74,73,75,74,73,73,73,74
George Satellite Facility,75,68,68,73,74,74,73,70,70,70,74,74,74,74,75,74,74,74,75,75,75,75,72,72,71,74,75,75,75,74,72,72,72,74
Harrison Satellite Facility,75,71,71,74,74,74,74,73,73,73,74,74,74,75,75,72,72,72,74,73,73,73,69,69,69,72,75,75,75,75,73,73,72,73
Jackson Satellite Facility,75,69,69,75,75,75,75,73,73,73,75,75,75,75,75,72,72,72,75,75,75,75,75,74,75,75,75,75,75,75,73,73,73,74
Jefferson Satellite Facility,75,73,73,74,73,71,71,65,65,65,74,74,74,74,75,71,71,71,73,71,70,73,71,71,71,70,70,74,75,74,74,74,74,74
Leflore Satellite Facility,75,73,73,75,74,74,74,70,70,70,73,73,73,71,75,72,72,72,73,73,73,75,70,70,70,75,74,74,75,75,74,74,74,75
Madison Satellite Facility,75,73,73,74,75,75,75,72,72,72,75,75,75,75,75,71,71,71,75,74,75,75,74,74,74,75,75,75,75,75,74,74,74,75
Noxubee Satellite Facility,75,71,71,74,74,74,75,70,70,69,74,74,74,74,75,74,73,74,72,72,75,74,72,71,71,71,70,70,75,70,75,75,75,74
Pike Satellite Facility,75,53,53,53,55,54,54,56,56,56,55,55,56,55,75,53,53,53,56,55,56,58,55,55,55,58,58,59,75,58,57,57,57,58
Quitman Satellite Facility,75,55,55,57,57,55,55,51,51,51,55,54,56,55,75,50,50,49,52,52,52,52,60,60,60,62,61,62,75,68,68,68,68,68
Rankin Satellite Facility,150,146,146,147,147,150,148,141,141,141,147,147,148,147,150,143,143,143,145,145,147,150,144,144,145,150,150,149,150,149,148,148,148,149
