Location,Capacity_x_x,1-Oct-08,2-Oct-08,3-Oct-08,4-Oct-08,5-Oct-08,6-Oct-08,7-Oct-08,8-Oct-08,9-Oct-08,Capacity_y_x,10-Oct-08,11-Oct-08,12-Oct-08,13-Oct-08,14-Oct-08,15-Oct-08,16-Oct-08,17-Oct-08,18-Oct-08,Capacity_x_y,19-Oct-08,20-Oct-08,21-Oct-08,22-Oct-08,23-Oct-08,24-Oct-08,25-Oct-08,26-Oct-08,27-Oct-08,Capacity_y_y,28-Oct-08,29-Oct-08,30-Oct-08,31-Oct-08,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,627","4,033","4,038","4,034","4,031","4,031","4,043","4,051","3,998","4,016","4,627","4,010","4,007","4,004","4,022","4,025","3,993","4,013","4,019","4,013","4,627","4,012","4,010","4,007","3,971","3,985","3,991","3,988","3,986",0,"4,627",0,0,0,0,,"4,013"
Central Mississippi Correctional Facility,"3,665","3,655","3,689","3,682","3,682","3,680","3,674","3,649","3,683","3,671","3,665","3,679","3,678","3,673","3,655","3,649","3,662","3,615","3,623","3,617","3,665","3,618","3,618","3,632","3,648","3,643","3,657","3,657","3,659",0,"3,665",0,0,0,0,,"3,656"
South Mississippi Correctional Institution,"3,204","3,099","3,087","3,061","3,061","3,061","3,081","3,070","3,080","3,073","3,204","3,072","3,071","3,069","3,074","3,091","3,082","3,100","3,101","3,099","3,204","3,100","3,110","3,111","3,112","3,103","3,103","3,101","3,101",0,"3,204",0,0,0,0,,"3,087"
County Jails,"1,808","2,217","2,200","2,208","2,208","2,208","2,181","2,193","2,185","2,179","1,808","2,173","2,173","2,173","2,160","2,154","2,133","2,137","2,120","2,120","1,808","2,120","2,123","2,115","2,101","2,079","2,049","2,049","2,049",0,"1,808",0,0,0,0,,"2,146"
COMMUNITY WORK CENTERS,"1,848","1,803","1,808","1,748","1,744","1,740","1,797","1,807","1,807","1,815","1,848","1,770","1,768","1,768","1,811","1,812","1,820","1,817","1,770","1,767","1,848","1,764","1,811","1,806","1,807","1,801","1,757","1,756","1,754",0,"1,848",0,0,0,0,,"1,786"
Alcorn Satellite Facility,92,89,89,89,89,89,91,91,91,91,92,92,92,92,92,92,91,91,89,89,92,89,91,91,91,91,88,88,88,0,92,0,0,0,0,,90
Bolivar Satellite Facility,102,99,101,98,98,98,101,101,100,100,102,95,95,95,100,100,100,100,98,98,102,98,99,99,99,101,99,99,99,0,102,0,0,0,0,,99
Forrest Satellite Facility,96,96,95,90,90,90,95,93,93,95,96,94,94,94,96,96,96,96,96,96,96,96,96,95,95,96,92,92,91,0,96,0,0,0,0,,94
George Satellite Facility,102,100,100,95,94,94,98,102,102,102,102,100,100,100,99,99,102,101,101,101,102,101,101,102,101,101,101,101,101,0,102,0,0,0,0,,100
Harrison Satellite Facility,102,102,102,98,98,98,102,102,102,102,102,97,97,97,101,101,102,101,98,98,102,98,101,101,100,101,96,96,96,0,102,0,0,0,0,,100
Jackson Satellite Facility,102,102,100,94,94,93,100,102,102,102,102,96,96,96,99,99,101,100,100,100,102,99,100,102,102,100,97,97,97,0,102,0,0,0,0,,99
Jefferson Satellite Facility,102,97,97,98,98,98,99,98,100,100,102,101,101,101,102,102,101,101,96,96,102,96,101,101,101,100,99,99,99,0,102,0,0,0,0,,99
Leflore Satellite Facility,102,98,100,95,95,96,100,100,101,99,102,96,97,97,102,102,102,101,89,88,102,88,98,95,94,99,97,97,96,0,102,0,0,0,0,,97
Madison Satellite Facility,102,101,100,98,98,95,94,102,101,100,102,97,96,96,99,99,102,102,100,100,102,100,101,100,101,102,99,99,99,0,102,0,0,0,0,,99
Noxubee Satellite Facility,92,91,92,88,88,88,92,92,91,91,92,88,88,88,89,89,89,92,88,88,92,88,92,92,92,89,86,86,86,0,92,0,0,0,0,,89
