Location,Capacity_x,1-Aug-04,2-Aug-04,3-Aug-04,4-Aug-04,5-Aug-04,6-Aug-04,7-Aug-04,8-Aug-04,9-Aug-04,10-Aug-04,11-Aug-04,12-Aug-04,13-Aug-04,Capacity_y,14-Aug-04,15-Aug-04,16-Aug-04,17-Aug-04,18-Aug-04,19-Aug-04,20-Aug-04,21-Aug-04,22-Aug-04,23-Aug-04,24-Aug-04,25-Aug-04,26-Aug-04,Capacity,27-Aug-04,28-Aug-04,29-Aug-04,30-Aug-04,31-Aug-04
MS STATE PENITENTIARY,"4,892","4,836","4,833","4,832","4,855","4,838","4,850","4,850","4,849","4,839","4,821","4,844","4,842","4,824","4,892","4,822","4,821","4,834","4,831","4,853","4,865","4,834","4,833","4,832","4,834","4,841","4,847","4,836","4,892","4,821","4,818","4,817","4,807","4,800"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,102","3,122","3,112","3,097","3,128","3,117","3,117","3,116","3,141","3,123","3,109","3,138","3,121","3,233","3,116","3,114","3,110","3,092","3,090","3,086","3,125","3,124","3,124","3,128","3,097","3,117","3,108","3,233","3,080","3,079","3,081","3,067","3,063"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,174","2,174","2,190","2,182","2,177","2,175","2,174","2,175","2,179","2,188","2,184","2,184","2,185","2,214","2,186","2,185","2,179","2,192","2,188","2,182","2,167","2,167","2,167","2,160","2,159","2,155","2,165","2,214","2,142","2,142","2,142","2,163","2,154"
COUNTY JAILS,"2,209","2,064","2,078","2,096","2,113","2,108","2,079","2,079","2,079","2,068","2,071","2,090","2,109","2,127","2,209","2,127","2,127","2,133","2,145","2,144","2,149","2,141","2,141","2,141","2,145","2,143","2,131","2,139","2,209","2,149","2,149","2,149","2,159","2,179"
COMMUNITY WORK CENTERS,"1,816","1,684","1,705","1,700","1,693","1,690","1,649","1,648","1,647","1,687","1,685","1,690","1,684","1,642","1,816","1,639","1,639","1,710","1,706","1,703","1,695","1,681","1,680","1,680","1,701","1,708","1,704","1,695","1,816","1,650","1,641","1,640","1,662","1,674"
Alcorn Satellite Facility,92,89,86,86,86,86,88,88,88,89,89,89,89,82,92,80,80,90,89,92,92,90,90,90,91,91,88,88,92,87,87,86,87,92
Bolivar Satellite Facility,102,98,100,99,99,99,94,94,93,95,95,95,93,90,102,90,90,97,96,94,94,98,98,98,98,98,98,98,102,96,96,96,99,99
Forrest Satellite Facility,96,94,95,95,93,92,92,91,91,93,93,94,94,90,96,90,90,94,94,94,94,89,89,89,90,96,96,95,96,91,90,90,93,95
George Satellite Facility,102,88,88,88,87,90,89,89,89,89,89,89,89,87,102,87,87,93,90,89,89,92,92,92,92,95,95,95,102,94,94,94,94,96
Harrison Satellite Facility,102,98,99,98,98,98,89,89,89,99,98,98,102,95,102,95,95,100,99,98,97,100,100,100,100,99,98,97,102,91,91,91,95,95
Jackson Satellite Facility,102,96,95,95,96,96,94,94,94,95,95,95,94,88,102,88,88,93,92,92,91,90,90,90,93,92,92,92,102,90,90,90,89,94
Jefferson Satellite Facility,102,89,92,92,95,95,94,94,94,94,93,92,92,92,102,92,92,93,93,95,94,94,94,94,94,98,98,96,102,95,95,94,93,93
Leflore Satellite Facility,102,100,102,102,99,98,98,98,98,100,100,100,100,92,102,92,92,100,99,97,97,98,98,98,99,98,98,98,102,95,95,95,97,97
Madison Satellite Facility,102,98,101,101,102,101,98,98,98,102,102,102,101,96,102,95,96,102,102,101,101,101,101,101,101,102,101,100,102,100,100,100,100,100
Noxubee Satellite Facility,92,88,91,91,91,91,86,86,86,91,90,89,89,89,92,89,89,91,92,90,89,86,86,86,89,91,90,90,92,88,88,88,88,88
Pike Satellite Facility,93,68,68,67,66,65,64,64,64,67,67,67,65,68,93,68,67,69,69,69,69,69,69,69,69,65,66,65,93,64,64,64,65,63
Quitman Satellite Facility,93,91,93,92,90,90,88,88,88,89,89,89,88,85,93,85,85,91,92,92,92,91,91,91,93,93,93,92,93,90,90,90,91,90
Rankin Satellite Facility,228,212,213,213,213,213,212,212,212,214,215,215,214,216,228,216,216,217,213,219,218,215,214,214,219,219,219,219,228,215,210,210,209,209
Simpson Satellite Facility,102,100,102,102,102,102,99,99,99,100,100,102,100,96,102,96,96,101,101,101,98,94,94,94,97,95,95,96,102,93,92,92,94,94
Washington Satellite Facility,102,94,94,94,93,93,91,91,91,91,91,91,90,93,102,93,93,93,93,91,91,90,90,90,91,91,91,90,102,88,88,88,88,88
Wilkinson Satellite Facility,102,81,85,85,84,84,79,79,79,83,83,83,83,83,102,83,83,84,90,87,87,86,86,86,86,86,86,84,102,79,78,78,82,83
Yazoo Satellite Facility,102,100,101,100,99,97,94,94,94,96,96,100,101,100,102,100,100,102,102,102,102,98,98,98,99,99,100,100,102,94,93,94,98,98
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,739","2,739","2,740","2,741","2,737","2,743","2,743","2,741","2,742","2,743","2,742","2,738","2,746","2,750","2,746","2,745","2,744","2,742","2,742","2,745","2,740","2,739","2,739","2,741","2,745","2,745","2,740","2,750","2,744","2,740","2,740","2,736","2,739"
Bolivar County,250,250,247,246,249,248,249,249,249,250,250,249,249,249,250,249,248,249,250,250,249,247,247,247,251,250,250,250,250,250,250,250,250,250
Carroll County,250,249,248,249,249,250,250,250,250,250,250,250,248,250,250,250,250,249,249,250,249,249,249,249,249,250,250,250,250,250,250,250,249,250
George County,250,248,247,248,248,247,247,247,245,245,248,250,248,249,250,249,249,249,249,249,250,249,249,249,250,250,250,250,250,249,249,249,248,245
Holmes County,250,246,250,250,249,249,250,250,250,250,249,249,250,250,250,250,250,250,250,250,251,250,249,249,249,249,249,249,250,250,250,250,250,250
Issaquena County,250,248,250,249,248,246,248,248,248,248,248,248,247,250,250,250,250,248,250,250,248,248,248,248,247,249,248,244,250,248,247,247,245,249
Jefferson County,250,250,249,249,250,250,250,250,250,250,248,248,249,249,250,249,249,250,248,247,249,249,249,249,249,250,250,249,250,249,248,248,247,247
Kemper County,250,250,249,249,250,250,249,249,249,249,250,249,249,249,250,249,249,250,248,248,250,249,249,249,248,249,249,248,250,248,247,247,248,250
Leake County,250,249,250,250,250,249,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Marion County,250,250,250,250,249,249,250,250,250,250,250,250,249,250,250,250,250,249,249,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250
Stone County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,249,250,250,250,250,250,250,250
Winston County,250,249,249,250,249,249,250,250,250,250,250,250,250,250,250,250,250,250,249,248,249,249,249,249,249,249,250,250,250,250,249,249,249,248
PRIVATE PRISONS,"4,960","4,547","4,542","4,552","4,551","4,556","4,563","4,563","4,560","4,554","4,578","4,581","4,566","4,567","4,960","4,567","4,565","4,566","4,567","4,566","4,568","4,574","4,572","4,570","4,567","4,572","4,571","4,565","4,960","4,560","4,555","4,553","4,558","4,564"
Delta       (Reopened 04-01-04),960,959,959,957,958,956,958,958,958,958,960,958,956,958,960,958,956,954,958,957,959,958,958,957,958,958,958,958,960,958,955,955,957,955
East MS,"1,000",851,851,850,850,867,866,866,864,864,874,874,873,873,"1,000",873,873,873,872,871,874,873,872,871,869,867,866,864,"1,000",863,863,863,863,863
Marshall County,"1,000",992,990,995,995,994,994,994,994,994,992,995,994,995,"1,000",995,995,994,995,995,994,994,994,994,993,995,993,994,"1,000",992,991,990,989,993
Walnut Grove,"1,000",751,748,755,754,745,750,750,750,747,757,760,748,748,"1,000",748,748,753,748,750,747,754,754,754,754,758,760,757,"1,000",755,754,754,761,759
Wilkinson County,"1,000",994,994,995,994,994,995,995,994,991,995,994,995,993,"1,000",993,993,992,994,993,994,995,994,994,993,994,994,992,"1,000",992,992,991,988,994
RESITITUTION CENTERS,24,13,13,13,13,13,13,13,13,13,13,13,13,13,24,13,13,13,13,13,13,13,13,13,13,13,13,13,24,12,12,12,13,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
