Location,Capacity_x,1-Sep-05,2-Sep-05,3-Sep-05,4-Sep-05,5-Sep-05,6-Sep-05,7-Sep-05,8-Sep-05,9-Sep-05,10-Sep-05,11-Sep-05,12-Sep-05,13-Sep-05,Capacity_y,14-Sep-05,15-Sep-05,16-Sep-05,17-Sep-05,18-Sep-05,19-Sep-05,20-Sep-05,21-Sep-05,22-Sep-05,23-Sep-05,24-Sep-05,25-Sep-05,26-Sep-05,Capacity,27-Sep-05,28-Sep-05,29-Sep-05,30-Sep-05
Mississippi State Penitentiary,"4,730","4,339","4,338","4,339","4,338","4,338","4,339","4,337","4,336","4,344","4,340","4,337","4,328","4,357","4,730","4,356","4,333","4,303","4,296","4,294","4,287","4,302","4,288","4,296","4,319","4,316","4,315","4,322","4,730","4,322","4,310","4,334","4,334"
Central Mississippi Correctional Facility,"3,219","3,089","3,089","3,088","3,089","3,088","3,087","3,100","3,140","3,143","3,148","3,150","3,167","3,162","3,219","3,136","3,156","3,193","3,191","3,191","3,196","3,197","3,213","3,210","3,199","3,193","3,192","3,169","3,219","3,222","3,199","3,204","3,216"
South Mississippi Correctional Institution,"2,306","2,180","2,179","2,177","2,176","2,173","2,231","2,230","2,229","2,225","2,225","2,225","2,191","2,184","2,306","2,197","2,218","2,231","2,229","2,229","2,241","2,240","2,241","2,240","2,223","2,221","2,221","2,243","2,306","2,242","2,249","2,245","2,220"
County Jails,"2,240","1,680","1,722","1,722","1,722","1,722","1,718","1,729","1,732","1,707","1,707","1,707","1,689","1,669","2,240","1,673","1,659","1,613","1,613","1,613","1,629","1,617","1,612","1,600","1,602","1,602","1,602","1,615","2,240","1,589","1,615","1,612","1,605"
COMMUNITY WORK CENTERS,"1,816","1,688","1,688","1,686","1,684","1,682","1,619","1,619","1,611","1,597","1,589","1,589","1,648","1,641","1,816","1,645","1,644","1,576","1,573","1,574","1,636","1,644","1,659","1,662","1,582","1,578","1,577","1,638","1,816","1,636","1,633","1,631","1,604"
Alcorn Satellite Facility,92,88,88,87,87,87,85,85,85,85,84,84,88,85,92,89,89,83,83,83,90,90,90,90,84,83,84,88,92,88,89,91,85
Bolivar Satellite Facility,102,99,99,98,98,98,98,98,97,97,97,97,98,96,102,95,95,88,88,88,95,101,101,101,91,91,91,96,102,96,95,93,90
Forrest Satellite Facility,96,87,87,88,88,87,87,87,87,87,87,87,86,86,96,85,85,80,80,80,87,87,91,91,88,88,88,90,96,90,90,90,88
George Satellite Facility,102,90,90,90,90,90,111,111,110,106,106,106,106,84,102,84,88,89,89,89,87,86,87,86,78,78,78,86,102,86,86,86,84
Harrison Satellite Facility,102,96,96,96,96,96,0,0,0,0,0,0,73,94,102,93,93,92,91,91,91,91,91,90,82,81,82,89,102,89,89,89,88
Jackson Satellite Facility,102,99,99,99,99,99,114,115,113,113,113,113,98,97,102,95,95,92,92,92,95,95,96,96,90,90,89,92,102,92,92,92,91
Jefferson Satellite Facility,102,95,94,94,94,94,94,94,91,88,88,88,87,85,102,85,83,76,76,76,82,82,81,80,77,77,77,79,102,79,79,79,78
Leflore Satellite Facility,102,95,96,96,96,96,96,96,95,95,95,95,95,97,102,97,93,89,89,89,92,92,93,99,95,94,94,97,102,97,97,95,98
Madison Satellite Facility,102,101,101,100,100,99,98,98,99,96,96,96,96,99,102,100,100,92,92,92,98,100,93,87,85,85,85,86,102,86,86,87,86
Noxubee Satellite Facility,92,92,92,92,92,92,92,92,92,92,85,85,84,81,92,81,80,72,72,72,80,86,86,86,75,75,75,84,92,84,83,83,82
Pike Satellite Facility,93,70,70,70,70,70,70,70,70,69,69,69,68,70,93,70,71,73,73,73,74,71,76,77,75,75,75,75,93,76,77,75,74
Quitman Satellite Facility,93,77,77,77,77,77,77,77,77,77,77,77,77,77,93,78,78,73,72,72,77,76,75,78,79,78,78,81,93,80,80,81,81
Rankin Satellite Facility,228,224,224,224,224,224,224,224,224,221,221,221,224,224,228,222,224,221,221,221,223,223,225,227,226,226,226,226,228,226,225,225,215
Simpson Satellite Facility,102,89,89,89,89,89,89,89,89,90,90,90,90,86,102,88,88,87,87,88,88,88,88,88,84,84,84,89,102,88,88,88,101
Washington Satellite Facility,102,100,100,100,99,99,99,99,99,99,99,99,99,99,102,101,100,97,96,96,100,100,100,100,96,96,95,97,102,96,94,94,89
Wilkinson Satellite Facility,102,97,97,97,97,97,97,96,96,94,94,94,94,92,102,93,93,87,87,87,89,89,89,90,86,86,86,89,102,89,89,89,81
Yazoo Satellite Facility,102,89,89,89,88,88,88,88,87,88,88,88,85,89,102,89,89,85,85,85,88,87,97,96,91,91,90,94,102,94,94,94,93
