Location,Capacity_x_x,1-Jan-10,2-Jan-10,3-Jan-10,4-Jan-10,5-Jan-10,6-Jan-10,7-Jan-10,8-Jan-10,9-Jan-10,Capacity_y_x,10-Jan-10,11-Jan-10,12-Jan-10,13-Jan-10,14-Jan-10,15-Jan-10,16-Jan-10,17-Jan-10,18-Jan-10,Capacity_x_y,19-Jan-10,20-Jan-10,21-Jan-10,22-Jan-10,23-Jan-10,24-Jan-10,25-Jan-10,26-Jan-10,27-Jan-10,Capacity_y_y,28-Jan-10,29-Jan-10,30-Jan-10,31-Jan-10,Avg Population
Mississippi State Penitentiary,"4,435","3,924","3,924","3,922","3,935","3,922","3,925","3,931","3,930","3,929","4,435","3,926","3,924","3,924","3,889","3,884","3,878","3,876","3,876","3,876","4,435","3,872","3,897","3,922","3,913","3,911","3,911","3,919","3,931","3,923","4,435","3,908","3,914","3,910","3,908","3,911"
Central Mississippi Correctional Facility,"3,665","3,226","3,225","3,223","3,216","3,225","3,235","3,241","3,240","3,240","3,665","3,242","3,238","3,238","3,224","3,221","3,183","3,182","3,183","3,185","3,665","3,137","3,058","3,051","3,024","3,021","3,021","3,066","3,039","3,048","3,665","3,066","3,030","3,029","3,031","3,148"
South Mississippi Correctional Institution,"3,204","2,970","2,970","2,969","2,966","2,993","3,024","3,086","3,088","3,086","3,204","3,086","3,079","3,078","3,072","3,070","3,048","3,046","3,045","3,047","3,204","3,021","3,063","3,077","3,058","3,058","3,058","3,051","3,081","3,071","3,204","3,075","3,076","3,076","3,073","3,050"
County Jails,"1,466","1,468","1,468","1,468","1,473","1,490","1,510","1,481","1,523","1,523","1,466","1,523","1,525","1,528","1,534","1,550","1,595","1,595","1,595","1,600","1,466","1,635","1,630","1,624","1,635","1,635","1,635","1,605","1,595","1,611","1,466","1,572","1,581","1,581","1,581","1,560"
COMMUNITY WORK CENTERS,"1,848","1,792","1,790","1,790","1,779","1,774","1,761","1,759","1,666","1,661","1,848","1,660","1,733","1,726","1,659","1,640","1,578","1,575","1,573","1,640","1,848","1,659","1,703","1,707","1,695","1,692","1,691","1,709","1,723","1,721","1,848","1,745","1,724","1,722","1,720","1,702"
Alcorn Satellite Facility,92,87,87,87,86,86,86,86,76,76,92,76,84,84,81,81,74,73,73,80,92,82,84,84,83,83,83,85,85,86,92,90,90,90,90,83
Bolivar Satellite Facility,102,98,98,98,98,98,98,98,92,92,102,92,96,95,92,92,89,89,89,92,102,91,91,94,89,88,88,87,87,87,102,90,89,89,89,92
Forrest Satellite Facility,96,93,93,93,93,93,93,93,84,84,96,84,92,92,87,87,88,87,87,91,96,92,93,91,90,89,89,89,88,93,96,94,92,92,92,90
George Satellite Facility,102,98,98,98,97,97,95,94,85,84,102,84,91,91,90,88,81,81,81,88,102,87,88,88,89,89,89,88,88,88,102,93,90,89,89,90
Harrison Satellite Facility,102,101,100,100,100,100,100,100,96,96,102,96,98,97,95,94,98,98,98,101,102,101,101,100,99,98,98,98,98,97,102,100,99,99,99,99
Jackson Satellite Facility,102,99,99,99,99,99,99,100,94,94,102,94,100,100,94,94,84,84,84,92,102,92,91,91,87,87,87,91,91,98,102,97,93,93,93,94
Jefferson Satellite Facility,102,102,102,102,101,101,101,101,96,96,102,95,99,96,93,92,86,86,86,92,102,94,89,93,92,92,92,89,96,96,102,96,99,99,99,95
Leflore Satellite Facility,102,98,98,98,98,98,98,98,91,91,102,91,96,96,85,84,88,88,88,88,102,96,93,87,88,89,89,91,91,91,102,90,90,90,90,92
Madison Satellite Facility,102,97,97,97,97,96,95,95,89,89,102,89,95,95,92,91,88,88,88,89,102,88,102,102,101,101,100,100,100,94,102,102,102,101,101,96
Noxubee Satellite Facility,92,92,92,92,92,92,90,90,81,80,92,80,87,87,84,83,80,79,79,81,92,88,86,86,86,86,86,88,88,88,92,88,83,83,83,86
Pike Satellite Facility,93,93,93,93,88,88,88,88,88,88,93,88,88,92,93,86,84,84,84,86,93,86,85,87,91,91,91,93,93,93,93,93,93,93,93,89
Quitman Satellite Facility,93,92,92,92,90,90,89,91,86,86,93,86,90,90,91,90,85,85,85,89,93,89,91,90,91,90,90,91,89,86,93,92,93,93,91,90
Rankin Satellite Facility,260,249,249,249,248,245,244,242,239,239,260,239,239,239,229,227,221,221,221,226,260,234,234,232,233,233,233,235,237,233,260,230,225,225,225,235
Simpson Satellite Facility,102,102,102,102,102,101,98,98,90,89,102,89,96,92,88,86,81,81,79,84,102,82,99,99,95,95,95,101,102,102,102,100,98,98,98,94
Washington Satellite Facility,102,97,97,97,97,97,95,93,93,93,102,93,93,92,91,91,88,88,88,90,102,89,89,96,93,93,93,94,94,92,102,96,93,93,93,93
Wilkinson Satellite Facility,102,95,94,94,94,94,94,94,90,90,102,90,94,94,90,90,84,84,84,88,102,86,86,86,89,89,89,91,98,97,102,97,95,95,95,91
Yazoo Satellite Facility,102,99,99,99,99,99,98,98,96,94,102,94,95,94,84,84,79,79,79,83,102,82,101,101,99,99,99,98,98,100,102,97,100,100,100,94
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,803","2,803","2,802","2,799","2,792","2,773","2,734","2,731","2,731","3,163","2,730","2,729","2,727","2,722","2,719","2,720","2,720","2,719","2,717","3,163","2,722","2,731","2,728","2,725","2,724","2,721","2,730","2,731","2,733","3,163","2,727","2,731","2,731","2,729","2,740"
Bolivar County,294,263,263,263,263,263,263,255,255,255,294,255,255,255,255,254,254,254,254,254,294,255,255,255,255,255,253,253,253,255,294,252,253,253,253,256
Carroll County,280,249,249,249,248,248,247,241,240,240,280,240,240,240,239,239,240,240,240,240,280,240,241,241,242,242,242,242,241,241,280,241,241,241,241,242
