Location,Capacity_x_x,1-Nov-08,2-Nov-08,3-Nov-08,4-Nov-08,5-Nov-08,6-Nov-08,7-Nov-08,8-Nov-08,9-Nov-08,Capacity_y_x,10-Nov-08,11-Nov-08,12-Nov-08,13-Nov-08,14-Nov-08,15-Nov-08,16-Nov-08,17-Nov-08,18-Nov-08,Capacity_x_y,19-Nov-08,20-Nov-08,21-Nov-08,22-Nov-08,23-Nov-08,24-Nov-08,25-Nov-08,26-Nov-08,27-Nov-08,Capacity_y_y,28-Nov-08,29-Nov-08,30-Nov-08,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,435","3,953","3,952","3,945","3,943","3,913","3,907","3,901","3,898","3,896","4,435","3,897","3,894","3,852","3,844","3,844","3,838","3,838","3,852","3,851","4,435","3,834","3,862","3,870","3,860","3,859","3,882","3,889","3,868","3,864","4,435","3,861","3,860","3,859",,"3,880"
Central Mississippi Correctional Facility,"3,665","3,703","3,700","3,690","3,679","3,690","3,695","3,707","3,704","3,702","3,665","3,718","3,716","3,722","3,738","3,758","3,756","3,754","3,760","3,768","3,665","3,767","3,753","3,745","3,745","3,747","3,729","3,750","3,722","3,719","3,665","3,720","3,718","3,718",,"3,726"
South Mississippi Correctional Institution,"3,204","3,110","3,108","3,108","3,117","3,116","3,133","3,114","3,111","3,109","3,204","3,109","3,112","3,102","3,103","3,110","3,109","3,109","3,116","3,119","3,204","3,108","3,106","3,114","3,112","3,111","3,109","3,108","3,109","3,106","3,204","3,104","3,104","3,104",,"3,110"
County Jails,"1,790","1,908","1,908","1,899","1,871","1,857","1,835","1,815","1,815","1,815","1,790","1,786","1,789","1,798","1,826","1,831","1,831","1,831","1,825","1,804","1,790","1,835","1,841","1,849","1,849","1,849","1,820","1,815","1,814","1,813","1,790","1,818","1,818","1,818",,"1,833"
COMMUNITY WORK CENTERS,"1,848","1,753","1,750","1,804","1,807","1,808","1,805","1,781","1,777","1,775","1,848","1,802","1,800","1,799","1,803","1,739","1,735","1,735","1,796","1,799","1,848","1,804","1,803","1,813","1,808","1,808","1,808","1,807","1,822","1,822","1,848","1,820","1,820","1,819",,"1,794"
Alcorn Satellite Facility,92,86,86,91,91,90,90,86,86,86,92,88,88,88,88,81,81,81,88,88,92,90,89,91,91,91,91,92,91,91,92,91,91,91,,88
Bolivar Satellite Facility,102,96,96,102,99,98,102,100,100,100,102,102,102,101,101,99,99,99,101,100,102,100,99,102,102,102,102,101,101,101,102,101,101,101,,100
Forrest Satellite Facility,96,92,92,96,96,95,95,94,94,94,96,96,96,96,96,92,92,92,96,96,96,94,94,94,94,94,93,93,95,95,96,95,95,95,,94
George Satellite Facility,102,98,98,101,101,100,100,98,98,98,102,100,100,100,100,97,97,97,98,101,102,101,102,102,101,101,101,102,102,102,102,102,102,102,,100
Harrison Satellite Facility,102,100,99,100,99,99,101,99,98,97,102,101,101,99,100,99,99,99,98,99,102,98,98,98,98,98,102,102,102,102,102,102,102,102,,100
Jackson Satellite Facility,102,96,96,98,101,100,101,98,99,98,102,100,100,96,96,94,93,93,98,99,102,99,100,100,100,100,102,101,101,101,102,101,101,101,,99
Jefferson Satellite Facility,102,98,98,100,100,100,100,101,101,101,102,100,100,100,100,96,96,96,101,99,102,102,100,100,99,99,101,101,101,101,102,101,101,101,,100
Leflore Satellite Facility,102,100,100,100,100,100,100,100,100,100,102,100,100,100,100,97,96,96,97,97,102,101,101,101,101,101,101,101,101,101,102,101,101,101,,100
Madison Satellite Facility,102,99,100,101,101,102,102,101,101,101,102,102,102,102,102,97,97,97,102,101,102,100,100,101,101,101,96,96,102,102,102,102,102,102,,101
