Location,Capacity_x,1-Feb-05,2-Feb-05,3-Feb-05,4-Feb-05,5-Feb-05,6-Feb-05,7-Feb-05,8-Feb-05,9-Feb-05,10-Feb-05,11-Feb-05,12-Feb-05,Capacity_y,13-Feb-05,14-Feb-05,15-Feb-05,16-Feb-05,17-Feb-05,18-Feb-05,19-Feb-05,20-Feb-05,21-Feb-05,22-Feb-05,23-Feb-05,24-Feb-05,Capacity,25-Feb-05,26-Feb-05,27-Feb-05,28-Feb-05
Mississippi State Penitentiary,"4,744","4,510","4,514","4,502","4,492","4,489","4,485","4,490","4,476","4,470","4,464","4,451","4,448","4,744","4,448","4,465","4,457","4,460","4,468","4,447","4,447","4,446","4,442","4,456","4,470","4,458","4,744","4,442","4,441","4,438","4,430"
Central Mississippi Correctional Facility,"3,233","3,082","3,057","3,050","3,047","3,047","3,046","3,055","3,045","3,051","3,035","3,017","3,017","3,233","3,015","3,033","3,065","3,074","3,089","3,111","3,108","3,107","3,105","3,133","3,141","3,155","3,233","3,144","3,142","3,139","3,120"
South Mississippi Correctional Institution,"2,214","2,123","2,119","2,136","2,145","2,145","2,145","2,145","2,158","2,143","2,138","2,125","2,123","2,214","2,124","2,107","2,086","2,094","2,103","2,122","2,119","2,118","2,117","2,114","2,108","2,129","2,214","2,123","2,122","2,121","2,118"
County Jails,"2,327","1,813","1,855","1,857","1,874","1,874","1,874","1,874","1,897","1,911","1,923","1,941","1,941","2,327","1,941","1,948","1,941","1,940","1,915","1,870","1,870","1,870","1,874","1,839","1,810","1,772","2,327","1,769","1,769","1,769","1,786"
COMMUNITY WORK CENTERS,"1,816","1,705","1,706","1,705","1,644","1,643","1,641","1,692","1,680","1,682","1,691","1,648","1,644","1,816","1,642","1,688","1,690","1,704","1,705","1,643","1,642","1,641","1,696","1,696","1,703","1,704","1,816","1,643","1,642","1,640","1,710"
Alcorn Satellite Facility,92,90,91,91,87,87,87,90,90,89,89,82,82,92,82,92,92,92,92,86,86,86,92,90,92,92,92,88,88,88,90
Bolivar Satellite Facility,102,101,100,99,97,97,97,96,93,93,100,96,96,102,96,101,99,99,99,94,94,94,100,102,102,100,102,97,97,97,102
Forrest Satellite Facility,96,94,94,94,93,93,93,91,95,96,96,94,94,96,94,95,94,96,96,95,95,95,96,96,95,92,96,86,86,86,92
George Satellite Facility,102,101,101,99,94,94,94,97,96,95,89,95,95,102,95,95,96,99,98,92,92,92,98,98,97,100,102,95,95,95,99
Harrison Satellite Facility,102,101,98,100,99,98,97,98,95,94,90,84,84,102,84,90,92,101,101,99,99,99,99,99,99,97,102,96,95,95,102
