Location,Capacity_x,1-Nov-04,2-Nov-04,3-Nov-04,4-Nov-04,5-Nov-04,6-Nov-04,7-Nov-04,8-Nov-04,9-Nov-04,10-Nov-04,11-Nov-04,12-Nov-04,13-Nov-04,Capacity_y,14-Nov-04,15-Nov-04,16-Nov-04,17-Nov-04,18-Nov-04,19-Nov-04,20-Nov-04,21-Nov-04,22-Nov-04,23-Nov-04,24-Nov-04,25-Nov-04,26-Nov-04,Capacity,27-Nov-04,28-Nov-04,29-Nov-04,30-Nov-04
MS STATE PENITENTIARY,"4,760","4,697","4,693","4,671","4,686","4,674","4,673","4,671","4,653","4,647","4,645","4,644","4,653","4,649","4,760","4,646","4,643","4,632","4,647","4,636","4,621","4,621","4,618","4,638","4,625","4,633","4,631","4,628","4,760","4,626","4,624",0,0
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,121","3,126","3,116","3,127","3,119","3,117","3,116","3,110","3,107","3,100","3,097","3,061","3,059","3,233","3,057","3,072","3,095","3,079","3,088","3,119","3,115","3,112","3,089","3,115","3,100","3,099","3,100","3,233","3,099","3,100",0,0
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,166","2,162","2,171","2,169","2,165","2,164","2,163","2,151","2,184","2,174","2,171","2,171","2,170","2,214","2,169","2,169","2,163","2,160","2,182","2,175","2,175","2,174","2,171","2,179","2,162","2,161","2,162","2,214","2,162","2,162",0,0
COUNTY JAILS,"2,203","1,933","1,950","1,946","1,947","1,953","1,953","1,953","1,937","1,920","1,904","1,903","1,899","1,899","2,203","1,899","1,880","1,873","1,883","1,867","1,876","1,876","1,876","1,791","1,852","1,849","1,849","1,848","2,203","1,848","1,848",0,0
COMMUNITY WORK CENTERS,"1,816","1,732","1,730","1,722","1,717","1,681","1,679","1,674","1,709","1,697","1,675","1,668","1,609","1,606","1,816","1,606","1,673","1,689","1,697","1,696","1,695","1,694","1,692","1,696","1,704","1,710","1,710","1,707","1,816","1,705","1,700",0,0
Alcorn Satellite Facility,92,92,91,91,92,87,87,87,90,90,85,85,79,78,92,77,84,88,88,88,87,87,86,86,87,86,86,86,92,86,86,0,0
Bolivar Satellite Facility,102,98,97,92,93,87,87,86,96,96,97,97,90,89,102,89,95,96,96,94,93,93,93,92,91,92,92,91,102,90,90,0,0
Forrest Satellite Facility,96,93,93,93,92,94,94,94,93,95,96,94,92,92,96,92,94,93,93,94,95,94,94,94,95,95,95,95,96,95,95,0,0
George Satellite Facility,102,102,101,101,101,101,101,101,101,101,98,97,92,92,102,92,97,97,97,97,98,98,98,101,101,101,101,101,102,101,101,0,0
Harrison Satellite Facility,102,97,97,99,96,99,99,99,99,98,97,97,90,90,102,90,96,95,96,95,99,99,99,98,97,101,101,101,102,101,101,0,0
Jackson Satellite Facility,102,100,100,101,101,99,99,99,102,98,97,96,91,92,102,92,98,98,98,98,98,98,98,99,99,102,102,101,102,101,100,0,0
Jefferson Satellite Facility,102,102,100,99,98,95,95,95,97,97,96,96,95,95,102,95,95,95,96,96,96,96,96,100,100,97,97,97,102,97,97,0,0
Leflore Satellite Facility,102,100,101,100,100,99,99,98,99,98,94,92,88,88,102,88,92,98,102,102,102,102,101,100,100,102,102,102,102,102,101,0,0
Madison Satellite Facility,102,100,101,101,100,98,98,98,101,100,96,96,96,96,102,96,100,100,100,100,100,100,100,101,102,102,102,102,102,102,101,0,0
Noxubee Satellite Facility,92,92,92,90,90,86,86,86,89,87,90,90,82,82,92,82,90,91,90,92,91,91,91,91,91,90,90,89,92,89,89,0,0
Pike Satellite Facility,93,57,57,56,56,53,53,53,55,56,55,55,56,56,93,56,56,57,57,56,56,56,56,56,56,56,56,56,93,56,56,0,0
Quitman Satellite Facility,93,83,82,82,82,79,79,79,80,78,76,76,76,76,93,76,77,77,77,77,77,77,77,76,76,75,75,75,93,75,73,0,0
Rankin Satellite Facility,228,220,222,221,223,221,220,218,223,222,222,221,219,217,228,217,218,220,222,222,221,221,221,220,222,224,224,224,228,224,224,0,0
Simpson Satellite Facility,102,100,99,100,99,99,99,99,100,100,100,100,94,94,102,94,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,0,0
Washington Satellite Facility,102,102,102,101,100,96,95,94,96,94,93,93,92,92,102,92,94,97,97,97,94,94,94,94,99,99,99,99,102,99,99,0,0
Wilkinson Satellite Facility,102,93,93,93,92,86,86,86,88,87,84,84,81,81,102,82,84,84,84,84,84,84,84,84,84,84,84,84,102,83,83,0,0
Yazoo Satellite Facility,102,101,102,102,102,102,102,102,100,100,99,99,96,96,102,96,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,0,0
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,729","2,738","2,743","2,742","2,743","2,741","2,740","2,740","2,741","2,741","2,741","2,741","2,740","2,750","2,739","2,742","2,740","2,740","2,742","2,741","2,739","2,738","2,737","2,734","2,739","2,739","2,738","2,750","2,735","2,733",0,0
Bolivar County,250,248,250,249,248,250,250,250,249,248,249,249,247,247,250,246,246,247,249,249,248,246,246,247,248,248,248,248,250,248,248,0,0
Carroll County,250,249,248,249,248,248,247,247,250,250,249,249,250,250,250,250,249,250,250,249,250,250,250,250,250,249,249,248,250,248,248,0,0
George County,250,242,249,250,250,249,249,249,248,250,250,250,249,249,250,249,249,250,250,250,250,250,250,250,247,247,247,247,250,247,247,0,0
Holmes County,250,249,249,250,250,250,250,250,250,249,248,248,250,250,250,250,250,249,248,249,248,248,248,249,249,249,249,249,250,249,249,0,0
Issaquena County,250,246,245,250,249,247,246,246,245,250,250,250,250,250,250,250,249,248,247,247,248,248,248,245,244,248,248,248,250,247,247,0,0
